Dataset,Comment,Alternative1,Alternative2,Label
208,98,Bates College,Hamilton College,0
208,99,Bates College,Hamilton College,1
208,100,Bates College,Hamilton College,3
208,101,Bates College,Hamilton College,0
208,103,Bates College,Hamilton College,0
208,104,Bates College,Hamilton College,1
208,105,Bates College,Hamilton College,0
208,106,Bates College,Hamilton College,2
208,107,Bates College,Hamilton College,0
208,108,Bates College,Hamilton College,2
210,25,Dartmouth College,Cornell University,2
210,25,Dartmouth College,Johns Hopkins University,0
210,25,Cornell University,Johns Hopkins University,0
210,26,Dartmouth College,Cornell University,0
210,26,Dartmouth College,Johns Hopkins University,0
210,26,Cornell University,Johns Hopkins University,0
210,27,Dartmouth College,Cornell University,1
210,27,Dartmouth College,Johns Hopkins University,1
210,27,Cornell University,Johns Hopkins University,0
210,28,Dartmouth College,Cornell University,0
210,28,Dartmouth College,Johns Hopkins University,0
210,28,Cornell University,Johns Hopkins University,0
210,29,Dartmouth College,Cornell University,0
210,29,Dartmouth College,Johns Hopkins University,0
210,29,Cornell University,Johns Hopkins University,2
210,30,Dartmouth College,Cornell University,0
210,30,Dartmouth College,Johns Hopkins University,0
210,30,Cornell University,Johns Hopkins University,0
210,31,Dartmouth College,Cornell University,0
210,31,Dartmouth College,Johns Hopkins University,0
210,31,Cornell University,Johns Hopkins University,0
210,32,Dartmouth College,Cornell University,0
210,32,Dartmouth College,Johns Hopkins University,0
210,32,Cornell University,Johns Hopkins University,0
210,33,Dartmouth College,Cornell University,0
210,33,Dartmouth College,Johns Hopkins University,0
210,33,Cornell University,Johns Hopkins University,0
210,34,Dartmouth College,Cornell University,0
210,34,Dartmouth College,Johns Hopkins University,0
210,34,Cornell University,Johns Hopkins University,0
210,35,Dartmouth College,Cornell University,2
210,35,Dartmouth College,Johns Hopkins University,0
210,35,Cornell University,Johns Hopkins University,1
210,36,Dartmouth College,Cornell University,0
210,36,Dartmouth College,Johns Hopkins University,0
210,36,Cornell University,Johns Hopkins University,0
210,37,Dartmouth College,Cornell University,0
210,37,Dartmouth College,Johns Hopkins University,0
210,37,Cornell University,Johns Hopkins University,0
210,38,Dartmouth College,Cornell University,0
210,38,Dartmouth College,Johns Hopkins University,0
210,38,Cornell University,Johns Hopkins University,0
210,39,Dartmouth College,Cornell University,0
210,39,Dartmouth College,Johns Hopkins University,3
210,39,Cornell University,Johns Hopkins University,0
210,40,Dartmouth College,Cornell University,0
210,40,Dartmouth College,Johns Hopkins University,0
210,40,Cornell University,Johns Hopkins University,3
210,41,Dartmouth College,Cornell University,0
210,41,Dartmouth College,Johns Hopkins University,1
210,41,Cornell University,Johns Hopkins University,0
210,42,Dartmouth College,Cornell University,0
210,42,Dartmouth College,Johns Hopkins University,0
210,42,Cornell University,Johns Hopkins University,0
210,43,Dartmouth College,Cornell University,0
210,43,Dartmouth College,Johns Hopkins University,0
210,43,Cornell University,Johns Hopkins University,0
210,44,Dartmouth College,Cornell University,0
210,44,Dartmouth College,Johns Hopkins University,0
210,44,Cornell University,Johns Hopkins University,0
211,1,Wesleyan University,College of William & Mary,2
211,2,Wesleyan University,College of William & Mary,0
211,3,Wesleyan University,College of William & Mary,0
211,4,Wesleyan University,College of William & Mary,1
211,5,Wesleyan University,College of William & Mary,1
211,6,Wesleyan University,College of William & Mary,0
211,7,Wesleyan University,College of William & Mary,3
211,10,Wesleyan University,College of William & Mary,2
211,11,Wesleyan University,College of William & Mary,0
211,12,Wesleyan University,College of William & Mary,0
208,87,Bates College,Hamilton College,0
208,88,Bates College,Hamilton College,0
208,89,Bates College,Hamilton College,0
208,90,Bates College,Hamilton College,0
208,91,Bates College,Hamilton College,0
208,92,Bates College,Hamilton College,0
208,93,Bates College,Hamilton College,0
208,94,Bates College,Hamilton College,0
208,95,Bates College,Hamilton College,0
208,96,Bates College,Hamilton College,0
210,15,Dartmouth College,Cornell University,2
210,15,Dartmouth College,Johns Hopkins University,2
210,15,Cornell University,Johns Hopkins University,3
210,16,Dartmouth College,Cornell University,1
210,16,Dartmouth College,Johns Hopkins University,1
210,16,Cornell University,Johns Hopkins University,1
210,17,Dartmouth College,Cornell University,3
210,17,Dartmouth College,Johns Hopkins University,3
210,17,Cornell University,Johns Hopkins University,3
210,18,Dartmouth College,Cornell University,3
210,18,Dartmouth College,Johns Hopkins University,2
210,18,Cornell University,Johns Hopkins University,2
210,19,Dartmouth College,Cornell University,3
210,19,Dartmouth College,Johns Hopkins University,3
210,19,Cornell University,Johns Hopkins University,3
210,20,Dartmouth College,Cornell University,3
210,20,Dartmouth College,Johns Hopkins University,3
210,20,Cornell University,Johns Hopkins University,1
210,21,Dartmouth College,Cornell University,3
210,21,Dartmouth College,Johns Hopkins University,3
210,21,Cornell University,Johns Hopkins University,3
210,22,Dartmouth College,Cornell University,3
210,22,Dartmouth College,Johns Hopkins University,3
210,22,Cornell University,Johns Hopkins University,3
210,23,Dartmouth College,Cornell University,3
210,23,Dartmouth College,Johns Hopkins University,2
210,23,Cornell University,Johns Hopkins University,2
210,24,Dartmouth College,Cornell University,3
210,24,Dartmouth College,Johns Hopkins University,3
210,24,Cornell University,Johns Hopkins University,3
208,50,Bates College,Hamilton College,0
208,51,Bates College,Hamilton College,0
208,52,Bates College,Hamilton College,3
208,53,Bates College,Hamilton College,0
208,54,Bates College,Hamilton College,0
208,55,Bates College,Hamilton College,0
208,56,Bates College,Hamilton College,0
208,57,Bates College,Hamilton College,2
208,58,Bates College,Hamilton College,0
208,59,Bates College,Hamilton College,0
209,13,University of Michigan,University of Virginia,3
209,14,University of Michigan,University of Virginia,2
209,15,University of Michigan,University of Virginia,3
209,16,University of Michigan,University of Virginia,0
209,18,University of Michigan,University of Virginia,0
209,22,University of Michigan,University of Virginia,0
209,24,University of Michigan,University of Virginia,0
209,26,University of Michigan,University of Virginia,0
209,28,University of Michigan,University of Virginia,0
