agent,alternatives,comment,dataset,val
A3IN9YBTU78SBS,"('Bates', 'Hamilton')",98.0,208.0,{'0-1': '0<1'}
A3IN9YBTU78SBS,"('Bates', 'Hamilton')",99.0,208.0,{'0-1': '0>1'}
A3IN9YBTU78SBS,"('Bates', 'Hamilton')",100.0,208.0,{'0-1': '0=1'}
A3IN9YBTU78SBS,"('Bates', 'Hamilton')",101.0,208.0,{'0-1': '0NA1'}
A3IN9YBTU78SBS,"('Bates', 'Hamilton')",103.0,208.0,{'0-1': '0NA1'}
A3IN9YBTU78SBS,"('Bates', 'Hamilton')",104.0,208.0,{'0-1': '0>1'}
A3IN9YBTU78SBS,"('Bates', 'Hamilton')",105.0,208.0,{'0-1': '0NA1'}
A3IN9YBTU78SBS,"('Bates', 'Hamilton')",106.0,208.0,{'0-1': '0<1'}
A3IN9YBTU78SBS,"('Bates', 'Hamilton')",107.0,208.0,{'0-1': '0<1'}
A3IN9YBTU78SBS,"('Bates', 'Hamilton')",108.0,208.0,{'0-1': '0<1'}
A3IN9YBTU78SBS,"('Dartmouth', 'Cornell', 'JHU')",25.0,210.0,"{'0-1': '0<1', '0-2': '0NA2', '1-2': '1NA2'}"
A3IN9YBTU78SBS,"('Dartmouth', 'Cornell', 'JHU')",26.0,210.0,"{'0-1': '0>1', '0-2': '0NA2', '1-2': '1NA2'}"
A3IN9YBTU78SBS,"('Dartmouth', 'Cornell', 'JHU')",27.0,210.0,"{'0-1': '0<1', '0-2': '0>2', '1-2': '1NA2'}"
A3IN9YBTU78SBS,"('Dartmouth', 'Cornell', 'JHU')",28.0,210.0,"{'0-1': '0>1', '0-2': '0NA2', '1-2': '1NA2'}"
A3IN9YBTU78SBS,"('Dartmouth', 'Cornell', 'JHU')",29.0,210.0,"{'0-1': '0>1', '0-2': '0NA2', '1-2': '1NA2'}"
A3IN9YBTU78SBS,"('Dartmouth', 'Cornell', 'JHU')",30.0,210.0,"{'0-1': '0>1', '0-2': '0NA2', '1-2': '1NA2'}"
A3IN9YBTU78SBS,"('Dartmouth', 'Cornell', 'JHU')",31.0,210.0,"{'0-1': '0>1', '0-2': '0NA2', '1-2': '1=2'}"
A3IN9YBTU78SBS,"('Dartmouth', 'Cornell', 'JHU')",32.0,210.0,"{'0-1': '0>1', '0-2': '0NA2', '1-2': '1NA2'}"
A3IN9YBTU78SBS,"('Dartmouth', 'Cornell', 'JHU')",33.0,210.0,"{'0-1': '0<1', '0-2': '0=2', '1-2': '1NA2'}"
A3IN9YBTU78SBS,"('Dartmouth', 'Cornell', 'JHU')",34.0,210.0,"{'0-1': '0<1', '0-2': '0NA2', '1-2': '1NA2'}"
A3CF8ULBSE8MTL,"('Bates', 'Hamilton')",98.0,208.0,{'0-1': '0NA1'}
A3CF8ULBSE8MTL,"('Bates', 'Hamilton')",99.0,208.0,{'0-1': '0>1'}
A3CF8ULBSE8MTL,"('Bates', 'Hamilton')",100.0,208.0,{'0-1': '0=1'}
A3CF8ULBSE8MTL,"('Bates', 'Hamilton')",101.0,208.0,{'0-1': '0NA1'}
A3CF8ULBSE8MTL,"('Bates', 'Hamilton')",103.0,208.0,{'0-1': '0NA1'}
A3CF8ULBSE8MTL,"('Bates', 'Hamilton')",104.0,208.0,{'0-1': '0>1'}
A3CF8ULBSE8MTL,"('Bates', 'Hamilton')",105.0,208.0,{'0-1': '0NA1'}
A3CF8ULBSE8MTL,"('Bates', 'Hamilton')",106.0,208.0,{'0-1': '0<1'}
A3CF8ULBSE8MTL,"('Bates', 'Hamilton')",107.0,208.0,{'0-1': '0NA1'}
A3CF8ULBSE8MTL,"('Bates', 'Hamilton')",108.0,208.0,{'0-1': '0<1'}
A3CF8ULBSE8MTL,"('Dartmouth', 'Cornell', 'JHU')",25.0,210.0,"{'0-1': '0<1', '0-2': '0NA2', '1-2': '1NA2'}"
A3CF8ULBSE8MTL,"('Dartmouth', 'Cornell', 'JHU')",26.0,210.0,"{'0-1': '0NA1', '0-2': '0NA2', '1-2': '1NA2'}"
