index,user_id,comment,label
1,circuitrider,"
Someone asked that question nearly nine years ago and got the following response:
https://talk.collegeconfidential.com/haverford-college/979316-haverford-wharton-school.html
Bottom line: You may be able to take some classes at Wharton, but, you won’t be able to major in business. OTOH, Haverford has a very fine placement record for finance and business, comparable to other highly regarded LACs in the northeast U.S.
https://www.haverford.edu/career-and-professional-advising/beyond-haverford
I couldn’t find anything comparable for Richmond on their website.

",3
1,circuitrider,"
Someone asked that question nearly nine years ago and got the following response:
https://talk.collegeconfidential.com/haverford-college/979316-haverford-wharton-school.html
Bottom line: You may be able to take some classes at Wharton, but, you won’t be able to major in business. OTOH, Haverford has a very fine placement record for finance and business, comparable to other highly regarded LACs in the northeast U.S.
https://www.haverford.edu/career-and-professional-advising/beyond-haverford
I couldn’t find anything comparable for Richmond on their website.

",2
2,Coloradomama,"
Haverford College students have full cross registration with Bryn Maur College across the street, and can swim in the pool at Bryn Mawr College, a woman’s college.     Also Haverford students have cross registration at Swarthmore College and I thought Arts and Sciences classes at U of Pennsylvania.    there is a train directly from Haverford to U of Penn and a bus to get to Swarthmore College.

",2
2,Coloradomama,"
Haverford College students have full cross registration with Bryn Maur College across the street, and can swim in the pool at Bryn Mawr College, a woman’s college.     Also Haverford students have cross registration at Swarthmore College and I thought Arts and Sciences classes at U of Pennsylvania.    there is a train directly from Haverford to U of Penn and a bus to get to Swarthmore College.

",2
3,Mwfan1921,"
Congratulations on your acceptances, those are two very good choices. How do the net costs compare for each school? Do you need to finance any of the costs with loans? Would you major in econ at both schools?
Comparing the graduate outcomes is a good idea–here is some 2017 data for Richmond https://careerservices.richmond.edu/post-graduation-data/index.html
Both career centers will give you more details if you contact them.
You might also take a look at the econ and/or business professors and their research focus—what do you find most interesting? Also take a look at the course catalogs to compare curriculums and offerings.
Richmond is more than double the size of Haverford in terms of students, with more of a pre-professional feel. The campus is beautiful and suburban. Haverford is also a nice campus but with more of an urban feel. Good luck!

",3
3,Mwfan1921,"
Congratulations on your acceptances, those are two very good choices. How do the net costs compare for each school? Do you need to finance any of the costs with loans? Would you major in econ at both schools?
Comparing the graduate outcomes is a good idea–here is some 2017 data for Richmond https://careerservices.richmond.edu/post-graduation-data/index.html
Both career centers will give you more details if you contact them.
You might also take a look at the econ and/or business professors and their research focus—what do you find most interesting? Also take a look at the course catalogs to compare curriculums and offerings.
Richmond is more than double the size of Haverford in terms of students, with more of a pre-professional feel. The campus is beautiful and suburban. Haverford is also a nice campus but with more of an urban feel. Good luck!

",2
4,Midwestmomofboys,"
I have to pop in to say that Haverford does not have an urban feel to my mind (as a BMC alum) – it has a duck pond, nature trails, and the traditional small liberal arts college vibe, all on 200 acres. It is located in Haverford – a wealthy suburb about 20 minutes from Philly, with shops off campus. Towns on the Main Line are about a mile apart, all connected by commuter rail to Philly. The area is considered one of the loveliest suburban areas in Philadelphia, with large homes from the turn of the century.
Haverford is also distinctive because of its Quaker traditions of mutual respect and notions of community, which influence everything from self-scheduled final exams to the tradition of Plenary, when students meet to reaffirm the Honor Code. Students do very well after graduation but it does not have a business program. Haverford and Bryn Mawr students can take up to 2 classes a term at U Penn, though the classes must be classes which are not regularly offered at either Haverford or Bryn Mawr, and Wharton and Engineering classes are excluded.

",2
4,Midwestmomofboys,"
I have to pop in to say that Haverford does not have an urban feel to my mind (as a BMC alum) – it has a duck pond, nature trails, and the traditional small liberal arts college vibe, all on 200 acres. It is located in Haverford – a wealthy suburb about 20 minutes from Philly, with shops off campus. Towns on the Main Line are about a mile apart, all connected by commuter rail to Philly. The area is considered one of the loveliest suburban areas in Philadelphia, with large homes from the turn of the century.
Haverford is also distinctive because of its Quaker traditions of mutual respect and notions of community, which influence everything from self-scheduled final exams to the tradition of Plenary, when students meet to reaffirm the Honor Code. Students do very well after graduation but it does not have a business program. Haverford and Bryn Mawr students can take up to 2 classes a term at U Penn, though the classes must be classes which are not regularly offered at either Haverford or Bryn Mawr, and Wharton and Engineering classes are excluded.

",1
5,merc81,"
In support of the above, Newsweek considers both Haverford and Bryn Mawr to be set in suburban areas.
https://www.newsweek.com/25-most-desirable-suburban-schools-71867

",0
5,merc81,"
In support of the above, Newsweek considers both Haverford and Bryn Mawr to be set in suburban areas.
https://www.newsweek.com/25-most-desirable-suburban-schools-71867

",2
6,circuitrider,"
This may be a case of splitting hairs, but, @Mwfan1921 has a point. Once you step off campus, the surrounding areas  of each college have a tangibly different feel. Delaware County (PA) is nearly four times more densely populated than Henrico County (VA). In fact, compared to Haverford, I’d be tempted to say that Richmond is more rural in feel. But, that, I’m sure, would inspire some pushback from others on this forum. Both are lovely, lovely campuses.

",3
6,circuitrider,"
This may be a case of splitting hairs, but, @Mwfan1921 has a point. Once you step off campus, the surrounding areas  of each college have a tangibly different feel. Delaware County (PA) is nearly four times more densely populated than Henrico County (VA). In fact, compared to Haverford, I’d be tempted to say that Richmond is more rural in feel. But, that, I’m sure, would inspire some pushback from others on this forum. Both are lovely, lovely campuses.

",3
7,havenoidea,"
The Richmond scholars get a full ride, plus special programming and class selection. It’s a great deal. But, I don’t know your financial situation.
If you’re really wanting to take some business classes, Richmond’s business school is quite good (and beautiful). They have Bloomberg terminals, a student managed investment fund, and a club that focuses on Wall Street IB placement. This coming year, they are adding a data analytics major. Lots of kids double major, and Richmond has a unique leadership school. The school has a great network.
My guess is that Haverford is more intellectual, Richmond more preprofessional, though you would have your Scholar cohorts.

",1
7,havenoidea,"
The Richmond scholars get a full ride, plus special programming and class selection. It’s a great deal. But, I don’t know your financial situation.
If you’re really wanting to take some business classes, Richmond’s business school is quite good (and beautiful). They have Bloomberg terminals, a student managed investment fund, and a club that focuses on Wall Street IB placement. This coming year, they are adding a data analytics major. Lots of kids double major, and Richmond has a unique leadership school. The school has a great network.
My guess is that Haverford is more intellectual, Richmond more preprofessional, though you would have your Scholar cohorts.

",1
8,Midwestmomofboys,"
Wow, I did not appreciate the significance of the Richmond Scholars program! Those types of programs – which include generous merit awards PLUS special opportunities – can be phenomenal. While I love Haverford, that opportunity at Richmond would be hard to turn down.

",1
8,Midwestmomofboys,"
Wow, I did not appreciate the significance of the Richmond Scholars program! Those types of programs – which include generous merit awards PLUS special opportunities – can be phenomenal. While I love Haverford, that opportunity at Richmond would be hard to turn down.

",1
9,circuitrider,"
^Well, just to play devil’s advocate for a moment, I would ask, how the OP feels about being a token intellectual within a somewhat larger campus? A lot of people choose LACs because that was how they spent their high school years and they like the idea of being the majority culture for once. YMMV.

",0
9,circuitrider,"
^Well, just to play devil’s advocate for a moment, I would ask, how the OP feels about being a token intellectual within a somewhat larger campus? A lot of people choose LACs because that was how they spent their high school years and they like the idea of being the majority culture for once. YMMV.

",0
10,happymomof1,"
Ask both Haverford and Richmond how many of their international graduates are able to find employers for the OPT that they are entitled to after graduation.  If you don’t find an employer who will hire you for the OPT, you will need to go home almost immediately after you graduate.
And do remember, when you have your interview for your student visa, you need to state clearly and believably that you intend to return to your country after completing your education and your OPT.  If the interviewer thinks that you intend to stay in the US longer than that, you will not get a visa.

",0
10,happymomof1,"
Ask both Haverford and Richmond how many of their international graduates are able to find employers for the OPT that they are entitled to after graduation.  If you don’t find an employer who will hire you for the OPT, you will need to go home almost immediately after you graduate.
And do remember, when you have your interview for your student visa, you need to state clearly and believably that you intend to return to your country after completing your education and your OPT.  If the interviewer thinks that you intend to stay in the US longer than that, you will not get a visa.

",0
11,mamag2855,"
@Anna20021988 I have been very fortunate to have 2 Ds who were Richmond Scholars. They both had great experiences at UR, with excellent professors and advising, small challenging classes, lovely campus and weather, not far from downtown Richmond, a fun city with great food, parks, museums and activities. The business school is excellent and students have great outcomes with internships and job opportunities.
One of my Ds studied abroad at St. Andrews University in Scotland, all paid for with her scholarship, with extra funding for travel and educational experiences while abroad. Another excellent program is the Sophomore Scholars in Residence, providing students the opportunity to take a class in a variety of subject areas with an integrated travel component, and the students are housed together for the year while taking the class, as well working on long term projects. The SSIR program is fully funded with no extra costs for students. In addition, UR guarantees a stipend of $4K to fund research or an internship.
A top student will not be a “token intellectual” at UR. 25% of students have a an SAT of 1460+ and/or ACT of 32+. My 2 Ds always felt that there were many other bright students in their classes to challenge each other and have thoughtful discussions.

",3
