index,user_id,comment,label
2,itsgettingreal17,"
Pitt has an excellent business school that is well regarded. So you already have an excellent option. I wouldn’t pass up Pitt for a chance at PSU with a summer start.  Ignoring rank, PSU isn’t appreciably better than Pitt’s CBA.  Most of the schools you are waiting on are reachy. Good luck!

",2
2,itsgettingreal17,"
Pitt has an excellent business school that is well regarded. So you already have an excellent option. I wouldn’t pass up Pitt for a chance at PSU with a summer start.  Ignoring rank, PSU isn’t appreciably better than Pitt’s CBA.  Most of the schools you are waiting on are reachy. Good luck!

",2
3,Mwfan1921,"
Pitt business is a great option to have, congratulations.
Your ECs are impressive, so I doubt that has been/will be an issue for acceptances. I don’t know the detail and rigor of your HS courses, but your ACT score is below the 25% level for several of the schools you applied to. Fordham and Babson acceptances are higher probability than the rest of the schools on your list, and most of the rest I would classify as high reaches (with Villanova a reach).
Don’t fret over decisions until you are faced with them…if you need summer earnings to pay for college, I would choose Pitt over Smeal summer…but only you can make these decisions. Good luck, keep us updated.

",2
3,Mwfan1921,"
Pitt business is a great option to have, congratulations.
Your ECs are impressive, so I doubt that has been/will be an issue for acceptances. I don’t know the detail and rigor of your HS courses, but your ACT score is below the 25% level for several of the schools you applied to. Fordham and Babson acceptances are higher probability than the rest of the schools on your list, and most of the rest I would classify as high reaches (with Villanova a reach).
Don’t fret over decisions until you are faced with them…if you need summer earnings to pay for college, I would choose Pitt over Smeal summer…but only you can make these decisions. Good luck, keep us updated.

",2
5,MYOS1634,"
How high did you score on your three subject tests for Georgetown? This will be key.
Had you taken calculus before you took statistics? (Reaching the highest possible level in math is crucial for business schools).
Smeal is the most selective college at PSU - only about 10% students are pre-admits from high school. The regular path is DUS-&gt; qualifying classes=&gt; admission to Smeal as a junior.
Your ECs are impressive and will be useful for the private universities you applied to.
ECs matter for Schreyer but dont really matter for general university Admissions. In addition, this year was totally weird due to their adopting BOTH early action AND common app.
Pitt is an excellent choice. Is it affordable? If so, you’ve got a great safety.

",2
5,MYOS1634,"
How high did you score on your three subject tests for Georgetown? This will be key.
Had you taken calculus before you took statistics? (Reaching the highest possible level in math is crucial for business schools).
Smeal is the most selective college at PSU - only about 10% students are pre-admits from high school. The regular path is DUS-&gt; qualifying classes=&gt; admission to Smeal as a junior.
Your ECs are impressive and will be useful for the private universities you applied to.
ECs matter for Schreyer but dont really matter for general university Admissions. In addition, this year was totally weird due to their adopting BOTH early action AND common app.
Pitt is an excellent choice. Is it affordable? If so, you’ve got a great safety.

",2
8,MYOS1634,"
Wharton considers that “AP Calc AB” is the default expected class for the lower level students since their first math class is caled calc 2 elsewhere. However if your school didn’t offer calc and your GC indicated you took ‘thevmet rigorous’ curriculum at your school, you wouldn’t be penalized.
Look, it’s not your fault since apparently you had no guidance.
Have you received financial aid packages? Is Pitt affordable? Last year there was a first Gen student (first to go to college) who ended up stuck because hed been admitted to Pitt and wasn’t affordable… 

",2
8,MYOS1634,"
Wharton considers that “AP Calc AB” is the default expected class for the lower level students since their first math class is caled calc 2 elsewhere. However if your school didn’t offer calc and your GC indicated you took ‘thevmet rigorous’ curriculum at your school, you wouldn’t be penalized.
Look, it’s not your fault since apparently you had no guidance.
Have you received financial aid packages? Is Pitt affordable? Last year there was a first Gen student (first to go to college) who ended up stuck because hed been admitted to Pitt and wasn’t affordable… 

",0
9,momprof9904,"
I too agree that Pitt business is a great option to have. Once you’re in college, aim for good grades - will you still need to work many hours to fund college? I have many students who work far too many hours and are unable to dedicate time to their classes. 20 hours a week is usually the max suggested for work.
With your work experience and a decent GPA from Pitt, you can target  decent internships in the summers, I think. My DS1 did not have hot stats to get into a top CS program, but had a lot of self motivated programming experience. He is now a sophomore at a mid-level university and got a summer internship based on decent grades and experience.
Also, look into taking some general education credits at your local community college in the summer before starting college… Many have class schedules that work with students’ work schedules.( Make sure all credits transfer) This could ease the load in the regular semesters if you are working.

",2
9,momprof9904,"
I too agree that Pitt business is a great option to have. Once you’re in college, aim for good grades - will you still need to work many hours to fund college? I have many students who work far too many hours and are unable to dedicate time to their classes. 20 hours a week is usually the max suggested for work.
With your work experience and a decent GPA from Pitt, you can target  decent internships in the summers, I think. My DS1 did not have hot stats to get into a top CS program, but had a lot of self motivated programming experience. He is now a sophomore at a mid-level university and got a summer internship based on decent grades and experience.
Also, look into taking some general education credits at your local community college in the summer before starting college… Many have class schedules that work with students’ work schedules.( Make sure all credits transfer) This could ease the load in the regular semesters if you are working.

",2
