index,user_id,comment,label_AB,label_AC,label_BC
1,AlmostThere2018,"
@Amateurengineer – Congrats!
Is price a factor for your decision?  These are all great programs, and if the money is a factor, you should probably go with the one that is most affordable so you don’t have to take out debt.
Penn State is obviously a much bigger university overall.
You may know that NC State’s engineering school is on its own (relatively new) campus across a busy road from the rest of the campus.  There’s a frequent bus that runs between the two campuses.  This campus also has a lot of industry research sites which makes for a lot of neat cross-pollination between academic and corporate research. RTP is booming overall, and Raleigh is a great city and the campus is not far from downtown; there’s a lot fo do.
I’ve never been to Blacksburg, VA and only saw Penn State once a million years ago so can’t help there.  My S is interested in engineering (college class of 2025) and these colleges so I’ll be watching others’ responses too!
Congrats again and good luck!

",3,0,0
1,AlmostThere2018,"
@Amateurengineer – Congrats!
Is price a factor for your decision?  These are all great programs, and if the money is a factor, you should probably go with the one that is most affordable so you don’t have to take out debt.
Penn State is obviously a much bigger university overall.
You may know that NC State’s engineering school is on its own (relatively new) campus across a busy road from the rest of the campus.  There’s a frequent bus that runs between the two campuses.  This campus also has a lot of industry research sites which makes for a lot of neat cross-pollination between academic and corporate research. RTP is booming overall, and Raleigh is a great city and the campus is not far from downtown; there’s a lot fo do.
I’ve never been to Blacksburg, VA and only saw Penn State once a million years ago so can’t help there.  My S is interested in engineering (college class of 2025) and these colleges so I’ll be watching others’ responses too!
Congrats again and good luck!

",2,0,1
2,moooop,"
All 3 of these universities have wonderful reputations in engineering. The thing that sticks out about NC State is it’s the only one of these 3 that is close to a significant amount of potential employers.
I know that it’s very possible to get intenships & jobs from a more-isolated campus…but when the employers are nearby,  it simplifies a lot of the interviewing, the traveling, the housing (especially for summer internships), etc. Also, I don’t know if internships during the school year are common for engineering students, but if they are, NC State would seem to have a clear advantage over the others.

",1,3,1
2,moooop,"
All 3 of these universities have wonderful reputations in engineering. The thing that sticks out about NC State is it’s the only one of these 3 that is close to a significant amount of potential employers.
I know that it’s very possible to get intenships & jobs from a more-isolated campus…but when the employers are nearby,  it simplifies a lot of the interviewing, the traveling, the housing (especially for summer internships), etc. Also, I don’t know if internships during the school year are common for engineering students, but if they are, NC State would seem to have a clear advantage over the others.

",2,0,1
3,chb088,"
My S18 is at NCSU (not engineering) and while we think it is wonderful, you should pick the most affordable option.

",0,0,0
3,chb088,"
My S18 is at NCSU (not engineering) and while we think it is wonderful, you should pick the most affordable option.

",0,0,0
4,jllmtw,"
All three have great reputations and will offer allot of opportunities.  They are all very large as well.  One has more winter, one is in the mountains and one has more seasons.  I attended NC State and have visited the others.  VaT is the prettiest campus, with the Hokie Stone buildings and mountain back drop.  NCSU Centennial Campus is very nice too and is where most of your engineering classes will be.  Be sure to check out the Hunt Library when you visit.  PSU campus is huge and very traditional (in a good way).  I went to a white-out game!  Had a great time.
Raleigh/Triangle will have more opportunity and more things to do in the area.
Visit and see which one feels the best.

",3,3,3
4,jllmtw,"
All three have great reputations and will offer allot of opportunities.  They are all very large as well.  One has more winter, one is in the mountains and one has more seasons.  I attended NC State and have visited the others.  VaT is the prettiest campus, with the Hokie Stone buildings and mountain back drop.  NCSU Centennial Campus is very nice too and is where most of your engineering classes will be.  Be sure to check out the Hunt Library when you visit.  PSU campus is huge and very traditional (in a good way).  I went to a white-out game!  Had a great time.
Raleigh/Triangle will have more opportunity and more things to do in the area.
Visit and see which one feels the best.

",2,3,1
9,sevmom,"
All three are excellent for engineering.   Price and fit will be important.
Virginia Tech has a beautiful campus .  Large but not overwhelming. The main  engineering building is state of the art and built a few years ago.  There is a corporate research center in Blacksburg with lots of potential employers. https://en.wikipedia.org/wiki/Virginia_Tech_Corporate_Research_Center
Many national companies come each year to recruit at the  Engineering Expo, the career fair. Many Virginia Tech engineers do summer internships in Washington, DC,  Richmond, Roanoke, Blacksburg, etc.
Penn State, NC State, and Virginia Tech will all have very good employment opportunities .

",3,3,3
9,sevmom,"
All three are excellent for engineering.   Price and fit will be important.
Virginia Tech has a beautiful campus .  Large but not overwhelming. The main  engineering building is state of the art and built a few years ago.  There is a corporate research center in Blacksburg with lots of potential employers. https://en.wikipedia.org/wiki/Virginia_Tech_Corporate_Research_Center
Many national companies come each year to recruit at the  Engineering Expo, the career fair. Many Virginia Tech engineers do summer internships in Washington, DC,  Richmond, Roanoke, Blacksburg, etc.
Penn State, NC State, and Virginia Tech will all have very good employment opportunities .

",3,3,3
