index,user_id,comment,label_AB,label_AC,label_BC
1,RichInPitt,"
VT, by far.

",0,2,2
1,RichInPitt,"
VT, by far.

",0,2,2
2,airway1,"
Cost an issue? It looks like VT is leading here but would she want to start at PSU Erie for the smaller classes? Is the honor program same school as UP?

",0,0,2
2,airway1,"
Cost an issue? It looks like VT is leading here but would she want to start at PSU Erie for the smaller classes? Is the honor program same school as UP?

",0,3,0
4,Creekland,"
I’d go with VT.  Normally VT and Penn St are pretty darn equal in caliber (albeit a general edge toward VT in most areas of engineering), but I’d wonder how the switch from the branch campus would go.  The better students from our high school (heading toward engineering) go straight to main campus.  I’m not sure if those who start at branch campuses end up doing fine or if not.  Those I know personally (who start at branch campuses) aren’t engineering majors.  Can Erie’s branch campus let you know how many start out vs finish?  (Then allow for the fact that there will be those who start and don’t finish at the Main Campus too, of course.)

",0,2,2
4,Creekland,"
I’d go with VT.  Normally VT and Penn St are pretty darn equal in caliber (albeit a general edge toward VT in most areas of engineering), but I’d wonder how the switch from the branch campus would go.  The better students from our high school (heading toward engineering) go straight to main campus.  I’m not sure if those who start at branch campuses end up doing fine or if not.  Those I know personally (who start at branch campuses) aren’t engineering majors.  Can Erie’s branch campus let you know how many start out vs finish?  (Then allow for the fact that there will be those who start and don’t finish at the Main Campus too, of course.)

",0,3,0
5,barrons,"
Another vote for VT

",0,2,2
5,barrons,"
Another vote for VT

",0,2,2
6,VA-NC,"
VT

",0,2,2
6,VA-NC,"
VT

",0,2,0
7,momofsenior1,"
VT

",0,2,2
7,momofsenior1,"
VT

",0,2,0
9,MYOS1634,"
Erie is excellent for engineering but…it’s not main campus. So it’d all depend on her/your certainty wrt small classes with little weedout (thanks to honors) but at a small campus (I think it’s 4,000 students and not all live on campus) requiring the move to a larger campus after 2 years, or 4 years in the same place, with all the on campus life it entails but also the increased competition. However my gut feeling would be to go for VT, so that she can have the “full college experience”.
Do ask VT what sort of support they have for women in engineering: WISE? Living learning communities? Special adviser within engineering?

",0,2,2
9,MYOS1634,"
Erie is excellent for engineering but…it’s not main campus. So it’d all depend on her/your certainty wrt small classes with little weedout (thanks to honors) but at a small campus (I think it’s 4,000 students and not all live on campus) requiring the move to a larger campus after 2 years, or 4 years in the same place, with all the on campus life it entails but also the increased competition. However my gut feeling would be to go for VT, so that she can have the “full college experience”.
Do ask VT what sort of support they have for women in engineering: WISE? Living learning communities? Special adviser within engineering?

",0,2,2
11,sevmom,"
The living /learning community for male engineering students at Virginia Tech is called Galileo. For women, it is called Hypatia.

",0,0,0
11,sevmom,"
The living /learning community for male engineering students at Virginia Tech is called Galileo. For women, it is called Hypatia.

",0,0,0
12,Greymeer,"
@J. L. What is the instate choice?

",0,0,0
12,Greymeer,"
@J. L. What is the instate choice?

",0,0,0
13,spqr70nj,"
@j. L  Sounds like you have the same decision to make as my son. Penn State admitted him 2+2 also but as OOS we’d have to be crazy to accept that cost wise. He is definitely UP material. Was also accepted to Rutgers, Buffalo, and West Virginia with significant merit.

",0,0,0
13,spqr70nj,"
@j. L  Sounds like you have the same decision to make as my son. Penn State admitted him 2+2 also but as OOS we’d have to be crazy to accept that cost wise. He is definitely UP material. Was also accepted to Rutgers, Buffalo, and West Virginia with significant merit.

",3,0,0
32,Greymeer,"
""However, isn’t the reason that normally people choose a more reputable school ""
Splitting hairs.
By regional reputation VT and ASU are academically equivalent schools.
On the east coast, VT is not considered to be any kind of academic powerhouse. No more than ASU is one on the west coast.

",2,3,3
32,Greymeer,"
""However, isn’t the reason that normally people choose a more reputable school ""
Splitting hairs.
By regional reputation VT and ASU are academically equivalent schools.
On the east coast, VT is not considered to be any kind of academic powerhouse. No more than ASU is one on the west coast.

",0,0,0
32,Greymeer,"
""However, isn’t the reason that normally people choose a more reputable school ""
Splitting hairs.
By regional reputation VT and ASU are academically equivalent schools.
On the east coast, VT is not considered to be any kind of academic powerhouse. No more than ASU is one on the west coast.

",0,0,0
33,MYOS1634,"
^ I disagree wrt to VT reputation. It is considered as a very strong university for stem, equal to PSU (main), UMD, etc

",2,3,2
33,MYOS1634,"
^ I disagree wrt to VT reputation. It is considered as a very strong university for stem, equal to PSU (main), UMD, etc

",0,3,0
33,MYOS1634,"
^ I disagree wrt to VT reputation. It is considered as a very strong university for stem, equal to PSU (main), UMD, etc

",0,3,0
35,Creekland,"

[quote]
On the east coast, VT is not considered to be any kind of academic powerhouse.
[/quote]

For engineering?  You ought to find a different crowd to consult with.  Powerhouses in engineering are often different than powerhouses for other majors.  Doing a quick google search and just looking on the search page it appears they’re ranked #13.  ASU is #38.  PSU is #24.  Individual departments have their own ranking so one should look at what they are interested in if rankings matter.  As with anything else, different schools have a more directed engineering focus.
Overall though, in engineering circles, yes, VT is considered an academic powerhouse.  H has had headhunters after him pretty much his whole engineering career and even when doing projects on other continents, his VT degree was respected (since many of those folks cared about the name on his diploma as well as projects he’d already done).

",2,1,3
35,Creekland,"

[quote]
On the east coast, VT is not considered to be any kind of academic powerhouse.
[/quote]

For engineering?  You ought to find a different crowd to consult with.  Powerhouses in engineering are often different than powerhouses for other majors.  Doing a quick google search and just looking on the search page it appears they’re ranked #13.  ASU is #38.  PSU is #24.  Individual departments have their own ranking so one should look at what they are interested in if rankings matter.  As with anything else, different schools have a more directed engineering focus.
Overall though, in engineering circles, yes, VT is considered an academic powerhouse.  H has had headhunters after him pretty much his whole engineering career and even when doing projects on other continents, his VT degree was respected (since many of those folks cared about the name on his diploma as well as projects he’d already done).

",0,2,0
35,Creekland,"

[quote]
On the east coast, VT is not considered to be any kind of academic powerhouse.
[/quote]

For engineering?  You ought to find a different crowd to consult with.  Powerhouses in engineering are often different than powerhouses for other majors.  Doing a quick google search and just looking on the search page it appears they’re ranked #13.  ASU is #38.  PSU is #24.  Individual departments have their own ranking so one should look at what they are interested in if rankings matter.  As with anything else, different schools have a more directed engineering focus.
Overall though, in engineering circles, yes, VT is considered an academic powerhouse.  H has had headhunters after him pretty much his whole engineering career and even when doing projects on other continents, his VT degree was respected (since many of those folks cared about the name on his diploma as well as projects he’d already done).

",0,2,0
37,Greymeer,"
^ “ASU is known to be the super safety school”
Umm… VT is a super safety.
https://www.forbes.com/sites/carolinesimon/2017/08/02/super-safety-schools-25-top-colleges-you-can-actually-get-into/#736185ef5954
Google “super safety colleges”.

",3,1,2
37,Greymeer,"
^ “ASU is known to be the super safety school”
Umm… VT is a super safety.
https://www.forbes.com/sites/carolinesimon/2017/08/02/super-safety-schools-25-top-colleges-you-can-actually-get-into/#736185ef5954
Google “super safety colleges”.

",0,0,0
37,Greymeer,"
^ “ASU is known to be the super safety school”
Umm… VT is a super safety.
https://www.forbes.com/sites/carolinesimon/2017/08/02/super-safety-schools-25-top-colleges-you-can-actually-get-into/#736185ef5954
Google “super safety colleges”.

",0,0,0
38,sevmom,"
Sorry, there is no way that Virginia Tech is a “super safety” in engineering.  VT’s fairly  high acceptance rates are misleading- lots of self selection in terms of applicants and a large class to admit every year .

",2,1,3
38,sevmom,"
Sorry, there is no way that Virginia Tech is a “super safety” in engineering.  VT’s fairly  high acceptance rates are misleading- lots of self selection in terms of applicants and a large class to admit every year .

",0,0,0
38,sevmom,"
Sorry, there is no way that Virginia Tech is a “super safety” in engineering.  VT’s fairly  high acceptance rates are misleading- lots of self selection in terms of applicants and a large class to admit every year .

",0,0,0
39,spqr70nj,"
A lot of the college admission percentages are misleading because they don’t account specific majors that may have higher admission criteria.  It’s just a percentage of total addimision. Penn State is another one.  They’ve admitted students this current admission cycle to the main University Park campus with substantially lower stats than a lot of business and engineering pre-majors with higher stats. Instead, PSU pushed those kids off to branch campuses.  And the expection is that if you want to attend, don’t count on any aid.

",1,3,2
39,spqr70nj,"
A lot of the college admission percentages are misleading because they don’t account specific majors that may have higher admission criteria.  It’s just a percentage of total addimision. Penn State is another one.  They’ve admitted students this current admission cycle to the main University Park campus with substantially lower stats than a lot of business and engineering pre-majors with higher stats. Instead, PSU pushed those kids off to branch campuses.  And the expection is that if you want to attend, don’t count on any aid.

",0,0,0
39,spqr70nj,"
A lot of the college admission percentages are misleading because they don’t account specific majors that may have higher admission criteria.  It’s just a percentage of total addimision. Penn State is another one.  They’ve admitted students this current admission cycle to the main University Park campus with substantially lower stats than a lot of business and engineering pre-majors with higher stats. Instead, PSU pushed those kids off to branch campuses.  And the expection is that if you want to attend, don’t count on any aid.

",0,0,0
40,barrons,"
Graymeer–in this case super safety does not mean what you think it does.

",2,1,3
40,barrons,"
Graymeer–in this case super safety does not mean what you think it does.

",0,0,0
40,barrons,"
Graymeer–in this case super safety does not mean what you think it does.

",0,0,0
41,MYOS1634,"
UIUC is on the “super safety” list, too.

",2,2,3
41,MYOS1634,"
UIUC is on the “super safety” list, too.

",0,0,0
41,MYOS1634,"
UIUC is on the “super safety” list, too.

",0,0,0
42,Creekland,"
Spent a few minutes looking at VT’s website about engineering and saw this statement:

[quote]
Virginia Tech produces a fifth of the nation’s professional engineers.
[/quote]

Have to admit I’m stunned.  Any idea where they got that info?  If true, I had no idea they produced so many and it could be another reason why they are considered an engineering powerhouse.  Granted, H is one of them as he’s had his PE for years, but still, one out of five from VT?  (Note if anyone missed it that this is PE  - professional engineers - not just engineering graduates.)  Still… where are the stats?  (Google has not been helpful.)
The statement comes from this page:
https://eng.vt.edu/admissions.html

",3,1,2
42,Creekland,"
Spent a few minutes looking at VT’s website about engineering and saw this statement:

[quote]
Virginia Tech produces a fifth of the nation’s professional engineers.
[/quote]

Have to admit I’m stunned.  Any idea where they got that info?  If true, I had no idea they produced so many and it could be another reason why they are considered an engineering powerhouse.  Granted, H is one of them as he’s had his PE for years, but still, one out of five from VT?  (Note if anyone missed it that this is PE  - professional engineers - not just engineering graduates.)  Still… where are the stats?  (Google has not been helpful.)
The statement comes from this page:
https://eng.vt.edu/admissions.html

",0,0,0
42,Creekland,"
Spent a few minutes looking at VT’s website about engineering and saw this statement:

[quote]
Virginia Tech produces a fifth of the nation’s professional engineers.
[/quote]

Have to admit I’m stunned.  Any idea where they got that info?  If true, I had no idea they produced so many and it could be another reason why they are considered an engineering powerhouse.  Granted, H is one of them as he’s had his PE for years, but still, one out of five from VT?  (Note if anyone missed it that this is PE  - professional engineers - not just engineering graduates.)  Still… where are the stats?  (Google has not been helpful.)
The statement comes from this page:
https://eng.vt.edu/admissions.html

",0,0,0
43,sevmom,"
@Creekland  The statement above  does not capitalize “professional engineer” or specifically reference PE status (my husband has his PE license  as well, although did not go to Virginia Tech). The website may just be talking about engineering graduates in general?  You could reach out to the Engineering department if you want or need clarification on that. The bottom line-Virginia Tech produces tons of engineers and their graduates are sought after by many employers.

",3,1,0
43,sevmom,"
@Creekland  The statement above  does not capitalize “professional engineer” or specifically reference PE status (my husband has his PE license  as well, although did not go to Virginia Tech). The website may just be talking about engineering graduates in general?  You could reach out to the Engineering department if you want or need clarification on that. The bottom line-Virginia Tech produces tons of engineers and their graduates are sought after by many employers.

",0,0,0
43,sevmom,"
@Creekland  The statement above  does not capitalize “professional engineer” or specifically reference PE status (my husband has his PE license  as well, although did not go to Virginia Tech). The website may just be talking about engineering graduates in general?  You could reach out to the Engineering department if you want or need clarification on that. The bottom line-Virginia Tech produces tons of engineers and their graduates are sought after by many employers.

",0,0,0
44,ucbalumnus,"
https://ncees.org/licensure/number-licensees-state/ says that there are about 820,000 licensed Professional Engineers.  Somehow, it seems doubtful that 164,000 of them are VT graduates (164,000 is about 98 years worth of VT engineering graduates, based on 1666 per year according to http://profiles.asee.org/profiles/8059/screen/21?school_name=Virginia+Polytechnic+Institute+and+State+University – and many engineering graduates outside of civil engineering do not seek PE licensing).
Now, if you are referring to all engineering graduates working in engineering jobs (whether or not with PE license), the number is even larger.

",0,0,0
44,ucbalumnus,"
https://ncees.org/licensure/number-licensees-state/ says that there are about 820,000 licensed Professional Engineers.  Somehow, it seems doubtful that 164,000 of them are VT graduates (164,000 is about 98 years worth of VT engineering graduates, based on 1666 per year according to http://profiles.asee.org/profiles/8059/screen/21?school_name=Virginia+Polytechnic+Institute+and+State+University – and many engineering graduates outside of civil engineering do not seek PE licensing).
Now, if you are referring to all engineering graduates working in engineering jobs (whether or not with PE license), the number is even larger.

",0,2,2
45,Creekland,"
@ucbalumnus  That is exactly the thought that came to my mind without the actual numbers.  Seems rather impossible any way one looks at it even if one assumes a reasonable number of those 820K came from abroad.  I like my alma mater and I know several successful graduates from it engineering and otherwise, but methinks that statement (whether PE or pe) is hogwash.  I’m very curious as to what they’re basing it on, but not curious enough to ask TBH.  If someone else did, I’d love to read the answer though - or see the statement taken down.  False facts is one of my pet peeves no matter who says it.

",0,0,0
45,Creekland,"
@ucbalumnus  That is exactly the thought that came to my mind without the actual numbers.  Seems rather impossible any way one looks at it even if one assumes a reasonable number of those 820K came from abroad.  I like my alma mater and I know several successful graduates from it engineering and otherwise, but methinks that statement (whether PE or pe) is hogwash.  I’m very curious as to what they’re basing it on, but not curious enough to ask TBH.  If someone else did, I’d love to read the answer though - or see the statement taken down.  False facts is one of my pet peeves no matter who says it.

",0,2,2
