index,user_id,comment,label
17,privatebanker,"
It’s $100,000 dollars over 4 years after tax. Roughly $125,000 in earned income to achieve.
If the $100,000 is not essential to your parents - emergency fund, retirement or for another child needing help for college in the future- then IU and Kelley School for a business career head start is better academically. UGA is pretty outstanding too. So if the facts above are not your family situation then UGA is the obvious choice.

",2
17,privatebanker,"
It’s $100,000 dollars over 4 years after tax. Roughly $125,000 in earned income to achieve.
If the $100,000 is not essential to your parents - emergency fund, retirement or for another child needing help for college in the future- then IU and Kelley School for a business career head start is better academically. UGA is pretty outstanding too. So if the facts above are not your family situation then UGA is the obvious choice.

",1
17,privatebanker,"
It’s $100,000 dollars over 4 years after tax. Roughly $125,000 in earned income to achieve.
If the $100,000 is not essential to your parents - emergency fund, retirement or for another child needing help for college in the future- then IU and Kelley School for a business career head start is better academically. UGA is pretty outstanding too. So if the facts above are not your family situation then UGA is the obvious choice.

",1
18,elena13,"
You can still apply to the UGA honors program either in the next couple of weeks or once you start college if that is important to you. There is a benefit to being in the honors program at UGA with regard to registering early for classes, and it is sometimes difficult to get into certain classes without that extra advantage.

",1
18,elena13,"
You can still apply to the UGA honors program either in the next couple of weeks or once you start college if that is important to you. There is a benefit to being in the honors program at UGA with regard to registering early for classes, and it is sometimes difficult to get into certain classes without that extra advantage.

",0
18,elena13,"
You can still apply to the UGA honors program either in the next couple of weeks or once you start college if that is important to you. There is a benefit to being in the honors program at UGA with regard to registering early for classes, and it is sometimes difficult to get into certain classes without that extra advantage.

",0
21,geauxagain,"
I work for the Atlanta office of one of the Big 4. You would probably apply for a job in the Atlanta, Charlotte, etc office. Work there 2 years and ask for a transfer to Chicago. A million years ago, I went to big SEC school, went to work for local office and then transferred to New York office. You could apply for a job directly to Chicago, etc office, but they will probably hire the people that had internships with them (and interns are usually from more local colleges). When I see the intern lists for Atlanta office, students are from Georgia State, UGA, Kennesaw, etc. Hope that helps!

",3
21,geauxagain,"
I work for the Atlanta office of one of the Big 4. You would probably apply for a job in the Atlanta, Charlotte, etc office. Work there 2 years and ask for a transfer to Chicago. A million years ago, I went to big SEC school, went to work for local office and then transferred to New York office. You could apply for a job directly to Chicago, etc office, but they will probably hire the people that had internships with them (and interns are usually from more local colleges). When I see the intern lists for Atlanta office, students are from Georgia State, UGA, Kennesaw, etc. Hope that helps!

",0
21,geauxagain,"
I work for the Atlanta office of one of the Big 4. You would probably apply for a job in the Atlanta, Charlotte, etc office. Work there 2 years and ask for a transfer to Chicago. A million years ago, I went to big SEC school, went to work for local office and then transferred to New York office. You could apply for a job directly to Chicago, etc office, but they will probably hire the people that had internships with them (and interns are usually from more local colleges). When I see the intern lists for Atlanta office, students are from Georgia State, UGA, Kennesaw, etc. Hope that helps!

",0
23,Publisher,"
Yes, you can request a specific office location but there is no guarantee. Much depends upon the area one is hired into & the need for associates at in that practice area at a particular office.
In one specialty, for example, associates & senior associates are in high demand at 26 offices in the continental US & can transfer to one’s office of choice in most cases.

",1
23,Publisher,"
Yes, you can request a specific office location but there is no guarantee. Much depends upon the area one is hired into & the need for associates at in that practice area at a particular office.
In one specialty, for example, associates & senior associates are in high demand at 26 offices in the continental US & can transfer to one’s office of choice in most cases.

",0
23,Publisher,"
Yes, you can request a specific office location but there is no guarantee. Much depends upon the area one is hired into & the need for associates at in that practice area at a particular office.
In one specialty, for example, associates & senior associates are in high demand at 26 offices in the continental US & can transfer to one’s office of choice in most cases.

",0
24,itsallinthedetails,"
What if…for some unknown reason…you decided to switch your major… Would you rather be at IU or UGA? Does one name carry more weight than the other in business or alone. Food for thought.

",2
24,itsallinthedetails,"
What if…for some unknown reason…you decided to switch your major… Would you rather be at IU or UGA? Does one name carry more weight than the other in business or alone. Food for thought.

",0
24,itsallinthedetails,"
What if…for some unknown reason…you decided to switch your major… Would you rather be at IU or UGA? Does one name carry more weight than the other in business or alone. Food for thought.

",0
25,Publisher,"
OP: If you switched your major, then UGA is the better option due to significantly lower cost of attendance.
The value in your admission to IU is that you are a direct admit into Kelley, plus, to a lesser degree, admission into the honors college.

",1
25,Publisher,"
OP: If you switched your major, then UGA is the better option due to significantly lower cost of attendance.
The value in your admission to IU is that you are a direct admit into Kelley, plus, to a lesser degree, admission into the honors college.

",1
