index,user_id,comment,label
1,Dancer41,"
I’m a parent so take this for what you will. Visited both schools with my daughter and full disclosure am a Vassar grad. My daughter and I found the opposite of what you’re expecting about the students. Vassar students were more down to earth, seemed happy and I would not describe as New York wanna bes. We both found more of a pretentious vibe at Kenyon and not one person looked up or smiled. The folks in admissions, including the student interviewer my daughter met with, were down right rude with a snobby air. Also Kenyon is very isolated so that’s a consideration as well. Poughkeepsie leaves a lot to be desired but the area around campus is nice and NYC is an option although it’s not so close that you’d be heading there every weekend. We saw confederate flags all over the area near Kenyon - a huge turn off for us at least. I know others will have other opinions - maybe we just hit Kenyon on a bad day.  Best of luck.

",3
1,Dancer41,"
I’m a parent so take this for what you will. Visited both schools with my daughter and full disclosure am a Vassar grad. My daughter and I found the opposite of what you’re expecting about the students. Vassar students were more down to earth, seemed happy and I would not describe as New York wanna bes. We both found more of a pretentious vibe at Kenyon and not one person looked up or smiled. The folks in admissions, including the student interviewer my daughter met with, were down right rude with a snobby air. Also Kenyon is very isolated so that’s a consideration as well. Poughkeepsie leaves a lot to be desired but the area around campus is nice and NYC is an option although it’s not so close that you’d be heading there every weekend. We saw confederate flags all over the area near Kenyon - a huge turn off for us at least. I know others will have other opinions - maybe we just hit Kenyon on a bad day.  Best of luck.

",0
1,Dancer41,"
I’m a parent so take this for what you will. Visited both schools with my daughter and full disclosure am a Vassar grad. My daughter and I found the opposite of what you’re expecting about the students. Vassar students were more down to earth, seemed happy and I would not describe as New York wanna bes. We both found more of a pretentious vibe at Kenyon and not one person looked up or smiled. The folks in admissions, including the student interviewer my daughter met with, were down right rude with a snobby air. Also Kenyon is very isolated so that’s a consideration as well. Poughkeepsie leaves a lot to be desired but the area around campus is nice and NYC is an option although it’s not so close that you’d be heading there every weekend. We saw confederate flags all over the area near Kenyon - a huge turn off for us at least. I know others will have other opinions - maybe we just hit Kenyon on a bad day.  Best of luck.

",1
2,Publisher,"
@2019kid: Wow are you mixed up ! Kenyon is the exact opposite of what you write that you are seeking.
As a family, we visited Kenyon about a decade ago. Had the same experience as did the above poster @Dancer41.

",1
2,Publisher,"
@2019kid: Wow are you mixed up ! Kenyon is the exact opposite of what you write that you are seeking.
As a family, we visited Kenyon about a decade ago. Had the same experience as did the above poster @Dancer41.

",0
2,Publisher,"
@2019kid: Wow are you mixed up ! Kenyon is the exact opposite of what you write that you are seeking.
As a family, we visited Kenyon about a decade ago. Had the same experience as did the above poster @Dancer41.

",2
3,Publisher,"
If you like Vassar College, then you might find Wesleyan University interesting.
If you like Kenyon College, then consider Colorado College.

",3
3,Publisher,"
If you like Vassar College, then you might find Wesleyan University interesting.
If you like Kenyon College, then consider Colorado College.

",0
3,Publisher,"
If you like Vassar College, then you might find Wesleyan University interesting.
If you like Kenyon College, then consider Colorado College.

",1
4,Temperantia,"
I visited Kenyon with my son this summer. I really liked the campus  but it was tough to judge vibe with few students around.  It it does have a more homogenous and moderate reputation.  As OH schools go, it sounds to me like you’d like Oberlin more. Very progressive and diverse.

",2
4,Temperantia,"
I visited Kenyon with my son this summer. I really liked the campus  but it was tough to judge vibe with few students around.  It it does have a more homogenous and moderate reputation.  As OH schools go, it sounds to me like you’d like Oberlin more. Very progressive and diverse.

",2
4,Temperantia,"
I visited Kenyon with my son this summer. I really liked the campus  but it was tough to judge vibe with few students around.  It it does have a more homogenous and moderate reputation.  As OH schools go, it sounds to me like you’d like Oberlin more. Very progressive and diverse.

",2
