index,user_id,comment,label
4,bernie12,"
@SBSapphire :  Well then apply to both and if you get into URoch, go there.  I wouldn’t bank on merit aid as their stats are pretty similar to Emory’s (Emory just gets higher app. volume).  You would not stand out at either statistically.
Also please please please stop asking:  “Which one will give you the higher GPA?”.  Ain’t nobody GIVING you nothing! It makes you sound like a bad applicant to either who isn’t worried about learning and who believes that getting a higher GPA is a matter of choosing the right elite school.  That makes no sense.  In addition, it is a horrible question because we don’t know what you will major in, the courses and professors you would take at each, and how they will grade.  We don’t know, so stop asking.
Leave your confusion behind on the medical school admit rates.  You either have a great application or you don’t.  If you went to a state school with a 35% rate but were excellent versus the rest of the student body and your performance reflected it, you would very likely get in unless you can’t interview well.  There are so many things that affect these numbers that you need to just stop being confused, visit places and choose somewhere you actually fit, and do well.  That is how you get to your next destination.  These percentages have nothing to do with what YOU and your situation and performance will be.  Either take that to heart or remain confused and go to Rochester or wherever else.
You already asked about competition and I don’t know anything about UR’s academic environment.  Emory’s was already answered.
Your thing about weed-out is just false (UR has engineering, and engineering curricula everywhere and especially at selective schools are very challenging, but that has nothing to do with pre-med classes.  From my comparisons of course materials in the life sciences, Emory is among the harder schools ranked between 13 and 25 or so).  Every student at every damned school claims that pre-med courses are weedouts.  If you compared the actual courses between elite schools you would either find out that there is no difference, or that one student body was exaggerating to a ridiculous extent.  If you want to keep saying this with no evidence than hearsay, please avoid Emory because what you “heard” will lead you to a path of misery.   Pre-med is going to be hard at any selective university.  To even try to split hairs between selective schools without seeing course materials is a waste of time so stop doing it.  If you are concerned, choose schools much less selective than either of these and stop saying this part and the stuff about the GPA every time you post.

",2
4,bernie12,"
@SBSapphire :  Well then apply to both and if you get into URoch, go there.  I wouldn’t bank on merit aid as their stats are pretty similar to Emory’s (Emory just gets higher app. volume).  You would not stand out at either statistically.
Also please please please stop asking:  “Which one will give you the higher GPA?”.  Ain’t nobody GIVING you nothing! It makes you sound like a bad applicant to either who isn’t worried about learning and who believes that getting a higher GPA is a matter of choosing the right elite school.  That makes no sense.  In addition, it is a horrible question because we don’t know what you will major in, the courses and professors you would take at each, and how they will grade.  We don’t know, so stop asking.
Leave your confusion behind on the medical school admit rates.  You either have a great application or you don’t.  If you went to a state school with a 35% rate but were excellent versus the rest of the student body and your performance reflected it, you would very likely get in unless you can’t interview well.  There are so many things that affect these numbers that you need to just stop being confused, visit places and choose somewhere you actually fit, and do well.  That is how you get to your next destination.  These percentages have nothing to do with what YOU and your situation and performance will be.  Either take that to heart or remain confused and go to Rochester or wherever else.
You already asked about competition and I don’t know anything about UR’s academic environment.  Emory’s was already answered.
Your thing about weed-out is just false (UR has engineering, and engineering curricula everywhere and especially at selective schools are very challenging, but that has nothing to do with pre-med classes.  From my comparisons of course materials in the life sciences, Emory is among the harder schools ranked between 13 and 25 or so).  Every student at every damned school claims that pre-med courses are weedouts.  If you compared the actual courses between elite schools you would either find out that there is no difference, or that one student body was exaggerating to a ridiculous extent.  If you want to keep saying this with no evidence than hearsay, please avoid Emory because what you “heard” will lead you to a path of misery.   Pre-med is going to be hard at any selective university.  To even try to split hairs between selective schools without seeing course materials is a waste of time so stop doing it.  If you are concerned, choose schools much less selective than either of these and stop saying this part and the stuff about the GPA every time you post.

",0
4,bernie12,"
@SBSapphire :  Well then apply to both and if you get into URoch, go there.  I wouldn’t bank on merit aid as their stats are pretty similar to Emory’s (Emory just gets higher app. volume).  You would not stand out at either statistically.
Also please please please stop asking:  “Which one will give you the higher GPA?”.  Ain’t nobody GIVING you nothing! It makes you sound like a bad applicant to either who isn’t worried about learning and who believes that getting a higher GPA is a matter of choosing the right elite school.  That makes no sense.  In addition, it is a horrible question because we don’t know what you will major in, the courses and professors you would take at each, and how they will grade.  We don’t know, so stop asking.
Leave your confusion behind on the medical school admit rates.  You either have a great application or you don’t.  If you went to a state school with a 35% rate but were excellent versus the rest of the student body and your performance reflected it, you would very likely get in unless you can’t interview well.  There are so many things that affect these numbers that you need to just stop being confused, visit places and choose somewhere you actually fit, and do well.  That is how you get to your next destination.  These percentages have nothing to do with what YOU and your situation and performance will be.  Either take that to heart or remain confused and go to Rochester or wherever else.
You already asked about competition and I don’t know anything about UR’s academic environment.  Emory’s was already answered.
Your thing about weed-out is just false (UR has engineering, and engineering curricula everywhere and especially at selective schools are very challenging, but that has nothing to do with pre-med classes.  From my comparisons of course materials in the life sciences, Emory is among the harder schools ranked between 13 and 25 or so).  Every student at every damned school claims that pre-med courses are weedouts.  If you compared the actual courses between elite schools you would either find out that there is no difference, or that one student body was exaggerating to a ridiculous extent.  If you want to keep saying this with no evidence than hearsay, please avoid Emory because what you “heard” will lead you to a path of misery.   Pre-med is going to be hard at any selective university.  To even try to split hairs between selective schools without seeing course materials is a waste of time so stop doing it.  If you are concerned, choose schools much less selective than either of these and stop saying this part and the stuff about the GPA every time you post.

",0
5,EllieMom,"
Emory and Rochester are basically peer institutions, slight differences in rankings, acceptance rates, and medical school placement notwithstanding.  Both are excellent schools with lots of clinical and research opportunities convenient to the main undergrad campus. And both are rigorous and respected without being known for cut-throat academics or grade deflation (or inflation, either, for that matter).  But, yes, you’ll also find “weed out” courses at both schools as well.
Remember, too, MOST students do not go to undergrad and med school at the same institution.  So, size of med school class or reserved places for REMS is sort of immaterial.  Some of the best schools for pre-meds are LACs that have no direct ties to med school but provide excellent education and good pre-med advising.
Conventional advice for pre-meds is to make sure that they pay attention to COA, since they will have several more years of schooling after undergrad to consider in terms of finances.

",1
5,EllieMom,"
Emory and Rochester are basically peer institutions, slight differences in rankings, acceptance rates, and medical school placement notwithstanding.  Both are excellent schools with lots of clinical and research opportunities convenient to the main undergrad campus. And both are rigorous and respected without being known for cut-throat academics or grade deflation (or inflation, either, for that matter).  But, yes, you’ll also find “weed out” courses at both schools as well.
Remember, too, MOST students do not go to undergrad and med school at the same institution.  So, size of med school class or reserved places for REMS is sort of immaterial.  Some of the best schools for pre-meds are LACs that have no direct ties to med school but provide excellent education and good pre-med advising.
Conventional advice for pre-meds is to make sure that they pay attention to COA, since they will have several more years of schooling after undergrad to consider in terms of finances.

",0
5,EllieMom,"
Emory and Rochester are basically peer institutions, slight differences in rankings, acceptance rates, and medical school placement notwithstanding.  Both are excellent schools with lots of clinical and research opportunities convenient to the main undergrad campus. And both are rigorous and respected without being known for cut-throat academics or grade deflation (or inflation, either, for that matter).  But, yes, you’ll also find “weed out” courses at both schools as well.
Remember, too, MOST students do not go to undergrad and med school at the same institution.  So, size of med school class or reserved places for REMS is sort of immaterial.  Some of the best schools for pre-meds are LACs that have no direct ties to med school but provide excellent education and good pre-med advising.
Conventional advice for pre-meds is to make sure that they pay attention to COA, since they will have several more years of schooling after undergrad to consider in terms of finances.

",3
6,bernie12,"
Also to add to your confusion:  Emory used to release the tables with the breakdown of pre-health admissions data.  If you had a 3.5 GPA and 30 equivalent on the MCAT, your chances of admission were 80% + (may have actually been 90%).  Let us use those analytical skills to determine what may have been up with most of the 45% who didn’t/don’t gain admission.  Also, does the fact that most folks with a 3.5 GPA get in tell you that Emory is “less rigorous” than whatever?  Let us put it all together shall we.

",3
6,bernie12,"
Also to add to your confusion:  Emory used to release the tables with the breakdown of pre-health admissions data.  If you had a 3.5 GPA and 30 equivalent on the MCAT, your chances of admission were 80% + (may have actually been 90%).  Let us use those analytical skills to determine what may have been up with most of the 45% who didn’t/don’t gain admission.  Also, does the fact that most folks with a 3.5 GPA get in tell you that Emory is “less rigorous” than whatever?  Let us put it all together shall we.

",2
6,bernie12,"
Also to add to your confusion:  Emory used to release the tables with the breakdown of pre-health admissions data.  If you had a 3.5 GPA and 30 equivalent on the MCAT, your chances of admission were 80% + (may have actually been 90%).  Let us use those analytical skills to determine what may have been up with most of the 45% who didn’t/don’t gain admission.  Also, does the fact that most folks with a 3.5 GPA get in tell you that Emory is “less rigorous” than whatever?  Let us put it all together shall we.

",0
7,Mwfan1921,"
@bernie12  Can you link to that data, please? Thanks!

",1
