index,user_id,comment,label
2,PurpleTitan,"
Why not RPI or Case?
I’m not sure how much outsiders can help you with hubby.
So what choice would he make? What does D like? Who likes what for what reasons and how much are you willing to pay?

",0
2,PurpleTitan,"
Why not RPI or Case?
I’m not sure how much outsiders can help you with hubby.
So what choice would he make? What does D like? Who likes what for what reasons and how much are you willing to pay?

",0
3,patatty,"
What doesn’t she like about Cornell?  The weather?  RPI and Case will have similar weather. One great thing about Cornell engineering is that it is 50% female, which is unusual for an engineering school. My D is a freshman MechE major at Cornell and absolutely loves it.  Cornell has so many opportunities to get involved, especially for engineers. She is heavily involved in one of the big project teams, which had given her a great network of friends from all years, as well as real hands-on engineering training.  Cornell has a very strong alumni network as well, especially in the NY area.  I’m an alum myself, and spend a lot of time mentoring recent Cornell grads who want to go into my field. D also looked at RPI but was wary of the lopsided gender ratio, and its extreme tech focus (even the ""liberal arts’ requirements are tech classes).  I don’t know much about VaTech. $30K is a big chunk of money though - only you can decide whether it will be worth it.
Edit -  Is that $30K total or $30K per year?  If that is per year, then that is a much bigger consideration - not sure Cornell is worth $120K more over those other schools.

",1
3,patatty,"
What doesn’t she like about Cornell?  The weather?  RPI and Case will have similar weather. One great thing about Cornell engineering is that it is 50% female, which is unusual for an engineering school. My D is a freshman MechE major at Cornell and absolutely loves it.  Cornell has so many opportunities to get involved, especially for engineers. She is heavily involved in one of the big project teams, which had given her a great network of friends from all years, as well as real hands-on engineering training.  Cornell has a very strong alumni network as well, especially in the NY area.  I’m an alum myself, and spend a lot of time mentoring recent Cornell grads who want to go into my field. D also looked at RPI but was wary of the lopsided gender ratio, and its extreme tech focus (even the ""liberal arts’ requirements are tech classes).  I don’t know much about VaTech. $30K is a big chunk of money though - only you can decide whether it will be worth it.
Edit -  Is that $30K total or $30K per year?  If that is per year, then that is a much bigger consideration - not sure Cornell is worth $120K more over those other schools.

",1
4,MYOS1634,"
If her father isn’t willing to pay then he gets no say.
If he doesn’t pay, can you afford Cornell out of income and savings?
(DO NOT take on parents loans for Cornell just because dad is pushing for it!)
If you can afford Cornell: has she visited? Or does she dislike it because it’s Dad’s alma mater?
If she doesn’t like Cornell, what’s your rationale as to why you’d pay for her to go there?
Case would be a nice compromise - nice urban area, private university, excellent for STEM, variety in class offerings, less skewed m:f ratio than at RPI.
Then again, RPI is a powerhouse in STEM - in case academics matter most to her their focus is clear and strong. (The city it’s in isn’t the best and the m:f ratio is really skewed but the reputation in industry is great).
See if she can do overnights at Vtech and Case. It’ll clear things up: does she prefer a city or a college town, etc.

",0
4,MYOS1634,"
If her father isn’t willing to pay then he gets no say.
If he doesn’t pay, can you afford Cornell out of income and savings?
(DO NOT take on parents loans for Cornell just because dad is pushing for it!)
If you can afford Cornell: has she visited? Or does she dislike it because it’s Dad’s alma mater?
If she doesn’t like Cornell, what’s your rationale as to why you’d pay for her to go there?
Case would be a nice compromise - nice urban area, private university, excellent for STEM, variety in class offerings, less skewed m:f ratio than at RPI.
Then again, RPI is a powerhouse in STEM - in case academics matter most to her their focus is clear and strong. (The city it’s in isn’t the best and the m:f ratio is really skewed but the reputation in industry is great).
See if she can do overnights at Vtech and Case. It’ll clear things up: does she prefer a city or a college town, etc.

",0
6,MYOS1634,"
Send a letter to Cornell Financial Aid highlighting the situation with your 10-year old. You’ll have to provide pretty detailed information so it might feel intrusive. However a medical situation and having to send a disabled child to private school for accomodations as well as costs associated with disability CAN be taken into account and may result in Cornell offering a bit in financial aid.
Also, are you sure you input the fact you’d have TWO in college (UMiami + daughter) in the CSS Profile? Check.

",0
6,MYOS1634,"
Send a letter to Cornell Financial Aid highlighting the situation with your 10-year old. You’ll have to provide pretty detailed information so it might feel intrusive. However a medical situation and having to send a disabled child to private school for accomodations as well as costs associated with disability CAN be taken into account and may result in Cornell offering a bit in financial aid.
Also, are you sure you input the fact you’d have TWO in college (UMiami + daughter) in the CSS Profile? Check.

",1
8,mikemac,"

[quote]
I think my daughter would be happy with VT. It’s #14 vs Cornell’s #10
[/quote]

As an engineer your husband should understand there is no discernable difference in the engineering education she will receive as these schools

",3
8,mikemac,"

[quote]
I think my daughter would be happy with VT. It’s #14 vs Cornell’s #10
[/quote]

As an engineer your husband should understand there is no discernable difference in the engineering education she will receive as these schools

",3
9,PurpleTitan,"
There will be differences in opportunities outside of engineering.
So what about Case?
Is she guaranteed her major at VTech?

",0
9,PurpleTitan,"
There will be differences in opportunities outside of engineering.
So what about Case?
Is she guaranteed her major at VTech?

",0
12,PurpleTitan,"
Honestly, USNews rankings are definitely NOT a perfect metric.

",0
12,PurpleTitan,"
Honestly, USNews rankings are definitely NOT a perfect metric.

",0
13,sevmom,"
Has your daughter looked into Hypatia, the living-learning community for female engineering students at Virginia Tech? I had a son at VT. He loved it there. Just anecdotal, but my son had a female Cornell engineering student on his team for an internship. They were both offered full time positions at graduation. VT has a very large Career Fair. There are  detailed post grad surveys available  online and VT engineers are very well recruited by many different companies. Of course, Cornell is an excellent choice as well. Any of these schools will provide an excellent education. She may do best at the school she feels most comfortable at, which may not end up being where others think she should go or want her to go ! Good luck with the decision!

",3
13,sevmom,"
Has your daughter looked into Hypatia, the living-learning community for female engineering students at Virginia Tech? I had a son at VT. He loved it there. Just anecdotal, but my son had a female Cornell engineering student on his team for an internship. They were both offered full time positions at graduation. VT has a very large Career Fair. There are  detailed post grad surveys available  online and VT engineers are very well recruited by many different companies. Of course, Cornell is an excellent choice as well. Any of these schools will provide an excellent education. She may do best at the school she feels most comfortable at, which may not end up being where others think she should go or want her to go ! Good luck with the decision!

",2
