index,user_id,comment,label
1,garymui,"
Are you talking about undergrad or grad school?  I did Wharton undergrad (M&T) and then got my MBA at NYU (part-time while employeed).  For what it’s worth, I definitely felt that the Wharton undergrad classes were more advanced (and harder) than the Stern classes.  This could be an undergrad / grad difference, but the caliber of students at Wharton was higher than at Stern.

",1
1,garymui,"
Are you talking about undergrad or grad school?  I did Wharton undergrad (M&T) and then got my MBA at NYU (part-time while employeed).  For what it’s worth, I definitely felt that the Wharton undergrad classes were more advanced (and harder) than the Stern classes.  This could be an undergrad / grad difference, but the caliber of students at Wharton was higher than at Stern.

",0
3,f2000sa,"
Attend Wharton if you can afford.

",1
3,f2000sa,"
Attend Wharton if you can afford.

",0
4,IB_Xavier_2017,"
@dannydalt64 Wait for UPenn’s offer first, I am sure it will be pretty good. I am also sure you will make the decision that is right for you. It’s not the School, but what you do that defines you.

",0
4,IB_Xavier_2017,"
@dannydalt64 Wait for UPenn’s offer first, I am sure it will be pretty good. I am also sure you will make the decision that is right for you. It’s not the School, but what you do that defines you.

",1
5,aoeuidhtns,"
Can you afford wharton tuition? Also, what are your career goals?

",0
5,aoeuidhtns,"
Can you afford wharton tuition? Also, what are your career goals?

",0
6,garymui,"
As IBXavier2017 suggested, I’d wait for the Penn offer before deciding anything. Penn is need based so if NYU’s offer was based on need, I wouldn’t be surprised if Penn’s offer was similar in terms of family contribution. If you are keen on pursuing business, I would recommend Wharton.  It is what you do with it but I know I got job interviews based on the Wharton degree. For me there are other factors that would lead me to Penn like coordinated dual degree programs you can do with Wharton undergrad (I was accepted into Wharton and then transferred into M&T) and even though it is an in urban setting, it still have a very campus feel to it.  NYU will pretty much be an all urban setting.

",1
6,garymui,"
As IBXavier2017 suggested, I’d wait for the Penn offer before deciding anything. Penn is need based so if NYU’s offer was based on need, I wouldn’t be surprised if Penn’s offer was similar in terms of family contribution. If you are keen on pursuing business, I would recommend Wharton.  It is what you do with it but I know I got job interviews based on the Wharton degree. For me there are other factors that would lead me to Penn like coordinated dual degree programs you can do with Wharton undergrad (I was accepted into Wharton and then transferred into M&T) and even though it is an in urban setting, it still have a very campus feel to it.  NYU will pretty much be an all urban setting.

",1
