index,user_id,comment,label
1,privatebanker,"
A Mystery wrapped in a riddle.
It depends on major and your personal preferences.
But since you are asking. I would vote BC. Lovely campus vs none. Higher ranked overall. Although in the top 50 they are all excellent Selectivity on a huge rise at BC although already super select. Meaning smart classmates. Large and growing endowment. New buildings and investment in infrastructure. Brand new field house with beautiful gym, pools and dance rooms for students. The brand new Schiller integrated sciences center which will be cutting edge in cross disciplinary research. New school of engineering adding to science chops. Excellent pre health consulting. And a d1 acc football and basketball team right on campus for fun activities. Hockey too. So many clubs and access to city without being fully integrated into the city.

",2
1,privatebanker,"
A Mystery wrapped in a riddle.
It depends on major and your personal preferences.
But since you are asking. I would vote BC. Lovely campus vs none. Higher ranked overall. Although in the top 50 they are all excellent Selectivity on a huge rise at BC although already super select. Meaning smart classmates. Large and growing endowment. New buildings and investment in infrastructure. Brand new field house with beautiful gym, pools and dance rooms for students. The brand new Schiller integrated sciences center which will be cutting edge in cross disciplinary research. New school of engineering adding to science chops. Excellent pre health consulting. And a d1 acc football and basketball team right on campus for fun activities. Hockey too. So many clubs and access to city without being fully integrated into the city.

",2
1,privatebanker,"
A Mystery wrapped in a riddle.
It depends on major and your personal preferences.
But since you are asking. I would vote BC. Lovely campus vs none. Higher ranked overall. Although in the top 50 they are all excellent Selectivity on a huge rise at BC although already super select. Meaning smart classmates. Large and growing endowment. New buildings and investment in infrastructure. Brand new field house with beautiful gym, pools and dance rooms for students. The brand new Schiller integrated sciences center which will be cutting edge in cross disciplinary research. New school of engineering adding to science chops. Excellent pre health consulting. And a d1 acc football and basketball team right on campus for fun activities. Hockey too. So many clubs and access to city without being fully integrated into the city.

",2
2,undergrad2018,"
It definitely comes down to your preferences and vibe. BU has an urban campus connected to the city (albeit a pretty self contained one confined to a stretch of Commonwealth Ave), whereas BC has a traditional (and very beautiful) collegiate campus ~30 minutes out by public transit.
Acknowledging the limits of stereotypes, BU kids are typically seen as trendier and more individualistic, whereas BC kids maintain a preppier, more mainstream image. BU students interact more with local schools, particularly MIT, than do BC kids by virtue of proximity.
Contrary to the previous post, I would say BU has made proportionally far greater strides in selectivity than BC; BC has been top-notch for some time, while BU just recently caught up to a similar standard of selectivity. The incoming GPAs and standardized test scores are nearly identical, and BU has a ~6 percentage point lower acceptance rate likely because it draws from a comparitively more extensive international applicant pool. Considering BU’s momentum relative BC, BU will likely make up the 5 spot difference in US News rankings and leapfrog BC by the time you graduate - if rankings are important to you / employers in your prospective field.
BC and BU have a similar endowment (~2 bil), but BU shares that amongst roughly twice the student population.
BU’s Kilachand center (CILSE) has the same focus on interdisciplinarity, and it was endowed with $100 million dollars by a donation last year that will mean it will dependably pump out ~$5 million in research per year at minimum. BU conducted $400 million in research last year, and BC conducted $193 million. Overall, BU typically carries more weight in the sciences.
Case in point, do research on your intended major/career, gauge which one would fit your vibe best, and know you’re picking between two great options.

",3
2,undergrad2018,"
It definitely comes down to your preferences and vibe. BU has an urban campus connected to the city (albeit a pretty self contained one confined to a stretch of Commonwealth Ave), whereas BC has a traditional (and very beautiful) collegiate campus ~30 minutes out by public transit.
Acknowledging the limits of stereotypes, BU kids are typically seen as trendier and more individualistic, whereas BC kids maintain a preppier, more mainstream image. BU students interact more with local schools, particularly MIT, than do BC kids by virtue of proximity.
Contrary to the previous post, I would say BU has made proportionally far greater strides in selectivity than BC; BC has been top-notch for some time, while BU just recently caught up to a similar standard of selectivity. The incoming GPAs and standardized test scores are nearly identical, and BU has a ~6 percentage point lower acceptance rate likely because it draws from a comparitively more extensive international applicant pool. Considering BU’s momentum relative BC, BU will likely make up the 5 spot difference in US News rankings and leapfrog BC by the time you graduate - if rankings are important to you / employers in your prospective field.
BC and BU have a similar endowment (~2 bil), but BU shares that amongst roughly twice the student population.
BU’s Kilachand center (CILSE) has the same focus on interdisciplinarity, and it was endowed with $100 million dollars by a donation last year that will mean it will dependably pump out ~$5 million in research per year at minimum. BU conducted $400 million in research last year, and BC conducted $193 million. Overall, BU typically carries more weight in the sciences.
Case in point, do research on your intended major/career, gauge which one would fit your vibe best, and know you’re picking between two great options.

",0
2,undergrad2018,"
It definitely comes down to your preferences and vibe. BU has an urban campus connected to the city (albeit a pretty self contained one confined to a stretch of Commonwealth Ave), whereas BC has a traditional (and very beautiful) collegiate campus ~30 minutes out by public transit.
Acknowledging the limits of stereotypes, BU kids are typically seen as trendier and more individualistic, whereas BC kids maintain a preppier, more mainstream image. BU students interact more with local schools, particularly MIT, than do BC kids by virtue of proximity.
Contrary to the previous post, I would say BU has made proportionally far greater strides in selectivity than BC; BC has been top-notch for some time, while BU just recently caught up to a similar standard of selectivity. The incoming GPAs and standardized test scores are nearly identical, and BU has a ~6 percentage point lower acceptance rate likely because it draws from a comparitively more extensive international applicant pool. Considering BU’s momentum relative BC, BU will likely make up the 5 spot difference in US News rankings and leapfrog BC by the time you graduate - if rankings are important to you / employers in your prospective field.
BC and BU have a similar endowment (~2 bil), but BU shares that amongst roughly twice the student population.
BU’s Kilachand center (CILSE) has the same focus on interdisciplinarity, and it was endowed with $100 million dollars by a donation last year that will mean it will dependably pump out ~$5 million in research per year at minimum. BU conducted $400 million in research last year, and BC conducted $193 million. Overall, BU typically carries more weight in the sciences.
Case in point, do research on your intended major/career, gauge which one would fit your vibe best, and know you’re picking between two great options.

",3
3,privatebanker,"
Leapfrog BC. Perhaps.  Proof is in the pudding. For now they are 5 spots behind in UNWR. Not that rankings are all that. They’ve both been at this game for s long time.

",2
3,privatebanker,"
Leapfrog BC. Perhaps.  Proof is in the pudding. For now they are 5 spots behind in UNWR. Not that rankings are all that. They’ve both been at this game for s long time.

",2
3,privatebanker,"
Leapfrog BC. Perhaps.  Proof is in the pudding. For now they are 5 spots behind in UNWR. Not that rankings are all that. They’ve both been at this game for s long time.

",2
4,suzyQ7,"
What is your intended major?

",0
