index,user_id,comment,label_AB,label_AC,label_BC
1,MA2012,"
You should have financial aid offers already. Did you run NPC calculators last fall to check on needs based aid from Ivy’s/Stanford?  Full tuition is a nice offer.
Does your child have a major in mind?
USC is a good school. UIUC is very good for some majors.

",0,0,3
1,MA2012,"
You should have financial aid offers already. Did you run NPC calculators last fall to check on needs based aid from Ivy’s/Stanford?  Full tuition is a nice offer.
Does your child have a major in mind?
USC is a good school. UIUC is very good for some majors.

",1,1,3
1,MA2012,"
You should have financial aid offers already. Did you run NPC calculators last fall to check on needs based aid from Ivy’s/Stanford?  Full tuition is a nice offer.
Does your child have a major in mind?
USC is a good school. UIUC is very good for some majors.

",0,0,0
2,menloparkmom,"
OP,
my DS was in the same situation a few years back. Got into Chicago, Dartmouth, Brown as well as some great LAC’s.
He chose USC , graduated with honors and was one of only 10 students who received Discovery Scholars 10K awards for grad school.
He just received his PhD from CalTech, the most prestigious grad U in the world, also at no cost.
His intention all along was to go to CT for grad school, and USC helped make that happen.
He never regretted going to USC. He found his “peeps” in the small Honors Science and Humanities classes, was able to do funded research all 4 years, and  he wants to go back to be a professor.
You graduate will be treated like Gold at USC.
And there is Nothing like being able to wear shorts and sandles all year long, lol!

",0,2,2
2,menloparkmom,"
OP,
my DS was in the same situation a few years back. Got into Chicago, Dartmouth, Brown as well as some great LAC’s.
He chose USC , graduated with honors and was one of only 10 students who received Discovery Scholars 10K awards for grad school.
He just received his PhD from CalTech, the most prestigious grad U in the world, also at no cost.
His intention all along was to go to CT for grad school, and USC helped make that happen.
He never regretted going to USC. He found his “peeps” in the small Honors Science and Humanities classes, was able to do funded research all 4 years, and  he wants to go back to be a professor.
You graduate will be treated like Gold at USC.
And there is Nothing like being able to wear shorts and sandles all year long, lol!

",1,2,2
2,menloparkmom,"
OP,
my DS was in the same situation a few years back. Got into Chicago, Dartmouth, Brown as well as some great LAC’s.
He chose USC , graduated with honors and was one of only 10 students who received Discovery Scholars 10K awards for grad school.
He just received his PhD from CalTech, the most prestigious grad U in the world, also at no cost.
His intention all along was to go to CT for grad school, and USC helped make that happen.
He never regretted going to USC. He found his “peeps” in the small Honors Science and Humanities classes, was able to do funded research all 4 years, and  he wants to go back to be a professor.
You graduate will be treated like Gold at USC.
And there is Nothing like being able to wear shorts and sandles all year long, lol!

",0,0,0
3,PurpleTitan,"
What major?

",0,0,0
3,PurpleTitan,"
What major?

",1,2,2
3,PurpleTitan,"
What major?

",0,0,0
4,happymomof1,"
Lots of students who can’t easily afford Stanford, etc. end up at their home-state Us, or at places that give them big merit scholarships every single year.  Don’t feel bad about this.  If UIUC and/or USC work better for your family, send your kid there and don’t look back.  Students with the capabilities to do well at Stanford, etc. can find their peer group wherever they land.

",3,3,3
