index,user_id,comment,label_AB,label_AC,label_BC
1,privatebanker,"
@Vincent1997
Congrats all super schools. You must have worked hard for the opportunities.
Did you get into Carroll school?  If so and you want to work on east coast in govt or banking my opinion would be BC. If not it’s a toss up. My daughter got into BC and USC but chose USC for the weather . She also had honors college at UF and full scholarship. UF isn’t UNC but it’s a top 10 USNWR public uni like unc.  It’s pretty close.
She is premed though not business. If she got into Carroll and not the other schools b schools it would be 100 percent BC

",1,3,2
2,privatebanker,"
Also assuming costs are same or not part of your decision.

",0,0,0
4,VAMom23,"
UNC–no guaranteed admit to business
USC- On the eest coast–you are interested in working on the East Coast
BC–On the east coast. If you can study business there, what is the downside?

",1,3,2
6,VAMom23,"
@Vincent1997 I asked so that you can help yourself reach a conclusion.  That BC &lt; UNC CH in business (based only on what you say) won’t matter if you don’t have a guaranteed admit. The admission stats for UNC’s business school are really low, so you are taking a risk.  Do you have a back up major?

",1,0,0
8,privatebanker,"
Unc is an excellent school. And seems like where you would like to attend.  I’ve been there numerous times and think it’s a very nice place. Know a few grads and they are good kids and gainfully employed. But I have no idea where your stats are comming from regarding BC Carroll School of Management low pay and localized around Boston?  That’s utter nonsense. Sorry. A large group of students stay in Boston because Boston is very attractive and New England despite the weather gets a hold of you. So yeah BC is big in Boston. Which also the educational capital of the world. The mutual fund capital, genetics reasesrch and pharmaceutical. And hot tech.  And low pay. I could give you the list of superstar CSOM grads but that would be unnecessary.
Congrats on all the great options  Best of luck at UNC and enjoy the great hoops too!

",1,1,1
10,simonlee7,"
Did you get into all 3?

",0,0,0
12,CADREAMIN,"
@Vincent1997 I think you are still waiting to hear from USC? Is that correct? Did you apply to Marshall? Are the other schools transfer decision’s out yet - have you been accepted into them and need to make a decision on one or the other right away? Point is I think the answer for now is BC or UNC - choose between them, then make it a choice between USC and that winner when the time comes. Comparing two at a time is easier so things don’t get jumbled in your head.

",3,0,0
14,CADREAMIN,"
East/west coast preference when you are done with school?

",0,0,0
15,privatebanker,"
I would go to UNC as easily as UVA.  
Here’s a few  BC grads of note in recent times
Too many to name. But I here’s a few
Kevin Alloca 06. Head of YouTube culture and Trends, Google
Stephen Barry Managing Director Goldman Sachs
Nick Burns Undersecretary of State
Marty Walsh. mayor of Boston
Amy Poehler. Saturday night live
Chris  O’Donnell  Hollywood movie star
Ed Markey current. US Senator
Dr Peter Dervan Prof Cal Tech. Winner of the national medal of science
Peter Lynch vice chairman Fidelity Investments
Considered one of the greatest money managers in history
Carolyn Dever Provost. Dartmouth College
Jennie Chin Hansen president AARP
John Kerry   Secretary of State
Julianne Marveaux. President of Bennett College
Dr Ernest moniz. Secretary of Energy
Diane Morrison. President and ceo Campbell Soup
Like russert. nbc news son of former host of face the nation
Phil Schiller SVP of global marketing at Apple
Matt Ryan Luke keikley. Current nfl stars Doug Flutie of course and a bunch women Olympians

",1,1,0
16,privatebanker,"
I hope you get into both USC and Bc.  If you go to usc you can watch out for my daughter for me. 

",1,3,2
18,privatebanker,"
Sorry Vincent I don’t know. She’s a Fall Freshman. But all of the schools you like are world class in every way including facilities. BC facilities keep getting better. Except some forced triples for freshman. The new rec center opening this fall and the new science center for 2019 are awesome. Unc was the same. When went I was more impressed with their campus than duke and that’s rarefied air.

",1,1,0
