index,user_id,comment,label
1,Hamurtle,"
WashU has the higher rated PoliSci program, but it comes down to the following:
(1) Educational quality
(2) Financial affordability
(3) Overall fit
I would ignore the GroupMes.  My son is in a bunch of them and barely checks them at all.  And my advice is to not check/post at all.
There isn’t a big drug culture at all on campus.  St. Louis is definitely not Berkeley-we never noticed anything of the sort during our visits.
As for Greek life, it’s not that pervasive.  You are under no pressure to join.
WashU is a collaborative environment.  My son isn’t a PoliSci major (actually Biology/History) and is in multiple study groups.

",1
1,Hamurtle,"
WashU has the higher rated PoliSci program, but it comes down to the following:
(1) Educational quality
(2) Financial affordability
(3) Overall fit
I would ignore the GroupMes.  My son is in a bunch of them and barely checks them at all.  And my advice is to not check/post at all.
There isn’t a big drug culture at all on campus.  St. Louis is definitely not Berkeley-we never noticed anything of the sort during our visits.
As for Greek life, it’s not that pervasive.  You are under no pressure to join.
WashU is a collaborative environment.  My son isn’t a PoliSci major (actually Biology/History) and is in multiple study groups.

",1
1,Hamurtle,"
WashU has the higher rated PoliSci program, but it comes down to the following:
(1) Educational quality
(2) Financial affordability
(3) Overall fit
I would ignore the GroupMes.  My son is in a bunch of them and barely checks them at all.  And my advice is to not check/post at all.
There isn’t a big drug culture at all on campus.  St. Louis is definitely not Berkeley-we never noticed anything of the sort during our visits.
As for Greek life, it’s not that pervasive.  You are under no pressure to join.
WashU is a collaborative environment.  My son isn’t a PoliSci major (actually Biology/History) and is in multiple study groups.

",0
2,Chipotbae,"
I wouldn’t worry at all, that’s definitely not the prevailing culture at WashU. I’m also a part of those exact same chats and groups, and if you look at the roommate spreadsheet (which is still a fraction of the incoming students) you’ll see a lot more variety in partying preference.
Wherever you go people will be into different things, but WashU actually has a great student culture where you’re not pressured or expected to do things you don’t want to do. I and the girls I’ve talked with so far are more into pizza and movies (but to each her own, of course). And no matter how much people want to party, we’re all going to get our butts kicked by hard (but engaging and cool!) classes and have to study a lot.
Like @Hamurtle said, WashU is super collaborative, and GroupMes don’t provide the whole picture  Best of luck with your decisions!

",1
2,Chipotbae,"
I wouldn’t worry at all, that’s definitely not the prevailing culture at WashU. I’m also a part of those exact same chats and groups, and if you look at the roommate spreadsheet (which is still a fraction of the incoming students) you’ll see a lot more variety in partying preference.
Wherever you go people will be into different things, but WashU actually has a great student culture where you’re not pressured or expected to do things you don’t want to do. I and the girls I’ve talked with so far are more into pizza and movies (but to each her own, of course). And no matter how much people want to party, we’re all going to get our butts kicked by hard (but engaging and cool!) classes and have to study a lot.
Like @Hamurtle said, WashU is super collaborative, and GroupMes don’t provide the whole picture  Best of luck with your decisions!

",1
2,Chipotbae,"
I wouldn’t worry at all, that’s definitely not the prevailing culture at WashU. I’m also a part of those exact same chats and groups, and if you look at the roommate spreadsheet (which is still a fraction of the incoming students) you’ll see a lot more variety in partying preference.
Wherever you go people will be into different things, but WashU actually has a great student culture where you’re not pressured or expected to do things you don’t want to do. I and the girls I’ve talked with so far are more into pizza and movies (but to each her own, of course). And no matter how much people want to party, we’re all going to get our butts kicked by hard (but engaging and cool!) classes and have to study a lot.
Like @Hamurtle said, WashU is super collaborative, and GroupMes don’t provide the whole picture  Best of luck with your decisions!

",0
4,Hamurtle,"
@reindeercoffee what country do you currently live in?  Maine and Missouri are definitely different.

",0
4,Hamurtle,"
@reindeercoffee what country do you currently live in?  Maine and Missouri are definitely different.

",0
4,Hamurtle,"
@reindeercoffee what country do you currently live in?  Maine and Missouri are definitely different.

",0
6,doschicos,"
St. Louis isn’t suburban IMO although it won’t compare to a large Chinese city.
Brunswick ME is a small town but it has a lot of amenities and Portland ME is a cool city not far away. Boston isn’t too far either, really.
If like nature - mountains, ocean - I would definitely favor Bowdoin.

",2
