index,user_id,comment,label_AB,label_AC,label_BC
2,PurpleTitan,"
Hamilton or Wesleyan, easily.

",3,1,1
2,PurpleTitan,"
Hamilton or Wesleyan, easily.

",0,1,1
4,pupscotch,"
Neither Wesleyan nor Hamilton has anywhere near the kind of resources that Georgia Tech can provide for engineering, but if you want to be Pre-Med, Georgia Tech probably isn’t the best option. Are you sure that’s the major you’d like?

",3,2,2
4,pupscotch,"
Neither Wesleyan nor Hamilton has anywhere near the kind of resources that Georgia Tech can provide for engineering, but if you want to be Pre-Med, Georgia Tech probably isn’t the best option. Are you sure that’s the major you’d like?

",0,2,2
5,jym626,"
You have listed everything you don’t want. What do you want?  And if you are a GA resident and got the Zell, congrats. But remember, you have to keep the grades to keep the Zell.
Your small LACs aren’t going to give you engineering, but they are great schools and very very affordable with those FA#s!

",0,0,0
5,jym626,"
You have listed everything you don’t want. What do you want?  And if you are a GA resident and got the Zell, congrats. But remember, you have to keep the grades to keep the Zell.
Your small LACs aren’t going to give you engineering, but they are great schools and very very affordable with those FA#s!

",3,0,0
8,merc81,"
I agree that your choice of college will depend on how sure you are with respect to your intended major. Though Hamilton and Wesleyan would be excellent choices for pre-med studies, and even pre-engineering (essentially physics and math), they do not offer direct engineering programs.

",3,1,1
8,merc81,"
I agree that your choice of college will depend on how sure you are with respect to your intended major. Though Hamilton and Wesleyan would be excellent choices for pre-med studies, and even pre-engineering (essentially physics and math), they do not offer direct engineering programs.

",3,0,0
12,jym626,"
Wait til you have your FA offers

",0,0,0
12,jym626,"
Wait til you have your FA offers

",0,0,0
15,pupscotch,"
Hamilton has a lot of inroads in finance, if you’re interested in that. I don’t know much about Wesleyan.

",1,1,0
15,pupscotch,"
Hamilton has a lot of inroads in finance, if you’re interested in that. I don’t know much about Wesleyan.

",1,1,0
17,merc81,"
@Waitwhatss:
For either Hamilton or Wesleyan (both great schools!) to be a top choice, you should enter with a strong interest in pursuing a range of arts and sciences fields through your elective choices (e.g., classics, religious studies, government, literature, history, geosciences, astronomy, sociology . . . or really any similarly diverse array of courses that might appeal to you). With respect to major choices that might be appropriate, you might consider computer science, math, physics, economics, or a combination from this group. In terms of post-graduate earnings potential, early career salaries can be found through U.S. News. Hamilton appears highest among the NESCAC LACs in this area. But, as stated, be sure their curriculum appeals to you based on your sincere academic interests.

",3,1,1
17,merc81,"
@Waitwhatss:
For either Hamilton or Wesleyan (both great schools!) to be a top choice, you should enter with a strong interest in pursuing a range of arts and sciences fields through your elective choices (e.g., classics, religious studies, government, literature, history, geosciences, astronomy, sociology . . . or really any similarly diverse array of courses that might appeal to you). With respect to major choices that might be appropriate, you might consider computer science, math, physics, economics, or a combination from this group. In terms of post-graduate earnings potential, early career salaries can be found through U.S. News. Hamilton appears highest among the NESCAC LACs in this area. But, as stated, be sure their curriculum appeals to you based on your sincere academic interests.

",1,1,0
20,merc81,"
If you have gotten this far, then you know that Hamilton’s flexible curriculum would allow you to take take nearly all of your courses in STEM fields such as math, physics and computer science. Moreover, Hamilton might be stronger in a field such as math (a core liberal art) when compared to even a STEM-focused school such as GIT. However, you might already sense whether you are the Georgia Tech type (either positively or negatively), and, if so, this should make your decision simpler.

",1,3,2
20,merc81,"
If you have gotten this far, then you know that Hamilton’s flexible curriculum would allow you to take take nearly all of your courses in STEM fields such as math, physics and computer science. Moreover, Hamilton might be stronger in a field such as math (a core liberal art) when compared to even a STEM-focused school such as GIT. However, you might already sense whether you are the Georgia Tech type (either positively or negatively), and, if so, this should make your decision simpler.

",1,1,0
21,merc81,"
And
GIT and Hamilton both have their tech aspects, appearing here among “The 10 Most Wired Colleges”:
https://m.huffpost.com/us/entry/4546120

",1,3,2
21,merc81,"
And
GIT and Hamilton both have their tech aspects, appearing here among “The 10 Most Wired Colleges”:
https://m.huffpost.com/us/entry/4546120

",1,3,2
22,jym626,"
Most everyone wants to make a lot of money, @Waitwhatss. Most people don’t go to a strong 4 year college with the goal of becoming a Starbucks barista upon graduation. That said, you won’t likely start your first job as president of a company. IMO, don’t major in”what will make you a lot of money”,  study what YOU want, what will make you thrive in college, do well and be interesting to employers. Even if you decided to  do Teach for America for a year or so after college, you may choose to go to grad school, a professional school, or move on to a job where your experience will help get a foot in the door. Enjoy college. Don’t think of it as a trade school.

",0,0,0
