index,user_id,comment,label
1,Eeyore123,"
It looks like Psychology is their 4th largest major. Grad school shouldn’t be an issue but I would still ask them.

",0
1,Eeyore123,"
It looks like Psychology is their 4th largest major. Grad school shouldn’t be an issue but I would still ask them.

",0
1,Eeyore123,"
It looks like Psychology is their 4th largest major. Grad school shouldn’t be an issue but I would still ask them.

",0
2,menloparkmom,"
Many, many college students change their mind regarding their choice of major. It may be that she does as well, and that could change your outlook.
Will the cold weather on Ohio have a negative impact on her health?
It is a small college and she could get a bad case of “cabin fever” once  there, given that she currently lives in a large metropolitan area in Calif.
Will your financial situation change much if you move to Ohio? Do you currently own your home? If so the profits from the sale could impact her FA going forward. I dont like the idea of a one year “full ride”. Perhaps you could ask Kenyon to  sweeten the pot and increase her offer to cover 4 years ? In other words, a scholarship, rather than loans?
If I were you, If they can’t or wont’, given that you had planned on taking out loans anyway, I’d stay in SD.

",1
2,menloparkmom,"
Many, many college students change their mind regarding their choice of major. It may be that she does as well, and that could change your outlook.
Will the cold weather on Ohio have a negative impact on her health?
It is a small college and she could get a bad case of “cabin fever” once  there, given that she currently lives in a large metropolitan area in Calif.
Will your financial situation change much if you move to Ohio? Do you currently own your home? If so the profits from the sale could impact her FA going forward. I dont like the idea of a one year “full ride”. Perhaps you could ask Kenyon to  sweeten the pot and increase her offer to cover 4 years ? In other words, a scholarship, rather than loans?
If I were you, If they can’t or wont’, given that you had planned on taking out loans anyway, I’d stay in SD.

",2
2,menloparkmom,"
Many, many college students change their mind regarding their choice of major. It may be that she does as well, and that could change your outlook.
Will the cold weather on Ohio have a negative impact on her health?
It is a small college and she could get a bad case of “cabin fever” once  there, given that she currently lives in a large metropolitan area in Calif.
Will your financial situation change much if you move to Ohio? Do you currently own your home? If so the profits from the sale could impact her FA going forward. I dont like the idea of a one year “full ride”. Perhaps you could ask Kenyon to  sweeten the pot and increase her offer to cover 4 years ? In other words, a scholarship, rather than loans?
If I were you, If they can’t or wont’, given that you had planned on taking out loans anyway, I’d stay in SD.

",2
3,kalons,"
hi there. i don’t know much (if anything) about ucsd, but i looked into kenyon quite a bit. kenyon offers psychology and neuroscience, and my admissions counselor explained an Off-Campus Activities Program in Psychology (OAPP) is offered which allows students to take advantage of its relationship with the James Cancer Hospital in Colombus to volunteer/pursue internships there. kenyon ends up placing students in very good graduate schools, so i would not worry about that.

",1
3,kalons,"
hi there. i don’t know much (if anything) about ucsd, but i looked into kenyon quite a bit. kenyon offers psychology and neuroscience, and my admissions counselor explained an Off-Campus Activities Program in Psychology (OAPP) is offered which allows students to take advantage of its relationship with the James Cancer Hospital in Colombus to volunteer/pursue internships there. kenyon ends up placing students in very good graduate schools, so i would not worry about that.

",1
3,kalons,"
hi there. i don’t know much (if anything) about ucsd, but i looked into kenyon quite a bit. kenyon offers psychology and neuroscience, and my admissions counselor explained an Off-Campus Activities Program in Psychology (OAPP) is offered which allows students to take advantage of its relationship with the James Cancer Hospital in Colombus to volunteer/pursue internships there. kenyon ends up placing students in very good graduate schools, so i would not worry about that.

",1
6,bopper,"
As far as the major goes, all colleges have psychology. If she wants to end up as a psychologist, it will be about Grad School, not undergraduate.

",0
6,bopper,"
As far as the major goes, all colleges have psychology. If she wants to end up as a psychologist, it will be about Grad School, not undergraduate.

",0
6,bopper,"
As far as the major goes, all colleges have psychology. If she wants to end up as a psychologist, it will be about Grad School, not undergraduate.

",2
