index,user_id,comment,label
1,coolguy40,"
That’s a huge no-brainer. Take the scholarship.  Not sure?  Substitute the word “college” for “new car.”  Which one would you take? A 60k BMW at 5% interest you can’t really afford anyway, or a new Honda Accord for free?  You’re going to be better off financially taking the free car.  Now, you mentioned medical school.  That’s going to be a lot of money in loans, and you’ll have a major advantage going into med school debt free.

",0
1,coolguy40,"
That’s a huge no-brainer. Take the scholarship.  Not sure?  Substitute the word “college” for “new car.”  Which one would you take? A 60k BMW at 5% interest you can’t really afford anyway, or a new Honda Accord for free?  You’re going to be better off financially taking the free car.  Now, you mentioned medical school.  That’s going to be a lot of money in loans, and you’ll have a major advantage going into med school debt free.

",0
1,coolguy40,"
That’s a huge no-brainer. Take the scholarship.  Not sure?  Substitute the word “college” for “new car.”  Which one would you take? A 60k BMW at 5% interest you can’t really afford anyway, or a new Honda Accord for free?  You’re going to be better off financially taking the free car.  Now, you mentioned medical school.  That’s going to be a lot of money in loans, and you’ll have a major advantage going into med school debt free.

",2
2,PurpleTitan,"
If you are definitely going to med school (and can get in), I’d advise UW-Madison.
Otherwise, how much debt would you have to take on for Yale? How much can parents afford to pay?

",2
2,PurpleTitan,"
If you are definitely going to med school (and can get in), I’d advise UW-Madison.
Otherwise, how much debt would you have to take on for Yale? How much can parents afford to pay?

",2
2,PurpleTitan,"
If you are definitely going to med school (and can get in), I’d advise UW-Madison.
Otherwise, how much debt would you have to take on for Yale? How much can parents afford to pay?

",2
3,BKSquared,"
Actually the true financial comparison is ($0, assuming full ride means everything is covered) vs. about $280k (Yale full pay plus expenses).  If full ride means just tuition is covered, instead of $0, it is everything else you would need/expect to pay over 4 years.  Even if the debt at the end of 4 years is only $60k, the fact is there was another roughly $220k  (or whatever the final differential is vs Madison) spent that could have been saved. If you are definite about med school, it looks like a pretty easy decision unless money is really no issue for your family.

",2
3,BKSquared,"
Actually the true financial comparison is ($0, assuming full ride means everything is covered) vs. about $280k (Yale full pay plus expenses).  If full ride means just tuition is covered, instead of $0, it is everything else you would need/expect to pay over 4 years.  Even if the debt at the end of 4 years is only $60k, the fact is there was another roughly $220k  (or whatever the final differential is vs Madison) spent that could have been saved. If you are definite about med school, it looks like a pretty easy decision unless money is really no issue for your family.

",2
3,BKSquared,"
Actually the true financial comparison is ($0, assuming full ride means everything is covered) vs. about $280k (Yale full pay plus expenses).  If full ride means just tuition is covered, instead of $0, it is everything else you would need/expect to pay over 4 years.  Even if the debt at the end of 4 years is only $60k, the fact is there was another roughly $220k  (or whatever the final differential is vs Madison) spent that could have been saved. If you are definite about med school, it looks like a pretty easy decision unless money is really no issue for your family.

",2
4,frozencustard,"
Only $15K debt per year to go to Yale?  Wow!!!  You should be jumping all over that.
Go to Yale and don’t look back.

",1
4,frozencustard,"
Only $15K debt per year to go to Yale?  Wow!!!  You should be jumping all over that.
Go to Yale and don’t look back.

",1
4,frozencustard,"
Only $15K debt per year to go to Yale?  Wow!!!  You should be jumping all over that.
Go to Yale and don’t look back.

",1
6,jzducol,"
Yale has an average GPA of 3.7 vs Madison’s 3.3.  If you apply to med school with a choice of Yale 3.7 vs Madison 3.3, you would be glad to pay $60k to gain an advantage.

",1
6,jzducol,"
Yale has an average GPA of 3.7 vs Madison’s 3.3.  If you apply to med school with a choice of Yale 3.7 vs Madison 3.3, you would be glad to pay $60k to gain an advantage.

",0
6,jzducol,"
Yale has an average GPA of 3.7 vs Madison’s 3.3.  If you apply to med school with a choice of Yale 3.7 vs Madison 3.3, you would be glad to pay $60k to gain an advantage.

",3
