index,user_id,comment,label
1,prezbucky,"
I think Northwestern is a little bit stronger academically overall – very strong in STEM, social sciences and the humanities. Rice is known for its strength in STEM but I’m not sure it’s quite as strong as Northwestern elsewhere. That said, I’m sure Rice is adequate in the non-STEM areas. Assuming you plan on majoring in a STEM field, small differences in quality elsewhere might affect your electives but your major studies will be top-notch.
Is there a notable difference in cost? It sounds like you like them about equally.

",1
1,prezbucky,"
I think Northwestern is a little bit stronger academically overall – very strong in STEM, social sciences and the humanities. Rice is known for its strength in STEM but I’m not sure it’s quite as strong as Northwestern elsewhere. That said, I’m sure Rice is adequate in the non-STEM areas. Assuming you plan on majoring in a STEM field, small differences in quality elsewhere might affect your electives but your major studies will be top-notch.
Is there a notable difference in cost? It sounds like you like them about equally.

",1
1,prezbucky,"
I think Northwestern is a little bit stronger academically overall – very strong in STEM, social sciences and the humanities. Rice is known for its strength in STEM but I’m not sure it’s quite as strong as Northwestern elsewhere. That said, I’m sure Rice is adequate in the non-STEM areas. Assuming you plan on majoring in a STEM field, small differences in quality elsewhere might affect your electives but your major studies will be top-notch.
Is there a notable difference in cost? It sounds like you like them about equally.

",3
4,juillet,"
I don’t think being near Chicago will give you more opportunities than being in Houston. Houston is a major city; it’s the fourth largest city in the United States (right after Chicago, actually!) and health, medicine, and biomedical research are  big drivers of Houston’s economy. I’d say your opportunities are roughly equal, at least in any sense that would matter to an undergrad. Rice does a lot of research and is located right next to the Texas Medical Center - but there are lots of other industries in case you change your mind.
I’ve only been briefly in both cities but it’s been my experience that moving around Chicago without a car is far easier than getting around Houston without one.
If you want something closer to the stereotypical “traditional” college experience - parties, big sports games, school spirit in spades - Northwestern is probably more likely to provide that, at least superficially. But in actuality, the “college experience” varies a lot from school to school and even from person to person. There are definitely people at Big 10 schools who haven’t attended a single sports game and don’t care a whit about sports. And college students everywhere like to party and make good friends, so you can find that at Rice, if you want!

",2
4,juillet,"
I don’t think being near Chicago will give you more opportunities than being in Houston. Houston is a major city; it’s the fourth largest city in the United States (right after Chicago, actually!) and health, medicine, and biomedical research are  big drivers of Houston’s economy. I’d say your opportunities are roughly equal, at least in any sense that would matter to an undergrad. Rice does a lot of research and is located right next to the Texas Medical Center - but there are lots of other industries in case you change your mind.
I’ve only been briefly in both cities but it’s been my experience that moving around Chicago without a car is far easier than getting around Houston without one.
If you want something closer to the stereotypical “traditional” college experience - parties, big sports games, school spirit in spades - Northwestern is probably more likely to provide that, at least superficially. But in actuality, the “college experience” varies a lot from school to school and even from person to person. There are definitely people at Big 10 schools who haven’t attended a single sports game and don’t care a whit about sports. And college students everywhere like to party and make good friends, so you can find that at Rice, if you want!

",3
4,juillet,"
I don’t think being near Chicago will give you more opportunities than being in Houston. Houston is a major city; it’s the fourth largest city in the United States (right after Chicago, actually!) and health, medicine, and biomedical research are  big drivers of Houston’s economy. I’d say your opportunities are roughly equal, at least in any sense that would matter to an undergrad. Rice does a lot of research and is located right next to the Texas Medical Center - but there are lots of other industries in case you change your mind.
I’ve only been briefly in both cities but it’s been my experience that moving around Chicago without a car is far easier than getting around Houston without one.
If you want something closer to the stereotypical “traditional” college experience - parties, big sports games, school spirit in spades - Northwestern is probably more likely to provide that, at least superficially. But in actuality, the “college experience” varies a lot from school to school and even from person to person. There are definitely people at Big 10 schools who haven’t attended a single sports game and don’t care a whit about sports. And college students everywhere like to party and make good friends, so you can find that at Rice, if you want!

",3
5,Publisher,"
If cost is equal, then this is a personal decision. Go with your heart as both are very prestigious schools with brilliant, accomplished and, most importantly, hardworking, ambitious students. Congratulations !

",3
5,Publisher,"
If cost is equal, then this is a personal decision. Go with your heart as both are very prestigious schools with brilliant, accomplished and, most importantly, hardworking, ambitious students. Congratulations !

",3
5,Publisher,"
If cost is equal, then this is a personal decision. Go with your heart as both are very prestigious schools with brilliant, accomplished and, most importantly, hardworking, ambitious students. Congratulations !

",0
6,SatchelSF,"
Houston &gt; Chicago, and this will only grow over the next 30 years.  Rice is also in the nicest part of Houston proper.
As for prestige, I think it depends on who (and where) you ask.  There is no question that while both schools’ reputations have increased dramatically over the last 30 years, I’d say that Rice’s has improved more on a relative basis, especially in the South and West of the country.
Congrats - you really can’t go wrong with either, but I think I’d lean Rice for most fields of interest.

",2
6,SatchelSF,"
Houston &gt; Chicago, and this will only grow over the next 30 years.  Rice is also in the nicest part of Houston proper.
As for prestige, I think it depends on who (and where) you ask.  There is no question that while both schools’ reputations have increased dramatically over the last 30 years, I’d say that Rice’s has improved more on a relative basis, especially in the South and West of the country.
Congrats - you really can’t go wrong with either, but I think I’d lean Rice for most fields of interest.

",2
6,SatchelSF,"
Houston &gt; Chicago, and this will only grow over the next 30 years.  Rice is also in the nicest part of Houston proper.
As for prestige, I think it depends on who (and where) you ask.  There is no question that while both schools’ reputations have increased dramatically over the last 30 years, I’d say that Rice’s has improved more on a relative basis, especially in the South and West of the country.
Congrats - you really can’t go wrong with either, but I think I’d lean Rice for most fields of interest.

",2
7,Publisher,"
Interesting post by Satchel. I couldn’t disagree more. I have never, and would never, rank Houston above Chicago for anything beyond oil production and uncomfortable humidity.
But, even so, it is a personal decision.

",1
7,Publisher,"
Interesting post by Satchel. I couldn’t disagree more. I have never, and would never, rank Houston above Chicago for anything beyond oil production and uncomfortable humidity.
But, even so, it is a personal decision.

",1
7,Publisher,"
Interesting post by Satchel. I couldn’t disagree more. I have never, and would never, rank Houston above Chicago for anything beyond oil production and uncomfortable humidity.
But, even so, it is a personal decision.

",0
8,Houston1021,"
Can you visit both schools for admitted student events before you decide? Both have gorgeous campuses. NW is on the lake while Rice is in the museum district of Houston. Rice will have nicer (not brutally cold) weather in the winter/spring, but NW will have nicer (not brutally hot and humid) weather in the summer/fall. NW has Greek life while Rice does not. Rice has the residential college system. Both have division 1 sports. NW has good spectator sports atmosphere while the Rice students mostly ignore the sports teams. Both are terrific schools.There are plenty of parties at both schools.  You can’t go wrong with either choice.

",3
8,Houston1021,"
Can you visit both schools for admitted student events before you decide? Both have gorgeous campuses. NW is on the lake while Rice is in the museum district of Houston. Rice will have nicer (not brutally cold) weather in the winter/spring, but NW will have nicer (not brutally hot and humid) weather in the summer/fall. NW has Greek life while Rice does not. Rice has the residential college system. Both have division 1 sports. NW has good spectator sports atmosphere while the Rice students mostly ignore the sports teams. Both are terrific schools.There are plenty of parties at both schools.  You can’t go wrong with either choice.

",3
8,Houston1021,"
Can you visit both schools for admitted student events before you decide? Both have gorgeous campuses. NW is on the lake while Rice is in the museum district of Houston. Rice will have nicer (not brutally cold) weather in the winter/spring, but NW will have nicer (not brutally hot and humid) weather in the summer/fall. NW has Greek life while Rice does not. Rice has the residential college system. Both have division 1 sports. NW has good spectator sports atmosphere while the Rice students mostly ignore the sports teams. Both are terrific schools.There are plenty of parties at both schools.  You can’t go wrong with either choice.

",3
