index,user_id,comment,label_AB,label_AC,label_BC
1,PurpleTitan,"
No honors at McCombs, right?
If American, I would choose Mendoza. McIntire is too uncertain.

",0,0,0
1,PurpleTitan,"
No honors at McCombs, right?
If American, I would choose Mendoza. McIntire is too uncertain.

",0,0,0
1,PurpleTitan,"
No honors at McCombs, right?
If American, I would choose Mendoza. McIntire is too uncertain.

",1,1,3
3,PurpleTitan,"
There would be a pecking order in terms of opportunities at UT-Austin:
BHP
Then regular McComb + maybe engineering/CS
Then other UT-Austin
And UT-Austin in general would be only a semi-target for MBB like ND. But at ND, Mendoza would be at the top of the pecking order.
If an International, you should look to work outside the US, anyway, even if MBB.
Outside the US, McComb and UVa/McIntire probably have stronger networks, but McIntire is competitive admissions.
McIntire would be the best if you can get in.

",1,0,0
3,PurpleTitan,"
There would be a pecking order in terms of opportunities at UT-Austin:
BHP
Then regular McComb + maybe engineering/CS
Then other UT-Austin
And UT-Austin in general would be only a semi-target for MBB like ND. But at ND, Mendoza would be at the top of the pecking order.
If an International, you should look to work outside the US, anyway, even if MBB.
Outside the US, McComb and UVa/McIntire probably have stronger networks, but McIntire is competitive admissions.
McIntire would be the best if you can get in.

",2,2,2
3,PurpleTitan,"
There would be a pecking order in terms of opportunities at UT-Austin:
BHP
Then regular McComb + maybe engineering/CS
Then other UT-Austin
And UT-Austin in general would be only a semi-target for MBB like ND. But at ND, Mendoza would be at the top of the pecking order.
If an International, you should look to work outside the US, anyway, even if MBB.
Outside the US, McComb and UVa/McIntire probably have stronger networks, but McIntire is competitive admissions.
McIntire would be the best if you can get in.

",3,2,2
4,PurpleTitan,"
FYI, here are MBB targets:
https://talk.collegeconfidential.com/college-search-selection/1206919-which-schools-are-targets-at-the-top-3-consulting-firms-bain-bcg-mckinsey.html
https://www.wallstreetoasis.com/forums/mbb-the-target-school-advantage
In the US, MBB recruits more at the MBA level than from undergrad, so your son may want to aim for a good job out of undergrad first, then get in to a M7 (or at least top 15) MBA program and try for MBB then.

",0,0,0
4,PurpleTitan,"
FYI, here are MBB targets:
https://talk.collegeconfidential.com/college-search-selection/1206919-which-schools-are-targets-at-the-top-3-consulting-firms-bain-bcg-mckinsey.html
https://www.wallstreetoasis.com/forums/mbb-the-target-school-advantage
In the US, MBB recruits more at the MBA level than from undergrad, so your son may want to aim for a good job out of undergrad first, then get in to a M7 (or at least top 15) MBA program and try for MBB then.

",0,0,0
4,PurpleTitan,"
FYI, here are MBB targets:
https://talk.collegeconfidential.com/college-search-selection/1206919-which-schools-are-targets-at-the-top-3-consulting-firms-bain-bcg-mckinsey.html
https://www.wallstreetoasis.com/forums/mbb-the-target-school-advantage
In the US, MBB recruits more at the MBA level than from undergrad, so your son may want to aim for a good job out of undergrad first, then get in to a M7 (or at least top 15) MBA program and try for MBB then.

",0,0,0
5,MYOS1634,"
I’d go with Mendoza. It’s guaranteed and it’s a top school with lots of opportunities. At McCombs the regular student comes after the BHP students and McIntyre is too risky.

",0,0,0
5,MYOS1634,"
I’d go with Mendoza. It’s guaranteed and it’s a top school with lots of opportunities. At McCombs the regular student comes after the BHP students and McIntyre is too risky.

",1,1,0
5,MYOS1634,"
I’d go with Mendoza. It’s guaranteed and it’s a top school with lots of opportunities. At McCombs the regular student comes after the BHP students and McIntyre is too risky.

",1,1,3
7,PurpleTitan,"
Stern is more targeted for IB/finance.  For MBB straight out of undergrad, probably about as good as the rest (so not great). Risk of what?  You should accept an offer elsewhere before 8/1.

",3,3,3
7,PurpleTitan,"
Stern is more targeted for IB/finance.  For MBB straight out of undergrad, probably about as good as the rest (so not great). Risk of what?  You should accept an offer elsewhere before 8/1.

",0,0,0
7,PurpleTitan,"
Stern is more targeted for IB/finance.  For MBB straight out of undergrad, probably about as good as the rest (so not great). Risk of what?  You should accept an offer elsewhere before 8/1.

",0,0,0
9,PurpleTitan,"
He can try to transfer in.  But he may not want to leave ND after 2 years.  ND has a very strong alumni network (in the US) and community.

",2,0,1
9,PurpleTitan,"
He can try to transfer in.  But he may not want to leave ND after 2 years.  ND has a very strong alumni network (in the US) and community.

",1,1,0
9,PurpleTitan,"
He can try to transfer in.  But he may not want to leave ND after 2 years.  ND has a very strong alumni network (in the US) and community.

",0,0,0
10,MYOS1634,"
I doubt he’ll want to transfer from Mendoza (which is as strong as McIntyre in the us)
. He needs to deposit somewhere by may 1st and then can accept any wait-list. Odds of getting off the wait-list are very low.

",0,0,0
10,MYOS1634,"
I doubt he’ll want to transfer from Mendoza (which is as strong as McIntyre in the us)
. He needs to deposit somewhere by may 1st and then can accept any wait-list. Odds of getting off the wait-list are very low.

",1,1,2
10,MYOS1634,"
I doubt he’ll want to transfer from Mendoza (which is as strong as McIntyre in the us)
. He needs to deposit somewhere by may 1st and then can accept any wait-list. Odds of getting off the wait-list are very low.

",0,3,0
12,Publisher,"
Because your son wants to study business, his only real options are Notre Dame & Texas. Then it becomes a personal choice as they offer significantly different campus cultures.
For the top three consulting firms, probably need 3 years work experience & then an MBA from a very top ranked MBA school (think M-7 or in that range).

",3,1,1
12,Publisher,"
Because your son wants to study business, his only real options are Notre Dame & Texas. Then it becomes a personal choice as they offer significantly different campus cultures.
For the top three consulting firms, probably need 3 years work experience & then an MBA from a very top ranked MBA school (think M-7 or in that range).

",3,1,1
12,Publisher,"
Because your son wants to study business, his only real options are Notre Dame & Texas. Then it becomes a personal choice as they offer significantly different campus cultures.
For the top three consulting firms, probably need 3 years work experience & then an MBA from a very top ranked MBA school (think M-7 or in that range).

",3,1,1
14,Publisher,"
Only because your son is not a “direct admit” to the business major at Virginia.

",0,1,1
14,Publisher,"
Only because your son is not a “direct admit” to the business major at Virginia.

",0,0,0
14,Publisher,"
Only because your son is not a “direct admit” to the business major at Virginia.

",0,0,0
16,MYOS1634,"
The issue is that it’s not ""will’ but “may”. It’s a lot of risk when you have two Business choices, one nationally known (Mendoza) and one excellent (McCombs, althought BHP has the upper hand over McCombs regular).

",0,0,0
16,MYOS1634,"
The issue is that it’s not ""will’ but “may”. It’s a lot of risk when you have two Business choices, one nationally known (Mendoza) and one excellent (McCombs, althought BHP has the upper hand over McCombs regular).

",1,1,1
16,MYOS1634,"
The issue is that it’s not ""will’ but “may”. It’s a lot of risk when you have two Business choices, one nationally known (Mendoza) and one excellent (McCombs, althought BHP has the upper hand over McCombs regular).

",3,0,0
34,PurpleTitan,"
@MYOS1634, well, there is no “pre-business” at UVa so no one knows how many wanted McIntire as freshmen.
Here are the UVa admissions stats: https://www.commerce.virginia.edu/undergrad/application-process-uva
And McIntire for transfers (where they openly say they are biased towards VA CC applicants):
https://www.commerce.virginia.edu/undergrad/application-process-transfer

",0,0,0
