index,user_id,comment,label
1,123Mom456,"
Not crazy. If you are smart enough to land a full ride you UM, you will be very successful there. You will have a research and internship opportunities and do well no matter where you go.

",1
2,tseliot,"
No brainer, especially if grad school is in the picture. Michigan.

",1
3,PurpleTitan,"
Not crazy at all. In 40 years, given conservative real returns of 5% a year, that would be about $2M in today’s dollars. That’s enough for retirement just by itself. And yeah, if MIT means taking a chunk out of parents’ retirement, then it is a no-brainer.
And at a place like UMich with it’s plethora of highly-rated departments and grad programs, you can make your education as rigorous as you desire. Just start taking grad school classes if undergrad-level classes aren’t challenging enough.

",1
4,Much2learn,"
@collegethrow124 What is your planned major?

",0
5,PurpleTitan,"
Another way to look at it:
If you do as well in undergrad at UMich as in HS, a master’s at MIT/Stanford is well within the range of possibility, and while you get roughly the same opportunities at that point as if you had gone straight to MIT for undergrad, 2 years is a lot less costly than 4 years.

",1
6,Alexandre,"
I assume you are thinking of majoring in Engineering. Michigan is one of the top 6 or 7 CoE in the country. 2 of MIT’s last 4 presidents (Jerome Wiesner and Charles Vest) were Michigan alumni. While MIT is indeed slightly better than Michigan, it is not $250k better. Besides, you said you prefer Michigan to MIT socially, and there is much to be said for “fit”. Go to Michigan for college. You can always challenge yourself there and get your PhD or graduate degree from MIT at a later date.

",1
7,ucbalumnus,"
If your parents would have trouble saving for retirement (or college for younger siblings) if they paid for MIT, that suggests taking the full ride.
PhD programs worth attending should be funded, so cost is not a big concern (though some stipends are bigger than others relative to the local cost of living).

",1
8,harvard_and_berkeley,"
This is a no-brainer… go to Michigan.  Fantastic reputation in STEM. Awesome social life. ZERO COST!
I have met many successful Michigan alumni, and Michigan is one of the only schools I know that every single one of their alumni are fanatical with loyalty and praise.

",1
9,WildestDream,"
Save the 250K and invest it. Enjoy Ann Arbor!

",1
10,milee30,"
Another vote here for Michigan.  Great school and you’re getting the deal of the century cost-wise.

",1
11,momtodeeandno,"
Definitely go to MIchigan!  you would be crazy not to consider cost.  Michigan is a great school.  Do well and go to MIT for grad school.

",1
11,momtodeeandno,"
Definitely go to MIchigan!  you would be crazy not to consider cost.  Michigan is a great school.  Do well and go to MIT for grad school.

",1
11,momtodeeandno,"
Definitely go to MIchigan!  you would be crazy not to consider cost.  Michigan is a great school.  Do well and go to MIT for grad school.

",1
12,SincererLove,"
Not crazy. D took a full tuition merit scholarship at Vanderbilt instead of MIT last year. She is doing CS on premed track,which she probably wouldn’t dare to do if she went to MIT due to GPA concerns.
Did you get the Stamps scholarship from U Michigan?? If it is, it is more than a full ride, it is network, leadership opportunities, travel,etc.  Best of luck!

",1
12,SincererLove,"
Not crazy. D took a full tuition merit scholarship at Vanderbilt instead of MIT last year. She is doing CS on premed track,which she probably wouldn’t dare to do if she went to MIT due to GPA concerns.
Did you get the Stamps scholarship from U Michigan?? If it is, it is more than a full ride, it is network, leadership opportunities, travel,etc.  Best of luck!

",1
12,SincererLove,"
Not crazy. D took a full tuition merit scholarship at Vanderbilt instead of MIT last year. She is doing CS on premed track,which she probably wouldn’t dare to do if she went to MIT due to GPA concerns.
Did you get the Stamps scholarship from U Michigan?? If it is, it is more than a full ride, it is network, leadership opportunities, travel,etc.  Best of luck!

",1
13,merc81,"
I’d think the majority of full-pay students at MIT would have been eligible for a full academic scholarship at another school, yet they nonetheless chose MIT. However, you have stated that you love the excellent UM, a factor, along with costs, that should not be under-regarded.

",3
13,merc81,"
I’d think the majority of full-pay students at MIT would have been eligible for a full academic scholarship at another school, yet they nonetheless chose MIT. However, you have stated that you love the excellent UM, a factor, along with costs, that should not be under-regarded.

",2
13,merc81,"
I’d think the majority of full-pay students at MIT would have been eligible for a full academic scholarship at another school, yet they nonetheless chose MIT. However, you have stated that you love the excellent UM, a factor, along with costs, that should not be under-regarded.

",2
14,billcsho,"
^ Majority would not get full ride at UMich or equivalent schools though.

",0
14,billcsho,"
^ Majority would not get full ride at UMich or equivalent schools though.

",0
14,billcsho,"
^ Majority would not get full ride at UMich or equivalent schools though.

",1
15,merc81,"
Yes. Along those lines, many full-pay UMich students, as with those of MIT, would have been eligible for a full scholarship elsewhere, yet they nonetheless chose UM.

",1
