index,user_id,comment,label_AB,label_AC,label_BC
1,bobo44,"
Hello, Smith!

",0,0,0
1,bobo44,"
Hello, Smith!

",1,1,0
1,bobo44,"
Hello, Smith!

",1,1,0
2,doschicos,"
A few thoughts, money aside:
I would say that Haverford and Smith are stronger in the sciences than Midd.
Taking classes at Bryn Mawr is not a negative. It is very easy to do so and in fact most students in the bi-college will take at least a class or two on the other campus sometime within their 4 years. It’s a seamless relationship between the two schools and should be viewed as an extension of the campus and offerings - a positive. She could also see if Swarthmore and/or UPenn have any classes she might like to take in marine bio.
Your daughter will have no problem finding faculty mentors at Haverford (or Midd for that matter). Haverford offers plenty of student research opportunities as well as campus jobs. There is quite a bit of money available for summer research and summer internships and it pays more than $1200. Therefore, I wouldn’t overweight STRIDE from the benefits you’ve discussed. Being a Quaker school, Haverford isn’t big on having programs that single out certain students - no honors, no Dean’s List, EVERYONE does a thesis. It’s all about community and equal opportunity. That doesn’t mean their aren’t opportunities. There are plenty available.
As long as your daughter is aware of the facts and knows all the pros and cons of her choices, I’d let her make the decision. You were okay with her applying to schools with only need-based aid knowing that you did not qualify for it so I think you have to let her consider all her options once you’ve pointed out the facts to her.
ETA: She has 3 wonderful choices and all will provide a great 4 year experience. She needs to decide where she will be happiest.
Is the $16K total and annually? I assume the former as she personally couldn’t borrow the latter.

",1,0,2
2,doschicos,"
A few thoughts, money aside:
I would say that Haverford and Smith are stronger in the sciences than Midd.
Taking classes at Bryn Mawr is not a negative. It is very easy to do so and in fact most students in the bi-college will take at least a class or two on the other campus sometime within their 4 years. It’s a seamless relationship between the two schools and should be viewed as an extension of the campus and offerings - a positive. She could also see if Swarthmore and/or UPenn have any classes she might like to take in marine bio.
Your daughter will have no problem finding faculty mentors at Haverford (or Midd for that matter). Haverford offers plenty of student research opportunities as well as campus jobs. There is quite a bit of money available for summer research and summer internships and it pays more than $1200. Therefore, I wouldn’t overweight STRIDE from the benefits you’ve discussed. Being a Quaker school, Haverford isn’t big on having programs that single out certain students - no honors, no Dean’s List, EVERYONE does a thesis. It’s all about community and equal opportunity. That doesn’t mean their aren’t opportunities. There are plenty available.
As long as your daughter is aware of the facts and knows all the pros and cons of her choices, I’d let her make the decision. You were okay with her applying to schools with only need-based aid knowing that you did not qualify for it so I think you have to let her consider all her options once you’ve pointed out the facts to her.
ETA: She has 3 wonderful choices and all will provide a great 4 year experience. She needs to decide where she will be happiest.
Is the $16K total and annually? I assume the former as she personally couldn’t borrow the latter.

",1,2,3
2,doschicos,"
A few thoughts, money aside:
I would say that Haverford and Smith are stronger in the sciences than Midd.
Taking classes at Bryn Mawr is not a negative. It is very easy to do so and in fact most students in the bi-college will take at least a class or two on the other campus sometime within their 4 years. It’s a seamless relationship between the two schools and should be viewed as an extension of the campus and offerings - a positive. She could also see if Swarthmore and/or UPenn have any classes she might like to take in marine bio.
Your daughter will have no problem finding faculty mentors at Haverford (or Midd for that matter). Haverford offers plenty of student research opportunities as well as campus jobs. There is quite a bit of money available for summer research and summer internships and it pays more than $1200. Therefore, I wouldn’t overweight STRIDE from the benefits you’ve discussed. Being a Quaker school, Haverford isn’t big on having programs that single out certain students - no honors, no Dean’s List, EVERYONE does a thesis. It’s all about community and equal opportunity. That doesn’t mean their aren’t opportunities. There are plenty available.
As long as your daughter is aware of the facts and knows all the pros and cons of her choices, I’d let her make the decision. You were okay with her applying to schools with only need-based aid knowing that you did not qualify for it so I think you have to let her consider all her options once you’ve pointed out the facts to her.
ETA: She has 3 wonderful choices and all will provide a great 4 year experience. She needs to decide where she will be happiest.
Is the $16K total and annually? I assume the former as she personally couldn’t borrow the latter.

",1,3,2
3,Dancer14,"
I’m not an athlete so I couldn’t possibly understand the athletic portion of this.
However, academically and financially, Smith seems like a great option and the best option for her.

",1,1,0
3,Dancer14,"
I’m not an athlete so I couldn’t possibly understand the athletic portion of this.
However, academically and financially, Smith seems like a great option and the best option for her.

",1,1,0
3,Dancer14,"
I’m not an athlete so I couldn’t possibly understand the athletic portion of this.
However, academically and financially, Smith seems like a great option and the best option for her.

",1,1,0
4,sugarski,"
I agree with @bobo44. I don’t fully understand the athletics piece either, but my D is about to graduate from Smith and she’s had a wonderful experience and so many opportunities. To get a STRIDE is incredible. I hope your D picks Smith! But GL whatever the decision!

",1,1,0
4,sugarski,"
I agree with @bobo44. I don’t fully understand the athletics piece either, but my D is about to graduate from Smith and she’s had a wonderful experience and so many opportunities. To get a STRIDE is incredible. I hope your D picks Smith! But GL whatever the decision!

",1,1,0
4,sugarski,"
I agree with @bobo44. I don’t fully understand the athletics piece either, but my D is about to graduate from Smith and she’s had a wonderful experience and so many opportunities. To get a STRIDE is incredible. I hope your D picks Smith! But GL whatever the decision!

",1,1,0
5,twoinanddone,"
I think the Smith coach will change his/her mind if your daughter is good.  It doesn’t appear they have a very good team this year so could use the help.

",1,1,0
5,twoinanddone,"
I think the Smith coach will change his/her mind if your daughter is good.  It doesn’t appear they have a very good team this year so could use the help.

",1,1,0
5,twoinanddone,"
I think the Smith coach will change his/her mind if your daughter is good.  It doesn’t appear they have a very good team this year so could use the help.

",1,1,0
