index,user_id,comment,label
1,Dolemite,"
There are quite a few differences at the school which should make it easier to choose one:
UPenn - Urban environment - traditional College Campus in the midst of a major city
PSU - Rural environment - College town
UPenn - Mid size
PSU - Huge
Both have Greek environment but PSU very large Fraternity Environment and center of social scene
UPenn will probably have more opportunity for research just by sheer numbers - less students and similar number of labs.
If UPenn is actually less - please confirm total cost for both to make sure - then it would seem to be the better choice unless you don’t like cities (or you live in Philly and want to get ‘away’ for college)

",1
1,Dolemite,"
There are quite a few differences at the school which should make it easier to choose one:
UPenn - Urban environment - traditional College Campus in the midst of a major city
PSU - Rural environment - College town
UPenn - Mid size
PSU - Huge
Both have Greek environment but PSU very large Fraternity Environment and center of social scene
UPenn will probably have more opportunity for research just by sheer numbers - less students and similar number of labs.
If UPenn is actually less - please confirm total cost for both to make sure - then it would seem to be the better choice unless you don’t like cities (or you live in Philly and want to get ‘away’ for college)

",1
1,Dolemite,"
There are quite a few differences at the school which should make it easier to choose one:
UPenn - Urban environment - traditional College Campus in the midst of a major city
PSU - Rural environment - College town
UPenn - Mid size
PSU - Huge
Both have Greek environment but PSU very large Fraternity Environment and center of social scene
UPenn will probably have more opportunity for research just by sheer numbers - less students and similar number of labs.
If UPenn is actually less - please confirm total cost for both to make sure - then it would seem to be the better choice unless you don’t like cities (or you live in Philly and want to get ‘away’ for college)

",1
3,Dolemite,"
I would think that UPenn is going to be more rigorous but UPenn does have pretty strong grade inflation so I don’t think the increased rigor isn’t going to greatly effect your GPA.  You’d more likely be able to find easier classes at PSU to mix in with your core/major classes.
I think you could get better/more advice if this was in the UPenn forum.

",0
3,Dolemite,"
I would think that UPenn is going to be more rigorous but UPenn does have pretty strong grade inflation so I don’t think the increased rigor isn’t going to greatly effect your GPA.  You’d more likely be able to find easier classes at PSU to mix in with your core/major classes.
I think you could get better/more advice if this was in the UPenn forum.

",0
3,Dolemite,"
I would think that UPenn is going to be more rigorous but UPenn does have pretty strong grade inflation so I don’t think the increased rigor isn’t going to greatly effect your GPA.  You’d more likely be able to find easier classes at PSU to mix in with your core/major classes.
I think you could get better/more advice if this was in the UPenn forum.

",1
4,ClassicRockerDad,"
No question in my mind that the academic support you will receive at UPenn is much better. Additionally there are far more medical research  and volunteer opportunities. UPenn is an excellent private school with vast resources. Penn State is a very large more impersonal place that struggles to get money from the state.

",1
4,ClassicRockerDad,"
No question in my mind that the academic support you will receive at UPenn is much better. Additionally there are far more medical research  and volunteer opportunities. UPenn is an excellent private school with vast resources. Penn State is a very large more impersonal place that struggles to get money from the state.

",1
4,ClassicRockerDad,"
No question in my mind that the academic support you will receive at UPenn is much better. Additionally there are far more medical research  and volunteer opportunities. UPenn is an excellent private school with vast resources. Penn State is a very large more impersonal place that struggles to get money from the state.

",1
5,MYOS1634,"
UPenn, no doubt. For that cost, in a heartbeat. Schreyer is a top Honors college, but the resources at Penn will totally change things for you, especially if like 75% would be pre-meds, you change your mind along the way… And it’s 1/4th the cost of Penn State!!

",1
5,MYOS1634,"
UPenn, no doubt. For that cost, in a heartbeat. Schreyer is a top Honors college, but the resources at Penn will totally change things for you, especially if like 75% would be pre-meds, you change your mind along the way… And it’s 1/4th the cost of Penn State!!

",1
5,MYOS1634,"
UPenn, no doubt. For that cost, in a heartbeat. Schreyer is a top Honors college, but the resources at Penn will totally change things for you, especially if like 75% would be pre-meds, you change your mind along the way… And it’s 1/4th the cost of Penn State!!

",1
8,ccfk1221,"
Seriously, you are choosing between UPenn and Penn with UPenn being cheaper?

",0
8,ccfk1221,"
Seriously, you are choosing between UPenn and Penn with UPenn being cheaper?

",1
8,ccfk1221,"
Seriously, you are choosing between UPenn and Penn with UPenn being cheaper?

",1
9,brantly,"
Do you realize that University of Pennsylvania is an Ivy League university and one of the best universities in the world? The quality of student will be vastly superior, on average, to the students at Penn State, which is a public university for the state of Pennsylvania. Plus, the resources, the people you will meet there, and having University of Pennsylvania on your resume will bring returns for the rest of your life.

",1
9,brantly,"
Do you realize that University of Pennsylvania is an Ivy League university and one of the best universities in the world? The quality of student will be vastly superior, on average, to the students at Penn State, which is a public university for the state of Pennsylvania. Plus, the resources, the people you will meet there, and having University of Pennsylvania on your resume will bring returns for the rest of your life.

",1
9,brantly,"
Do you realize that University of Pennsylvania is an Ivy League university and one of the best universities in the world? The quality of student will be vastly superior, on average, to the students at Penn State, which is a public university for the state of Pennsylvania. Plus, the resources, the people you will meet there, and having University of Pennsylvania on your resume will bring returns for the rest of your life.

",1
11,Much2learn,"
@angelababy30
“@MYOS1634 @ClassicRockerDad would it be difficult to get research opportunities at UPenn since they have such a large amount of graduate students?”
Penn has significant opportunities for research and a top 5 research hospital right on campus.
“@ccfk1221 I thought Schreyer at Penn State is comparable to the ivies (at least that is what I heard from my friends)”
There is a very significant difference in these two schools, and in their students. On average, it is not close. “Comparable” is just what you say to people who were rejected from Penn to make them feel better. They will get an excellent education at Penn State. However, it is not comparable. You should choose Penn.
Based on your questions, I strongly suggest that you contact Penn and work this summer with an advisor to understand as much as possible about Penn. It is an extraordinary place, but you have to know how to study, prepare for classes, how not to get behind and how to capture the benefits of all of the clubs and opportunities it offers. There are more opportunities there than hours in the day. You have no idea right now how much you don’t know. The sooner you begin to understand the opportunity you have and how to fully capture the benefits, the better.
If you can do that, you will receive a truly world-class education.

",1
11,Much2learn,"
@angelababy30
“@MYOS1634 @ClassicRockerDad would it be difficult to get research opportunities at UPenn since they have such a large amount of graduate students?”
Penn has significant opportunities for research and a top 5 research hospital right on campus.
“@ccfk1221 I thought Schreyer at Penn State is comparable to the ivies (at least that is what I heard from my friends)”
There is a very significant difference in these two schools, and in their students. On average, it is not close. “Comparable” is just what you say to people who were rejected from Penn to make them feel better. They will get an excellent education at Penn State. However, it is not comparable. You should choose Penn.
Based on your questions, I strongly suggest that you contact Penn and work this summer with an advisor to understand as much as possible about Penn. It is an extraordinary place, but you have to know how to study, prepare for classes, how not to get behind and how to capture the benefits of all of the clubs and opportunities it offers. There are more opportunities there than hours in the day. You have no idea right now how much you don’t know. The sooner you begin to understand the opportunity you have and how to fully capture the benefits, the better.
If you can do that, you will receive a truly world-class education.

",1
