index,user_id,comment,label
1,prezbucky,"
So really, if we boil these down to main fit categories:

Academic fit: Fordham
Social fit: Alabama 
Sports fit: Tie?
Cost: Alabama 
Environmental fit: Tie?
Jobs/internships: Fordham 

Which environment do you prefer: weather, campus, city surroundings?
And if you had to choose, would you rather be a baseball player at Fordham or a baseball (and football/basketball…) fan at Alabama?
And can your family afford to pay for Fordham without taking on much debt?

",0
1,prezbucky,"
So really, if we boil these down to main fit categories:

Academic fit: Fordham
Social fit: Alabama 
Sports fit: Tie?
Cost: Alabama 
Environmental fit: Tie?
Jobs/internships: Fordham 

Which environment do you prefer: weather, campus, city surroundings?
And if you had to choose, would you rather be a baseball player at Fordham or a baseball (and football/basketball…) fan at Alabama?
And can your family afford to pay for Fordham without taking on much debt?

",0
1,prezbucky,"
So really, if we boil these down to main fit categories:

Academic fit: Fordham
Social fit: Alabama 
Sports fit: Tie?
Cost: Alabama 
Environmental fit: Tie?
Jobs/internships: Fordham 

Which environment do you prefer: weather, campus, city surroundings?
And if you had to choose, would you rather be a baseball player at Fordham or a baseball (and football/basketball…) fan at Alabama?
And can your family afford to pay for Fordham without taking on much debt?

",2
2,Tinymom,"
I think the biggest thing to consider is your parents’ financial position. Do they have $60K set aside for your college or would that be a struggle for them? Do they have other children to educate or is it just you?
And how do you see yourself in 10 years? You are obviously very bright. Do you want to be a big-city lawyer? If so, Fordham gives you a foothold in NYC. Or do you want a more laidback life with lots of fun? Alabama probably only gives you entrance into … Alabama, but that might be just fine with you. Very different schools! Good luck!

",3
2,Tinymom,"
I think the biggest thing to consider is your parents’ financial position. Do they have $60K set aside for your college or would that be a struggle for them? Do they have other children to educate or is it just you?
And how do you see yourself in 10 years? You are obviously very bright. Do you want to be a big-city lawyer? If so, Fordham gives you a foothold in NYC. Or do you want a more laidback life with lots of fun? Alabama probably only gives you entrance into … Alabama, but that might be just fine with you. Very different schools! Good luck!

",0
2,Tinymom,"
I think the biggest thing to consider is your parents’ financial position. Do they have $60K set aside for your college or would that be a struggle for them? Do they have other children to educate or is it just you?
And how do you see yourself in 10 years? You are obviously very bright. Do you want to be a big-city lawyer? If so, Fordham gives you a foothold in NYC. Or do you want a more laidback life with lots of fun? Alabama probably only gives you entrance into … Alabama, but that might be just fine with you. Very different schools! Good luck!

",0
4,zannah,"
If you live in or near NYC, you need to try somewhere else and decide what kind of place you want to live. At Alabama, you have a free ride to a very good education. School reputation is interesting and Jesuits are terrific, but the differences in education are not as different as you and others might think. You can fly to London probably through Atlanta because of the volume of national and international flights. Alabama is within driving distance to Florida, coastal Georgia, Nashville and Smokey Mountains…There is lots to see and do in the South and some clear cultural, political and religious differences too. There are opportunities for internships in the South. An education in the South is not second class unless you don’t apply yourself academically or spend too much time socializing. Football in the South is competitive and fun.
Finally, I can’t imagine asking my parents to spend $60000 tuition. What are you willing to let parents and siblings give up because of your tuition? Finally, a free ride is a luxury that allows you to travel, study, invest in your education, and sort out your adult life. There is serenity and satisfaction earning an education without worrying about money. Try the South. It is an opprtunity, not a prison sentence.

",1
4,zannah,"
If you live in or near NYC, you need to try somewhere else and decide what kind of place you want to live. At Alabama, you have a free ride to a very good education. School reputation is interesting and Jesuits are terrific, but the differences in education are not as different as you and others might think. You can fly to London probably through Atlanta because of the volume of national and international flights. Alabama is within driving distance to Florida, coastal Georgia, Nashville and Smokey Mountains…There is lots to see and do in the South and some clear cultural, political and religious differences too. There are opportunities for internships in the South. An education in the South is not second class unless you don’t apply yourself academically or spend too much time socializing. Football in the South is competitive and fun.
Finally, I can’t imagine asking my parents to spend $60000 tuition. What are you willing to let parents and siblings give up because of your tuition? Finally, a free ride is a luxury that allows you to travel, study, invest in your education, and sort out your adult life. There is serenity and satisfaction earning an education without worrying about money. Try the South. It is an opprtunity, not a prison sentence.

",1
4,zannah,"
If you live in or near NYC, you need to try somewhere else and decide what kind of place you want to live. At Alabama, you have a free ride to a very good education. School reputation is interesting and Jesuits are terrific, but the differences in education are not as different as you and others might think. You can fly to London probably through Atlanta because of the volume of national and international flights. Alabama is within driving distance to Florida, coastal Georgia, Nashville and Smokey Mountains…There is lots to see and do in the South and some clear cultural, political and religious differences too. There are opportunities for internships in the South. An education in the South is not second class unless you don’t apply yourself academically or spend too much time socializing. Football in the South is competitive and fun.
Finally, I can’t imagine asking my parents to spend $60000 tuition. What are you willing to let parents and siblings give up because of your tuition? Finally, a free ride is a luxury that allows you to travel, study, invest in your education, and sort out your adult life. There is serenity and satisfaction earning an education without worrying about money. Try the South. It is an opprtunity, not a prison sentence.

",1
6,Chardo,"
If grad school is in your plans, save the money and enjoy the Alabama experience.  The future networking opportunities will come from your grad school.

",1
