index,user_id,comment,label
13,happy1,"
I’d suggest:

If one of the schools turns out to be materially more affordable, go there.
If finances are equal visit both during accepted students day and decide.


",0
13,happy1,"
I’d suggest:

If one of the schools turns out to be materially more affordable, go there.
If finances are equal visit both during accepted students day and decide.


",3
13,happy1,"
I’d suggest:

If one of the schools turns out to be materially more affordable, go there.
If finances are equal visit both during accepted students day and decide.


",0
14,ab2002,"
@evergreen5 Sorry, I plugged it into the GPS and it came up as 2 hours and 5 mins. It’s about 30 minutes from downtown.

",0
14,ab2002,"
@evergreen5 Sorry, I plugged it into the GPS and it came up as 2 hours and 5 mins. It’s about 30 minutes from downtown.

",0
14,ab2002,"
@evergreen5 Sorry, I plugged it into the GPS and it came up as 2 hours and 5 mins. It’s about 30 minutes from downtown.

",0
15,warblersrule,"



 lrose00:
[quote]
I’m currently undecided and not leaning towards any specific field or major (unhelpful, I know). I like that they both offer a strong liberal arts education, and I could see myself attending either of them
[/quote]

Georgetown has some very fine professional schools, but in the liberal arts there is little (if any) difference between Georgetown and BC. I’d select based on fit.

",3
15,warblersrule,"



 lrose00:
[quote]
I’m currently undecided and not leaning towards any specific field or major (unhelpful, I know). I like that they both offer a strong liberal arts education, and I could see myself attending either of them
[/quote]

Georgetown has some very fine professional schools, but in the liberal arts there is little (if any) difference between Georgetown and BC. I’d select based on fit.

",0
15,warblersrule,"



 lrose00:
[quote]
I’m currently undecided and not leaning towards any specific field or major (unhelpful, I know). I like that they both offer a strong liberal arts education, and I could see myself attending either of them
[/quote]

Georgetown has some very fine professional schools, but in the liberal arts there is little (if any) difference between Georgetown and BC. I’d select based on fit.

",0
16,ccfk1221,"
better school overall, better career center, DC has more opportunities than boston  - a lot of people in your position who are undecided end up in finance/consulting and georgetown has good relationships with top banks, consulting firms etc

",2
16,ccfk1221,"
better school overall, better career center, DC has more opportunities than boston  - a lot of people in your position who are undecided end up in finance/consulting and georgetown has good relationships with top banks, consulting firms etc

",1
16,ccfk1221,"
better school overall, better career center, DC has more opportunities than boston  - a lot of people in your position who are undecided end up in finance/consulting and georgetown has good relationships with top banks, consulting firms etc

",2
17,Nocreativity1,"
Considered the most “most prestigious among the ivy plus”.  Great school but Ivy plus is Stamford, U Chicago, MIT, and Duke.  All 8% acceptance rates or lower.
Please stay factual.

",0
17,Nocreativity1,"
Considered the most “most prestigious among the ivy plus”.  Great school but Ivy plus is Stamford, U Chicago, MIT, and Duke.  All 8% acceptance rates or lower.
Please stay factual.

",1
17,Nocreativity1,"
Considered the most “most prestigious among the ivy plus”.  Great school but Ivy plus is Stamford, U Chicago, MIT, and Duke.  All 8% acceptance rates or lower.
Please stay factual.

",0
20,MYOS1634,"
what do you mean “heavily factor in real estate”?

",0
20,MYOS1634,"
what do you mean “heavily factor in real estate”?

",2
20,MYOS1634,"
what do you mean “heavily factor in real estate”?

",2
21,a20171,"
– BC has a stronger conservative/catholic tradition than Georgetown, which is pretty liberal despite being Jesuit
– Georgetown is known for having a wealthier student body than BC
– BC Hockey, Georgetown basketball (not the greatest but there’s a lot of history and tradition in their program)
– Suburban vibe at BC vs more of an urban vibe at Georgetown
– Georgetown has a competitive nature (getting into clubs etc.) BC not so much (but this can be a pro or a con because some people thrive in a competitive environment.
– OF COURSE, it doesn’t really need to be said that Georgetown is more highly ranked and prestigious than BC.

",2
21,a20171,"
– BC has a stronger conservative/catholic tradition than Georgetown, which is pretty liberal despite being Jesuit
– Georgetown is known for having a wealthier student body than BC
– BC Hockey, Georgetown basketball (not the greatest but there’s a lot of history and tradition in their program)
– Suburban vibe at BC vs more of an urban vibe at Georgetown
– Georgetown has a competitive nature (getting into clubs etc.) BC not so much (but this can be a pro or a con because some people thrive in a competitive environment.
– OF COURSE, it doesn’t really need to be said that Georgetown is more highly ranked and prestigious than BC.

",2
21,a20171,"
– BC has a stronger conservative/catholic tradition than Georgetown, which is pretty liberal despite being Jesuit
– Georgetown is known for having a wealthier student body than BC
– BC Hockey, Georgetown basketball (not the greatest but there’s a lot of history and tradition in their program)
– Suburban vibe at BC vs more of an urban vibe at Georgetown
– Georgetown has a competitive nature (getting into clubs etc.) BC not so much (but this can be a pro or a con because some people thrive in a competitive environment.
– OF COURSE, it doesn’t really need to be said that Georgetown is more highly ranked and prestigious than BC.

",2
22,am9799,"
@MYOS1634  He is asking if Georgetown counts  home equity as aggressively as BC does in financial aid calculations.

",0
22,am9799,"
@MYOS1634  He is asking if Georgetown counts  home equity as aggressively as BC does in financial aid calculations.

",0
22,am9799,"
@MYOS1634  He is asking if Georgetown counts  home equity as aggressively as BC does in financial aid calculations.

",0
24,MYOS1634,"
Oh, ok. No, they don’t.

",0
24,MYOS1634,"
Oh, ok. No, they don’t.

",0
24,MYOS1634,"
Oh, ok. No, they don’t.

",2
25,prezbucky,"
Georgetown is a little better overall, in my opinion. If they are even for fit and cost, or if you aren’t sure, I would choose Georgetown.
However, BC is a good school, and if you strongly prefer Boston and/or the (full) D1 sports scene… or if there is a sizable difference in cost… then BC would make sense.
For some context: Georgetown’s undergraduate peers include (IMO) Notre Dame, Washington U, Rice, Emory, Vanderbilt, and maybe CMU.
I have BC’s peers as Wake Forest, Lehigh, Tulane, U of Rochester, NYU, BU, Case, Brandeis… maybe Tufts and USC. Some have those last two in a different group.

",2
25,prezbucky,"
Georgetown is a little better overall, in my opinion. If they are even for fit and cost, or if you aren’t sure, I would choose Georgetown.
However, BC is a good school, and if you strongly prefer Boston and/or the (full) D1 sports scene… or if there is a sizable difference in cost… then BC would make sense.
For some context: Georgetown’s undergraduate peers include (IMO) Notre Dame, Washington U, Rice, Emory, Vanderbilt, and maybe CMU.
I have BC’s peers as Wake Forest, Lehigh, Tulane, U of Rochester, NYU, BU, Case, Brandeis… maybe Tufts and USC. Some have those last two in a different group.

",2
25,prezbucky,"
Georgetown is a little better overall, in my opinion. If they are even for fit and cost, or if you aren’t sure, I would choose Georgetown.
However, BC is a good school, and if you strongly prefer Boston and/or the (full) D1 sports scene… or if there is a sizable difference in cost… then BC would make sense.
For some context: Georgetown’s undergraduate peers include (IMO) Notre Dame, Washington U, Rice, Emory, Vanderbilt, and maybe CMU.
I have BC’s peers as Wake Forest, Lehigh, Tulane, U of Rochester, NYU, BU, Case, Brandeis… maybe Tufts and USC. Some have those last two in a different group.

",2
26,International_Dad,"
BC is a 20 minutes by car to downtown, less than 40 minutos in metro (trolley, very slowly} B green line, but normally people from BC don’t go to downtown, not need to do it, you can find every things to do near campus, at 20 minutes by metro or less than 10 minutes by car o BC bus.
I think Georgetown have more international prestigious,  But Boston is a great city for youngers, students everywhere.
Both are amazing options, congrats.

",2
26,International_Dad,"
BC is a 20 minutes by car to downtown, less than 40 minutos in metro (trolley, very slowly} B green line, but normally people from BC don’t go to downtown, not need to do it, you can find every things to do near campus, at 20 minutes by metro or less than 10 minutes by car o BC bus.
I think Georgetown have more international prestigious,  But Boston is a great city for youngers, students everywhere.
Both are amazing options, congrats.

",3
26,International_Dad,"
BC is a 20 minutes by car to downtown, less than 40 minutos in metro (trolley, very slowly} B green line, but normally people from BC don’t go to downtown, not need to do it, you can find every things to do near campus, at 20 minutes by metro or less than 10 minutes by car o BC bus.
I think Georgetown have more international prestigious,  But Boston is a great city for youngers, students everywhere.
Both are amazing options, congrats.

",1
27,momcinco,"
Have you run net price calcs for both?  I did once and for us BC was unaffordable whereas Georgetown was almost as generous as an Ivy.

",2
