index,user_id,comment,label
28,austinmshauri,"
No. Students can only borrow $5500 as freshman, $6500 as sophs, and $7500/year as Junior’s and seniors.

",0
28,austinmshauri,"
No. Students can only borrow $5500 as freshman, $6500 as sophs, and $7500/year as Junior’s and seniors.

",0
28,austinmshauri,"
No. Students can only borrow $5500 as freshman, $6500 as sophs, and $7500/year as Junior’s and seniors.

",0
30,happymomof1,"
@Lehigh2022 - Most students don’t borrow that kind of money.  Most students only borrow the student loans, and go to places that they can afford without loans bigger than that.  That is why nationwide most students go to community colleges or commuting distance 4-years.
The students who attend the expensive places have:

parents who have saved a lot of money to pay for college, or
parents who make a lot of money, or
parents who are willing to live on one parent’s income for four years and spend all of the other parent’s income on college costs, or
grades/test scores/other talents that will get them significant merit-based aid, or
family income that qualifies them for significant need-based aid, or
parents/grandparents/siblings/other relatives who are crazy enough to borrow and/or cosign big loans.

My kid went to community college for two years, and then to an in-state U, because that was what fit our budget.  She graduated with only the junior and senior year student loans.  We didn’t take on any debt.  This has not kept her from being successful in her career.
Run all the numbers that you have so far here: http://www.finaid.org/calculators/awardletter.phtml
Look at what the loan amounts mean here: http://www.finaid.org/calculators/loanpayments.phtml
Then run the numbers again assuming you do your first two years at a CA CC, and finish up at a UC or CSU.  That may be your best option overall.

",0
30,happymomof1,"
@Lehigh2022 - Most students don’t borrow that kind of money.  Most students only borrow the student loans, and go to places that they can afford without loans bigger than that.  That is why nationwide most students go to community colleges or commuting distance 4-years.
The students who attend the expensive places have:

parents who have saved a lot of money to pay for college, or
parents who make a lot of money, or
parents who are willing to live on one parent’s income for four years and spend all of the other parent’s income on college costs, or
grades/test scores/other talents that will get them significant merit-based aid, or
family income that qualifies them for significant need-based aid, or
parents/grandparents/siblings/other relatives who are crazy enough to borrow and/or cosign big loans.

My kid went to community college for two years, and then to an in-state U, because that was what fit our budget.  She graduated with only the junior and senior year student loans.  We didn’t take on any debt.  This has not kept her from being successful in her career.
Run all the numbers that you have so far here: http://www.finaid.org/calculators/awardletter.phtml
Look at what the loan amounts mean here: http://www.finaid.org/calculators/loanpayments.phtml
Then run the numbers again assuming you do your first two years at a CA CC, and finish up at a UC or CSU.  That may be your best option overall.

",2
30,happymomof1,"
@Lehigh2022 - Most students don’t borrow that kind of money.  Most students only borrow the student loans, and go to places that they can afford without loans bigger than that.  That is why nationwide most students go to community colleges or commuting distance 4-years.
The students who attend the expensive places have:

parents who have saved a lot of money to pay for college, or
parents who make a lot of money, or
parents who are willing to live on one parent’s income for four years and spend all of the other parent’s income on college costs, or
grades/test scores/other talents that will get them significant merit-based aid, or
family income that qualifies them for significant need-based aid, or
parents/grandparents/siblings/other relatives who are crazy enough to borrow and/or cosign big loans.

My kid went to community college for two years, and then to an in-state U, because that was what fit our budget.  She graduated with only the junior and senior year student loans.  We didn’t take on any debt.  This has not kept her from being successful in her career.
Run all the numbers that you have so far here: http://www.finaid.org/calculators/awardletter.phtml
Look at what the loan amounts mean here: http://www.finaid.org/calculators/loanpayments.phtml
Then run the numbers again assuming you do your first two years at a CA CC, and finish up at a UC or CSU.  That may be your best option overall.

",0
31,austinmshauri,"
@Lehigh2022, happymomof1 describes the options pretty clearly. Students can’t borrow that kind of money and most parents shouldn’t. Most students commute to a local school.
Are there any colleges within commuting distance of your home? Did you apply to any financial safeties (schools you’re sure you can get in, can afford without loans, and would be happy to attend)?

",0
31,austinmshauri,"
@Lehigh2022, happymomof1 describes the options pretty clearly. Students can’t borrow that kind of money and most parents shouldn’t. Most students commute to a local school.
Are there any colleges within commuting distance of your home? Did you apply to any financial safeties (schools you’re sure you can get in, can afford without loans, and would be happy to attend)?

",0
31,austinmshauri,"
@Lehigh2022, happymomof1 describes the options pretty clearly. Students can’t borrow that kind of money and most parents shouldn’t. Most students commute to a local school.
Are there any colleges within commuting distance of your home? Did you apply to any financial safeties (schools you’re sure you can get in, can afford without loans, and would be happy to attend)?

",0
32,MYOS1634,"
The average is around 29k for FOUR YEARS, which is below the national federal loans numbers (27k over 4years with interest make 31k at graduation.) That’s the amount a college graduate can reasonably expect to pay back over ten years.
Not 25-30 per year.
So, to go back: what can your parents pay if they don’t take loans for you? If they pay from their income and savings and use the college’s payment plan to spread payments over ten months, what can they pay per year?

",0
