index,user_id,comment,label
16,1917souci,"
Good luck to you…Oh one more thing. At UM you might be a small fish in a big frozen pond, but at USC, you might end up being a big fish in a small warm pond and closer to the beautiful city of Charleston and the beaches…

",2
16,1917souci,"
Good luck to you…Oh one more thing. At UM you might be a small fish in a big frozen pond, but at USC, you might end up being a big fish in a small warm pond and closer to the beautiful city of Charleston and the beaches…

",2
16,1917souci,"
Good luck to you…Oh one more thing. At UM you might be a small fish in a big frozen pond, but at USC, you might end up being a big fish in a small warm pond and closer to the beautiful city of Charleston and the beaches…

",2
17,rickle1,"
Clearly you can do well from either place. As parents posting on this site, we typically take the perspective of wanting the best for our kids. Objectively, that would lean heavily towards UM. That said, there is nothing objective about the college admissions process. So much of it comes down to not best, but rather, best for you. Only you can determine that. We look at rankings, history, reputation, etc. and it seems like a slam dunk. We, however, haven’t walked in your shoes. You need to decide what feels better. I’m sure you’ll consider all relevant data and make a great choice. Good luck and all the best!

",1
17,rickle1,"
Clearly you can do well from either place. As parents posting on this site, we typically take the perspective of wanting the best for our kids. Objectively, that would lean heavily towards UM. That said, there is nothing objective about the college admissions process. So much of it comes down to not best, but rather, best for you. Only you can determine that. We look at rankings, history, reputation, etc. and it seems like a slam dunk. We, however, haven’t walked in your shoes. You need to decide what feels better. I’m sure you’ll consider all relevant data and make a great choice. Good luck and all the best!

",1
17,rickle1,"
Clearly you can do well from either place. As parents posting on this site, we typically take the perspective of wanting the best for our kids. Objectively, that would lean heavily towards UM. That said, there is nothing objective about the college admissions process. So much of it comes down to not best, but rather, best for you. Only you can determine that. We look at rankings, history, reputation, etc. and it seems like a slam dunk. We, however, haven’t walked in your shoes. You need to decide what feels better. I’m sure you’ll consider all relevant data and make a great choice. Good luck and all the best!

",1
18,SwimmingDad,"
From a pure opportunity standpoint, it’s not even close.  U of Michigan is a top ranked university and Ross is one of the top ranked undergrad business programs in the U.S.  U of South Carolina is way, way down the food chain.  It is risky to go to a school that is middle of the road but had a single well ranked program.  Even more risky is to go to a school that you won’t be happy at and a culture in which you won’t thrive.  And only you can make that choice.

",1
18,SwimmingDad,"
From a pure opportunity standpoint, it’s not even close.  U of Michigan is a top ranked university and Ross is one of the top ranked undergrad business programs in the U.S.  U of South Carolina is way, way down the food chain.  It is risky to go to a school that is middle of the road but had a single well ranked program.  Even more risky is to go to a school that you won’t be happy at and a culture in which you won’t thrive.  And only you can make that choice.

",1
18,SwimmingDad,"
From a pure opportunity standpoint, it’s not even close.  U of Michigan is a top ranked university and Ross is one of the top ranked undergrad business programs in the U.S.  U of South Carolina is way, way down the food chain.  It is risky to go to a school that is middle of the road but had a single well ranked program.  Even more risky is to go to a school that you won’t be happy at and a culture in which you won’t thrive.  And only you can make that choice.

",1
19,TTG,"
We know someone who attended a South Carolina university in recent years. Her fellow students nicknamed her “Yankee Girl.” She was born and raised in Virginia, which is home to Richmond, the Confederate capital.

",0
