index,user_id,comment,label
1,hannuhylu,"
100% unequivocally totally not even close to worth it!!
Univ of Mich all day everyday and I wouldn’t lose 1 wink of sleep, in fact, I would sleep soundly knowing I made a AWESOME DECISION!!

",2
1,hannuhylu,"
100% unequivocally totally not even close to worth it!!
Univ of Mich all day everyday and I wouldn’t lose 1 wink of sleep, in fact, I would sleep soundly knowing I made a AWESOME DECISION!!

",2
1,hannuhylu,"
100% unequivocally totally not even close to worth it!!
Univ of Mich all day everyday and I wouldn’t lose 1 wink of sleep, in fact, I would sleep soundly knowing I made a AWESOME DECISION!!

",2
2,moooop,"
Michigan. No brainer.

",2
2,moooop,"
Michigan. No brainer.

",2
2,moooop,"
Michigan. No brainer.

",2
3,fivesages,"
If you’re 100% set on going into CS, definitely UofM. But, if you’re open to exploring other avenues, I would probably consider Columbia.

",3
3,fivesages,"
If you’re 100% set on going into CS, definitely UofM. But, if you’re open to exploring other avenues, I would probably consider Columbia.

",1
3,fivesages,"
If you’re 100% set on going into CS, definitely UofM. But, if you’re open to exploring other avenues, I would probably consider Columbia.

",2
4,TooOld4School,"
That is like asking:
Do you want the Shelby Mustang for $20K, or the Camaro for $60K?
The only thing you get at Columbia over Michigan is NYC. Half of Long Island goes to school at Michigan anyway so you can have a bit of that too.
Even the Columbia graduate parents we know send their kids to Michigan.

",2
4,TooOld4School,"
That is like asking:
Do you want the Shelby Mustang for $20K, or the Camaro for $60K?
The only thing you get at Columbia over Michigan is NYC. Half of Long Island goes to school at Michigan anyway so you can have a bit of that too.
Even the Columbia graduate parents we know send their kids to Michigan.

",2
4,TooOld4School,"
That is like asking:
Do you want the Shelby Mustang for $20K, or the Camaro for $60K?
The only thing you get at Columbia over Michigan is NYC. Half of Long Island goes to school at Michigan anyway so you can have a bit of that too.
Even the Columbia graduate parents we know send their kids to Michigan.

",2
5,isthisboreal,"
Go to umich. it’s on par with many of the top universities (uc berkeley, etc) so academically you’ll be more than fine there. unless you REALLLLLY want Columbia because you love the school, but even then, it’s not worth the money (especially for undergrad). umich is one of the top schools for engineering and CS, people would kill to go there for in-state tuition. Go there.

",2
5,isthisboreal,"
Go to umich. it’s on par with many of the top universities (uc berkeley, etc) so academically you’ll be more than fine there. unless you REALLLLLY want Columbia because you love the school, but even then, it’s not worth the money (especially for undergrad). umich is one of the top schools for engineering and CS, people would kill to go there for in-state tuition. Go there.

",2
5,isthisboreal,"
Go to umich. it’s on par with many of the top universities (uc berkeley, etc) so academically you’ll be more than fine there. unless you REALLLLLY want Columbia because you love the school, but even then, it’s not worth the money (especially for undergrad). umich is one of the top schools for engineering and CS, people would kill to go there for in-state tuition. Go there.

",2
6,aoeuidhtns,"
What kind of grad school are you looking at?
If you’re paying sticker price, then UofM would make more sense if you’re considering the technical skills you’ll learn as a CS major. Also, do you want to stay in Michigan long-term? If so, Mich places more of their graduates instate than Columbia would.
Columbia, however, will give you better OCR opportunities in San Fran/NYC and an, arguably, stronger lifelong network. Also, agreed with @fivesages that Columbia gives you alternate paths if your career plans change–consulting, banking, etc.

",3
6,aoeuidhtns,"
What kind of grad school are you looking at?
If you’re paying sticker price, then UofM would make more sense if you’re considering the technical skills you’ll learn as a CS major. Also, do you want to stay in Michigan long-term? If so, Mich places more of their graduates instate than Columbia would.
Columbia, however, will give you better OCR opportunities in San Fran/NYC and an, arguably, stronger lifelong network. Also, agreed with @fivesages that Columbia gives you alternate paths if your career plans change–consulting, banking, etc.

",2
