index,user_id,comment,label
1,intparent,"
If you think you want to go to med school, I’d skip Mudd.  Being an athlete on top of the need for a very high GPA is almost impossible there.  My kid just graduated from there.  She mostly loved it, but the workload is grueling, and they don’t really have grade inflation.

",2
1,intparent,"
If you think you want to go to med school, I’d skip Mudd.  Being an athlete on top of the need for a very high GPA is almost impossible there.  My kid just graduated from there.  She mostly loved it, but the workload is grueling, and they don’t really have grade inflation.

",1
1,intparent,"
If you think you want to go to med school, I’d skip Mudd.  Being an athlete on top of the need for a very high GPA is almost impossible there.  My kid just graduated from there.  She mostly loved it, but the workload is grueling, and they don’t really have grade inflation.

",1
2,simba9,"
Why is swimming an issue if you’re not getting an athletic scholarship?
I agree that if you’re interested in med school, forget about engineering at Mudd. But if you’re more interested in engineering than medicine, it’s hard to beat Mudd.

",2
2,simba9,"
Why is swimming an issue if you’re not getting an athletic scholarship?
I agree that if you’re interested in med school, forget about engineering at Mudd. But if you’re more interested in engineering than medicine, it’s hard to beat Mudd.

",2
2,simba9,"
Why is swimming an issue if you’re not getting an athletic scholarship?
I agree that if you’re interested in med school, forget about engineering at Mudd. But if you’re more interested in engineering than medicine, it’s hard to beat Mudd.

",0
3,Corbett,"
Amherst is great for pre-med, but maybe not so good for engineering. The only way to get an engineering degree at Amherst would be through a 5-year program, where you spend years 3 and 5 at Dartmouth. Such programs are commonly offered by liberal arts colleges, but rarely utilized in practice;. Amherst says that only one or two students per class go that route.
http://www3.amherst.edu/~waloinaz/engineering.html
HMC is great for engineering, but maybe not so good for pre-med. HMC does offer common pre-med majors, like biology and chemistry, although they are less popular than engineering. However, it may be difficult to maintain a high GPA at Mudd, as noted above, especially if you also want to swim competitively:

[quote]
Prospective pre-medical students considering Harvey Mudd should realize that the College’s technical requirements are considerably more demanding than in typical pre-med programs
[/quote]

https://www.hmc.edu/biology/programs-and-courses/pre-med-preparation/
So while both paths are theoretically possible at both institutions, you should assume that Amherst sends far more students to med school than into engineering, while HMC sends far more students into engineering than to med school. So in practice, these two schools may not be the best choices if you are truly undecided and want to keep both options open.
There are few LACs that are good for both pre-med and engineering. Swarthmore would be an obvious pick, or Smith if you are female. If you can swim competitivelly at a low Division I level, then Bucknell or Lafayette. If you want to stick to Division III, then maybe consider small DIII universities, like Tufts or Rochester, as well as LACs.

",2
3,Corbett,"
Amherst is great for pre-med, but maybe not so good for engineering. The only way to get an engineering degree at Amherst would be through a 5-year program, where you spend years 3 and 5 at Dartmouth. Such programs are commonly offered by liberal arts colleges, but rarely utilized in practice;. Amherst says that only one or two students per class go that route.
http://www3.amherst.edu/~waloinaz/engineering.html
HMC is great for engineering, but maybe not so good for pre-med. HMC does offer common pre-med majors, like biology and chemistry, although they are less popular than engineering. However, it may be difficult to maintain a high GPA at Mudd, as noted above, especially if you also want to swim competitively:

[quote]
Prospective pre-medical students considering Harvey Mudd should realize that the College’s technical requirements are considerably more demanding than in typical pre-med programs
[/quote]

https://www.hmc.edu/biology/programs-and-courses/pre-med-preparation/
So while both paths are theoretically possible at both institutions, you should assume that Amherst sends far more students to med school than into engineering, while HMC sends far more students into engineering than to med school. So in practice, these two schools may not be the best choices if you are truly undecided and want to keep both options open.
There are few LACs that are good for both pre-med and engineering. Swarthmore would be an obvious pick, or Smith if you are female. If you can swim competitivelly at a low Division I level, then Bucknell or Lafayette. If you want to stick to Division III, then maybe consider small DIII universities, like Tufts or Rochester, as well as LACs.

",0
3,Corbett,"
Amherst is great for pre-med, but maybe not so good for engineering. The only way to get an engineering degree at Amherst would be through a 5-year program, where you spend years 3 and 5 at Dartmouth. Such programs are commonly offered by liberal arts colleges, but rarely utilized in practice;. Amherst says that only one or two students per class go that route.
http://www3.amherst.edu/~waloinaz/engineering.html
HMC is great for engineering, but maybe not so good for pre-med. HMC does offer common pre-med majors, like biology and chemistry, although they are less popular than engineering. However, it may be difficult to maintain a high GPA at Mudd, as noted above, especially if you also want to swim competitively:

[quote]
Prospective pre-medical students considering Harvey Mudd should realize that the College’s technical requirements are considerably more demanding than in typical pre-med programs
[/quote]

https://www.hmc.edu/biology/programs-and-courses/pre-med-preparation/
So while both paths are theoretically possible at both institutions, you should assume that Amherst sends far more students to med school than into engineering, while HMC sends far more students into engineering than to med school. So in practice, these two schools may not be the best choices if you are truly undecided and want to keep both options open.
There are few LACs that are good for both pre-med and engineering. Swarthmore would be an obvious pick, or Smith if you are female. If you can swim competitivelly at a low Division I level, then Bucknell or Lafayette. If you want to stick to Division III, then maybe consider small DIII universities, like Tufts or Rochester, as well as LACs.

",3
4,intparent,"

[quote]
Why is swimming an issue if you’re not getting an athletic scholarship?
[/quote]

Lots of students want to continue their sport in college, and compete at the DIII level because it is something they love and are good at.  I think it is perfectly legitimate to want to swim in college.  BUT… I do agree that having it as a driver for where to apply is maybe short sighted.  As @Corbett says, neither is ideal for what the OP wants.  Honestly, I suspect it would be grueling to keep the needed GPA for med school at Amherst as well (not quite as much as Mudd, but still super challenging – not much time for anything but sport and studying).  I also think Swarthmore is a risky choice – again, VERY difficult academically (my kid picked Mudd over Swat, but liked both because she wanted the highest level of academic intensity she could find).  I wouldn’t pick a top 5 LAC in general to do a sport and pre-med – stiff competition for the grades you need there.

",2
