index,user_id,comment,label_AB,label_AC,label_BC
2,lr4550,"
Three of my personal favorite NESCACS. Can’t go wrong! Each is a little different, and take my impresions with a grain of salt as they are subjective of course. I think (overall) all three schools are pretty equal in your academic areas of interest- some might be stronger than others in certain areas but overall it’s relative as all three are top notch schools.
Bates- wonderful community. Gorgeous (although small) campus/architecture. Very friendly vibe, students are welcoming and the close knit community feel is palpable. Strong academics, just a lovely school. Has the month long May plan which is useful for starting summer internships early or for traveling abroad. Major difference to me between it and the other two is a more laid back vibe. Doesn’t feel as intense. Definitely collaborative. Best food of the three. Nephew is a current student. D15 would have applied regular decision if her ED school had fallen through. Bates is very high on D18’s list this year.
Bowdoin- neat school. Lovely campus in it’s own quirky way. Location near Portland is nice, it is more suburban than rural if that matters to you. Great if you like the ocean. Pretty far away from mountains though if you like having them in your back yard. Of course great academics. Personally, I sensed a little more academic elitism at Bowdoin than the other three. I don’t mean it in a bad way, and perhaps I have used the wrong word. Just seemed a little bit more academcially snobby than the other two. Not sure how collaborative/competitive, don’t know enough kids who go there.  D15 liked Bowdoin a lot, would have applied if her ED school fell through. D18 didn’t even look at Bowdoin, too intense of a school for her.
Middlebury- awesome location in the mountains, lovely campus. Feels considerably bigger than the other two schools. D15 went ED and attends. Loving her expereince, it is the right mix of academic intensity and fun for her. Raves about (most) of the professors/classes she has taken. Has found Midd more collaborative than competitive (she is env policy major). Heavily involved in the Mountain Club. Knows women on the cross country/track team and they are a great group. Jan Plan is very popular- fun to have the one block class in the middle of ski season. Lots of students ski. D18 not interested in Midd, a bit too intense for her.
Good luck!

",3,3,3
2,lr4550,"
Three of my personal favorite NESCACS. Can’t go wrong! Each is a little different, and take my impresions with a grain of salt as they are subjective of course. I think (overall) all three schools are pretty equal in your academic areas of interest- some might be stronger than others in certain areas but overall it’s relative as all three are top notch schools.
Bates- wonderful community. Gorgeous (although small) campus/architecture. Very friendly vibe, students are welcoming and the close knit community feel is palpable. Strong academics, just a lovely school. Has the month long May plan which is useful for starting summer internships early or for traveling abroad. Major difference to me between it and the other two is a more laid back vibe. Doesn’t feel as intense. Definitely collaborative. Best food of the three. Nephew is a current student. D15 would have applied regular decision if her ED school had fallen through. Bates is very high on D18’s list this year.
Bowdoin- neat school. Lovely campus in it’s own quirky way. Location near Portland is nice, it is more suburban than rural if that matters to you. Great if you like the ocean. Pretty far away from mountains though if you like having them in your back yard. Of course great academics. Personally, I sensed a little more academic elitism at Bowdoin than the other three. I don’t mean it in a bad way, and perhaps I have used the wrong word. Just seemed a little bit more academcially snobby than the other two. Not sure how collaborative/competitive, don’t know enough kids who go there.  D15 liked Bowdoin a lot, would have applied if her ED school fell through. D18 didn’t even look at Bowdoin, too intense of a school for her.
Middlebury- awesome location in the mountains, lovely campus. Feels considerably bigger than the other two schools. D15 went ED and attends. Loving her expereince, it is the right mix of academic intensity and fun for her. Raves about (most) of the professors/classes she has taken. Has found Midd more collaborative than competitive (she is env policy major). Heavily involved in the Mountain Club. Knows women on the cross country/track team and they are a great group. Jan Plan is very popular- fun to have the one block class in the middle of ski season. Lots of students ski. D18 not interested in Midd, a bit too intense for her.
Good luck!

",3,3,3
2,lr4550,"
Three of my personal favorite NESCACS. Can’t go wrong! Each is a little different, and take my impresions with a grain of salt as they are subjective of course. I think (overall) all three schools are pretty equal in your academic areas of interest- some might be stronger than others in certain areas but overall it’s relative as all three are top notch schools.
Bates- wonderful community. Gorgeous (although small) campus/architecture. Very friendly vibe, students are welcoming and the close knit community feel is palpable. Strong academics, just a lovely school. Has the month long May plan which is useful for starting summer internships early or for traveling abroad. Major difference to me between it and the other two is a more laid back vibe. Doesn’t feel as intense. Definitely collaborative. Best food of the three. Nephew is a current student. D15 would have applied regular decision if her ED school had fallen through. Bates is very high on D18’s list this year.
Bowdoin- neat school. Lovely campus in it’s own quirky way. Location near Portland is nice, it is more suburban than rural if that matters to you. Great if you like the ocean. Pretty far away from mountains though if you like having them in your back yard. Of course great academics. Personally, I sensed a little more academic elitism at Bowdoin than the other three. I don’t mean it in a bad way, and perhaps I have used the wrong word. Just seemed a little bit more academcially snobby than the other two. Not sure how collaborative/competitive, don’t know enough kids who go there.  D15 liked Bowdoin a lot, would have applied if her ED school fell through. D18 didn’t even look at Bowdoin, too intense of a school for her.
Middlebury- awesome location in the mountains, lovely campus. Feels considerably bigger than the other two schools. D15 went ED and attends. Loving her expereince, it is the right mix of academic intensity and fun for her. Raves about (most) of the professors/classes she has taken. Has found Midd more collaborative than competitive (she is env policy major). Heavily involved in the Mountain Club. Knows women on the cross country/track team and they are a great group. Jan Plan is very popular- fun to have the one block class in the middle of ski season. Lots of students ski. D18 not interested in Midd, a bit too intense for her.
Good luck!

",1,2,1
3,doschicos,"
Are you being recruited? Planning to apply ED?
If not, apply to all 3.

",3,3,3
3,doschicos,"
Are you being recruited? Planning to apply ED?
If not, apply to all 3.

",3,3,3
3,doschicos,"
Are you being recruited? Planning to apply ED?
If not, apply to all 3.

",1,1,2
4,wisteria100,"
More similarities than differences but one big difference is size with Midd being about 33% bigger in terms of students. They are still all small schools, but the extra kids at Midd does make a difference for some. All have active outdoors clubs, but Midd probably has the most active one with the most serious outdoor kids. If you’re not outdoorsy, Bates or Bowdoin may more suit you. @lr4550  makes some excellent points, but I disagree about the food. Bowdoin’s is best!  But if you’re looking at LACs, can’t go wrong with any of them. Good luck!

",3,3,3
4,wisteria100,"
More similarities than differences but one big difference is size with Midd being about 33% bigger in terms of students. They are still all small schools, but the extra kids at Midd does make a difference for some. All have active outdoors clubs, but Midd probably has the most active one with the most serious outdoor kids. If you’re not outdoorsy, Bates or Bowdoin may more suit you. @lr4550  makes some excellent points, but I disagree about the food. Bowdoin’s is best!  But if you’re looking at LACs, can’t go wrong with any of them. Good luck!

",0,0,0
4,wisteria100,"
More similarities than differences but one big difference is size with Midd being about 33% bigger in terms of students. They are still all small schools, but the extra kids at Midd does make a difference for some. All have active outdoors clubs, but Midd probably has the most active one with the most serious outdoor kids. If you’re not outdoorsy, Bates or Bowdoin may more suit you. @lr4550  makes some excellent points, but I disagree about the food. Bowdoin’s is best!  But if you’re looking at LACs, can’t go wrong with any of them. Good luck!

",1,2,1
5,citivas,"
@wisteria100 Why would you say Midd has a more active outdoors club than Bowdoin?  Bowdoin’s Outing Club is famous.  They have their own permanent building on campus, and they own both an island and a remote cabin.  They organize multiple trips a week.  And to end up being a leader they send you on a 300 hour certification program that pretty much makes you an expert survivalist.  But for casual members they do everything from simple hikes, biking or kayaking to extreme hiking and camping.  Not taking anything away from Midd which is a great school too but would be hard to say any school is a level up from Bowdoin on outdoorsy student opportunity.

",0,0,3
