index,user_id,comment,label
1,merc81,"
T&L magazine ranked Syracuse first in the nation among college towns, should this tip the scales for you:
http://www.travelandleisure.com/slideshows/americas-best-college-towns

",2
1,merc81,"
T&L magazine ranked Syracuse first in the nation among college towns, should this tip the scales for you:
http://www.travelandleisure.com/slideshows/americas-best-college-towns

",2
1,merc81,"
T&L magazine ranked Syracuse first in the nation among college towns, should this tip the scales for you:
http://www.travelandleisure.com/slideshows/americas-best-college-towns

",2
2,Postmodern,"
^^^ I am a happy and proud Syracuse grad.
However, I can only assume the author suffered from third-degree brain freeze to reach that conclusion.

",2
2,Postmodern,"
^^^ I am a happy and proud Syracuse grad.
However, I can only assume the author suffered from third-degree brain freeze to reach that conclusion.

",2
2,Postmodern,"
^^^ I am a happy and proud Syracuse grad.
However, I can only assume the author suffered from third-degree brain freeze to reach that conclusion.

",2
4,Postmodern,"
Yes, there is a lot to do at Syracuse, @meganewarren .  Tons of concerts and sporting events and clubs and things of that nature.  A good local theater group (Syracuse Stage) and beautiful proscenium theater (The Landmark). The Dome, despite it’s ugliness, has many premier events.  Few things are more fun than a packed SU basketball game!
Like many big colleges, the University Union is well funded and always has something going on.  I was very involved with it and saw everything free! lol Films, Concerts, Speakers, etc.
http://www.universityunion.syr.edu/
Because of the weather SU is big on what I will refer to as “indoor sports”.  Marshall street is where the bars/restaurants are, but it is essentially on campus.  You’ll run into everyone there.  The Varsity is the most famous local beer/pizza/wings joint but there are many. http://varsitysyracuse.com/.  And of course Dinosaur BBQ.
I had an excellent time there and was very involved in stuff, although it was long ago.  Campus is great, weather is awful… all the things you hear are true.  But the city of Syracuse, which I have an affinity for, is not what I would call a “great college town”.
But you will not be bored.
Good luck!

",2
4,Postmodern,"
Yes, there is a lot to do at Syracuse, @meganewarren .  Tons of concerts and sporting events and clubs and things of that nature.  A good local theater group (Syracuse Stage) and beautiful proscenium theater (The Landmark). The Dome, despite it’s ugliness, has many premier events.  Few things are more fun than a packed SU basketball game!
Like many big colleges, the University Union is well funded and always has something going on.  I was very involved with it and saw everything free! lol Films, Concerts, Speakers, etc.
http://www.universityunion.syr.edu/
Because of the weather SU is big on what I will refer to as “indoor sports”.  Marshall street is where the bars/restaurants are, but it is essentially on campus.  You’ll run into everyone there.  The Varsity is the most famous local beer/pizza/wings joint but there are many. http://varsitysyracuse.com/.  And of course Dinosaur BBQ.
I had an excellent time there and was very involved in stuff, although it was long ago.  Campus is great, weather is awful… all the things you hear are true.  But the city of Syracuse, which I have an affinity for, is not what I would call a “great college town”.
But you will not be bored.
Good luck!

",2
4,Postmodern,"
Yes, there is a lot to do at Syracuse, @meganewarren .  Tons of concerts and sporting events and clubs and things of that nature.  A good local theater group (Syracuse Stage) and beautiful proscenium theater (The Landmark). The Dome, despite it’s ugliness, has many premier events.  Few things are more fun than a packed SU basketball game!
Like many big colleges, the University Union is well funded and always has something going on.  I was very involved with it and saw everything free! lol Films, Concerts, Speakers, etc.
http://www.universityunion.syr.edu/
Because of the weather SU is big on what I will refer to as “indoor sports”.  Marshall street is where the bars/restaurants are, but it is essentially on campus.  You’ll run into everyone there.  The Varsity is the most famous local beer/pizza/wings joint but there are many. http://varsitysyracuse.com/.  And of course Dinosaur BBQ.
I had an excellent time there and was very involved in stuff, although it was long ago.  Campus is great, weather is awful… all the things you hear are true.  But the city of Syracuse, which I have an affinity for, is not what I would call a “great college town”.
But you will not be bored.
Good luck!

",2
5,Otterma,"
Is your current list especially heavy on northeast or southern schools? If so, maybe choose the university in the underrepresented region.
NC State would give you access to Research Triangle firms for internships. I went there many years ago but was in the engineering school so I have no idea how the programs at the two schools compare for bio/env sci. The faculty at NC State were terrific though.

",1
5,Otterma,"
Is your current list especially heavy on northeast or southern schools? If so, maybe choose the university in the underrepresented region.
NC State would give you access to Research Triangle firms for internships. I went there many years ago but was in the engineering school so I have no idea how the programs at the two schools compare for bio/env sci. The faculty at NC State were terrific though.

",1
5,Otterma,"
Is your current list especially heavy on northeast or southern schools? If so, maybe choose the university in the underrepresented region.
NC State would give you access to Research Triangle firms for internships. I went there many years ago but was in the engineering school so I have no idea how the programs at the two schools compare for bio/env sci. The faculty at NC State were terrific though.

",1
7,happy1,"
If you visited NC State and think it is fine, your dad prefers it and you haven’t seen Syracuse then NC State seems like the better/safer application for you.

",1
