index,user_id,comment,label
1,Srabookworm,"
I have friends at both universities and have generally heard more positive things about Stanford, although I think the people I know at both universities are happy with their choices. From what I’ve heard, Stanford students are more friendly and the party scene is less intimidating, and I’ve also heard that the California weather is preferable to Chicago’s, although that may be a matter of preference. In general I’ve heard wonderful things about them both, so unless there are particular factors you care about that you haven’t mentioned, it seems like your choice comes down to personal feelings about the environment/culture at each school.

",2
1,Srabookworm,"
I have friends at both universities and have generally heard more positive things about Stanford, although I think the people I know at both universities are happy with their choices. From what I’ve heard, Stanford students are more friendly and the party scene is less intimidating, and I’ve also heard that the California weather is preferable to Chicago’s, although that may be a matter of preference. In general I’ve heard wonderful things about them both, so unless there are particular factors you care about that you haven’t mentioned, it seems like your choice comes down to personal feelings about the environment/culture at each school.

",2
1,Srabookworm,"
I have friends at both universities and have generally heard more positive things about Stanford, although I think the people I know at both universities are happy with their choices. From what I’ve heard, Stanford students are more friendly and the party scene is less intimidating, and I’ve also heard that the California weather is preferable to Chicago’s, although that may be a matter of preference. In general I’ve heard wonderful things about them both, so unless there are particular factors you care about that you haven’t mentioned, it seems like your choice comes down to personal feelings about the environment/culture at each school.

",3
2,Penn95,"
They are very different schools in terms of campus vibe, social life and academic philosophy. Obviously Stanford is quite more prestigious overall and stronger in your areas of interest, but it is so different from UChicago that if you think you fit in better at UChicago you should seriously reconsider applying to Stanford SCEA. Same goes vice versa. If you fit in well at Stanford chances are u won’t fit in that well at UChicago.

",3
2,Penn95,"
They are very different schools in terms of campus vibe, social life and academic philosophy. Obviously Stanford is quite more prestigious overall and stronger in your areas of interest, but it is so different from UChicago that if you think you fit in better at UChicago you should seriously reconsider applying to Stanford SCEA. Same goes vice versa. If you fit in well at Stanford chances are u won’t fit in that well at UChicago.

",3
2,Penn95,"
They are very different schools in terms of campus vibe, social life and academic philosophy. Obviously Stanford is quite more prestigious overall and stronger in your areas of interest, but it is so different from UChicago that if you think you fit in better at UChicago you should seriously reconsider applying to Stanford SCEA. Same goes vice versa. If you fit in well at Stanford chances are u won’t fit in that well at UChicago.

",3
3,tk21769,"

[quote]
I’ve also heard that the California weather is preferable to Chicago’s
[/quote]

This really isn’t a matter of opinion. I can’t imagine any sane person preferring Chicago weather.
UChicago is quite strong in political science. Stanford may be even stronger, but not by obvious leaps and bounds for undergraduates. For social science overall, UChicago is one of the strongest research universities in the world. Undergraduate instruction in UChicago’s social science and humanities Core classes, which take up about 1/3 of the college  program, is about as good as you’re likely to find anywhere (in terms of course content, class size, and instructor quality.)

",1
3,tk21769,"

[quote]
I’ve also heard that the California weather is preferable to Chicago’s
[/quote]

This really isn’t a matter of opinion. I can’t imagine any sane person preferring Chicago weather.
UChicago is quite strong in political science. Stanford may be even stronger, but not by obvious leaps and bounds for undergraduates. For social science overall, UChicago is one of the strongest research universities in the world. Undergraduate instruction in UChicago’s social science and humanities Core classes, which take up about 1/3 of the college  program, is about as good as you’re likely to find anywhere (in terms of course content, class size, and instructor quality.)

",1
3,tk21769,"

[quote]
I’ve also heard that the California weather is preferable to Chicago’s
[/quote]

This really isn’t a matter of opinion. I can’t imagine any sane person preferring Chicago weather.
UChicago is quite strong in political science. Stanford may be even stronger, but not by obvious leaps and bounds for undergraduates. For social science overall, UChicago is one of the strongest research universities in the world. Undergraduate instruction in UChicago’s social science and humanities Core classes, which take up about 1/3 of the college  program, is about as good as you’re likely to find anywhere (in terms of course content, class size, and instructor quality.)

",1
4,artloversplus,"
To say Stanford is better or more prestigious then Chicago is splitting hairs. They are all top schools and they all have strong programs.  It’s matter of personal preference, do not listen to those anecdotes. Go with your guts.

",0
