index,user_id,comment,label
1,TomSrOfBoston,"
The winters at both colleges are cold and snowy.
There is no 3 year option at McGill without IB or AP credits.
MHC is strictly arts and sciences, no business courses although you may fit in an elective at UMass Amherst.
A knowledge of French is not required at McGill nor as a student in Montreal.

",0
1,TomSrOfBoston,"
The winters at both colleges are cold and snowy.
There is no 3 year option at McGill without IB or AP credits.
MHC is strictly arts and sciences, no business courses although you may fit in an elective at UMass Amherst.
A knowledge of French is not required at McGill nor as a student in Montreal.

",0
1,TomSrOfBoston,"
The winters at both colleges are cold and snowy.
There is no 3 year option at McGill without IB or AP credits.
MHC is strictly arts and sciences, no business courses although you may fit in an elective at UMass Amherst.
A knowledge of French is not required at McGill nor as a student in Montreal.

",0
3,PurpleTitan,"
The experience of studying at a small private female LAC (though part of a consortium, so you’d have access to more classes if you want them) that’s kind of out of the way vs. studying at a massive public urban uni is extremely different.
@MYOS1634, how would you describe it to someone like the OP?
What can you afford?
And wouldn’t you have had to have decided by now?

",0
3,PurpleTitan,"
The experience of studying at a small private female LAC (though part of a consortium, so you’d have access to more classes if you want them) that’s kind of out of the way vs. studying at a massive public urban uni is extremely different.
@MYOS1634, how would you describe it to someone like the OP?
What can you afford?
And wouldn’t you have had to have decided by now?

",0
3,PurpleTitan,"
The experience of studying at a small private female LAC (though part of a consortium, so you’d have access to more classes if you want them) that’s kind of out of the way vs. studying at a massive public urban uni is extremely different.
@MYOS1634, how would you describe it to someone like the OP?
What can you afford?
And wouldn’t you have had to have decided by now?

",0
4,TomSrOfBoston,"
Really can’t advise on that.  Totally different environments.

",0
4,TomSrOfBoston,"
Really can’t advise on that.  Totally different environments.

",0
4,TomSrOfBoston,"
Really can’t advise on that.  Totally different environments.

",0
5,57special,"
I feel like you haven’t addressed a few major points about the two schools, mainly;

one is a women's college, one is most decidedly not.
one is a small LAC, one is a very large University.
one is in a rural, or at least semi-rural setting, the other is smack dab in the middle of a city. 

Both have prestige and history. I could care less myself, and would strongly suggest you pay more attention to what school is a better fit. McGill is known to be relatively easy to get into(compared to similar schools in the US), but is quite challenging, and it is usually left up to the student to sink or swim. I would guess that Mt. Holyoke would give you more personal attention should you need it.
Montreal gets really cold, but central MA is only marginally warmer.
Do you want to be in the swing of things in a vibrant, muliticultural city, with it’s excitement and distractions, or do you think you would do better if a small, supportive(hopefully), cocoon-like environment ?
Both offer very good to excellent academics.
As an International, job prospects would be limited.

",3
5,57special,"
I feel like you haven’t addressed a few major points about the two schools, mainly;

one is a women's college, one is most decidedly not.
one is a small LAC, one is a very large University.
one is in a rural, or at least semi-rural setting, the other is smack dab in the middle of a city. 

Both have prestige and history. I could care less myself, and would strongly suggest you pay more attention to what school is a better fit. McGill is known to be relatively easy to get into(compared to similar schools in the US), but is quite challenging, and it is usually left up to the student to sink or swim. I would guess that Mt. Holyoke would give you more personal attention should you need it.
Montreal gets really cold, but central MA is only marginally warmer.
Do you want to be in the swing of things in a vibrant, muliticultural city, with it’s excitement and distractions, or do you think you would do better if a small, supportive(hopefully), cocoon-like environment ?
Both offer very good to excellent academics.
As an International, job prospects would be limited.

",3
5,57special,"
I feel like you haven’t addressed a few major points about the two schools, mainly;

one is a women's college, one is most decidedly not.
one is a small LAC, one is a very large University.
one is in a rural, or at least semi-rural setting, the other is smack dab in the middle of a city. 

Both have prestige and history. I could care less myself, and would strongly suggest you pay more attention to what school is a better fit. McGill is known to be relatively easy to get into(compared to similar schools in the US), but is quite challenging, and it is usually left up to the student to sink or swim. I would guess that Mt. Holyoke would give you more personal attention should you need it.
Montreal gets really cold, but central MA is only marginally warmer.
Do you want to be in the swing of things in a vibrant, muliticultural city, with it’s excitement and distractions, or do you think you would do better if a small, supportive(hopefully), cocoon-like environment ?
Both offer very good to excellent academics.
As an International, job prospects would be limited.

",3
7,RelicAndType,"
You want to do marketing so you applied to the Faculty of Arts at McGill and a liberal arts college? Something’s not adding up.

",0
7,RelicAndType,"
You want to do marketing so you applied to the Faculty of Arts at McGill and a liberal arts college? Something’s not adding up.

",0
7,RelicAndType,"
You want to do marketing so you applied to the Faculty of Arts at McGill and a liberal arts college? Something’s not adding up.

",2
8,PurpleTitan,"
Size makes a huge difference.
What type of education do you get in your home country? Lectures? Seminars? Something else? How many people in a class?

",0
8,PurpleTitan,"
Size makes a huge difference.
What type of education do you get in your home country? Lectures? Seminars? Something else? How many people in a class?

",0
8,PurpleTitan,"
Size makes a huge difference.
What type of education do you get in your home country? Lectures? Seminars? Something else? How many people in a class?

",1
