index,user_id,comment,label
1,happy1,"
Honestly I’d just stay one more year and graduate from ND even if you don’t love being at the school.

",1
1,happy1,"
Honestly I’d just stay one more year and graduate from ND even if you don’t love being at the school.

",0
1,happy1,"
Honestly I’d just stay one more year and graduate from ND even if you don’t love being at the school.

",0
2,HopefulHoya1103,"
@unc2307

",0
2,HopefulHoya1103,"
@unc2307

",0
2,HopefulHoya1103,"
@unc2307

",0
3,HopefulHoya1103,"
If you are leaving ND because of the weather, Boston wouldn’t be much improvement. It really depends on what type of school you want. Student vibes, size, and location should decide for you! 

",0
3,HopefulHoya1103,"
If you are leaving ND because of the weather, Boston wouldn’t be much improvement. It really depends on what type of school you want. Student vibes, size, and location should decide for you! 

",0
3,HopefulHoya1103,"
If you are leaving ND because of the weather, Boston wouldn’t be much improvement. It really depends on what type of school you want. Student vibes, size, and location should decide for you! 

",3
4,garvey,"
If the goal is to be able to better access the sorts of internships that will be most relevant for your career, I’d think that Boston would be the better fit.

",2
4,garvey,"
If the goal is to be able to better access the sorts of internships that will be most relevant for your career, I’d think that Boston would be the better fit.

",2
4,garvey,"
If the goal is to be able to better access the sorts of internships that will be most relevant for your career, I’d think that Boston would be the better fit.

",2
5,twogirls,"
I agree with @happy1

",1
5,twogirls,"
I agree with @happy1

",0
5,twogirls,"
I agree with @happy1

",0
6,LBad96,"
I would advocate for UNC Chapel Hill. It’s a better school than BU.

",1
6,LBad96,"
I would advocate for UNC Chapel Hill. It’s a better school than BU.

",1
6,LBad96,"
I would advocate for UNC Chapel Hill. It’s a better school than BU.

",1
7,twogirls,"
@LBad96 it’s UNC versus BC… not that it matters. I think the OP should stay at ND regardless.

",1
7,twogirls,"
@LBad96 it’s UNC versus BC… not that it matters. I think the OP should stay at ND regardless.

",3
7,twogirls,"
@LBad96 it’s UNC versus BC… not that it matters. I think the OP should stay at ND regardless.

",0
8,LBad96,"
@twogirls ohhhh. BC. My bad haha. More or less equal, honestly.

",3
8,LBad96,"
@twogirls ohhhh. BC. My bad haha. More or less equal, honestly.

",3
8,LBad96,"
@twogirls ohhhh. BC. My bad haha. More or less equal, honestly.

",0
10,crazyasianbae,"
Definitely UNC over Boston College. The environment is much better, you’ll graduate with no loans, and it is better for your intended degree.

",1
10,crazyasianbae,"
Definitely UNC over Boston College. The environment is much better, you’ll graduate with no loans, and it is better for your intended degree.

",1
10,crazyasianbae,"
Definitely UNC over Boston College. The environment is much better, you’ll graduate with no loans, and it is better for your intended degree.

",1
11,WildestDream,"
UNC is a much better school academically, and especially for business.

",1
11,WildestDream,"
UNC is a much better school academically, and especially for business.

",1
11,WildestDream,"
UNC is a much better school academically, and especially for business.

",1
12,prezbucky,"
BC is not worth $10k more than UNC unless you feel like the fit is much better there. If you’d strongly prefer being in the Boston area, the private school feel, and other pros for BC make it the much better choice, then spend the extra money.
If they are tied or close to it, I’d suggest UNC based on the savings.
I think they are a wash academically and rep-wise for undergrad – and both are really solid in business – so either way, you should be fine academically.

",0
12,prezbucky,"
BC is not worth $10k more than UNC unless you feel like the fit is much better there. If you’d strongly prefer being in the Boston area, the private school feel, and other pros for BC make it the much better choice, then spend the extra money.
If they are tied or close to it, I’d suggest UNC based on the savings.
I think they are a wash academically and rep-wise for undergrad – and both are really solid in business – so either way, you should be fine academically.

",2
12,prezbucky,"
BC is not worth $10k more than UNC unless you feel like the fit is much better there. If you’d strongly prefer being in the Boston area, the private school feel, and other pros for BC make it the much better choice, then spend the extra money.
If they are tied or close to it, I’d suggest UNC based on the savings.
I think they are a wash academically and rep-wise for undergrad – and both are really solid in business – so either way, you should be fine academically.

",1
13,Alexandre,"
How is BC different from ND? They are identical! You cannot get two mot similar universities. Both are Catholic, both have 9,000 undergraduate students and 4,000 graduate students, both have a proud football tradition, both have loyal alumni  and both have equally cold winters. Boston College is close to a mid sized city while Notre Dame is not, and that’s where the differences end.
UNC would be a different experience. Secular school in warmer weather.
I agree with those who recommend you wait it out and graduate from Notre Dame.

",1
13,Alexandre,"
How is BC different from ND? They are identical! You cannot get two mot similar universities. Both are Catholic, both have 9,000 undergraduate students and 4,000 graduate students, both have a proud football tradition, both have loyal alumni  and both have equally cold winters. Boston College is close to a mid sized city while Notre Dame is not, and that’s where the differences end.
UNC would be a different experience. Secular school in warmer weather.
I agree with those who recommend you wait it out and graduate from Notre Dame.

",3
13,Alexandre,"
How is BC different from ND? They are identical! You cannot get two mot similar universities. Both are Catholic, both have 9,000 undergraduate students and 4,000 graduate students, both have a proud football tradition, both have loyal alumni  and both have equally cold winters. Boston College is close to a mid sized city while Notre Dame is not, and that’s where the differences end.
UNC would be a different experience. Secular school in warmer weather.
I agree with those who recommend you wait it out and graduate from Notre Dame.

",3
15,gearmom,"
Absolutely UNC. Will be a great experience after 3 years in North Dakota and why, why, why would you take on 10k of debt if you don’t have to. Touring doesn’t give a complete picture of your future experience. It will be the people you meet that shape that.
Boston will be a lot more fun later in your life when you have the money to enjoy it.
http://business-schools.startclass.com/compare/299-415/University-of-North-Carolina-Chapel-Hill-Kenan-Flagler-NC-vs-Boston-College-Carroll-MA

",1
15,gearmom,"
Absolutely UNC. Will be a great experience after 3 years in North Dakota and why, why, why would you take on 10k of debt if you don’t have to. Touring doesn’t give a complete picture of your future experience. It will be the people you meet that shape that.
Boston will be a lot more fun later in your life when you have the money to enjoy it.
http://business-schools.startclass.com/compare/299-415/University-of-North-Carolina-Chapel-Hill-Kenan-Flagler-NC-vs-Boston-College-Carroll-MA

",1
15,gearmom,"
Absolutely UNC. Will be a great experience after 3 years in North Dakota and why, why, why would you take on 10k of debt if you don’t have to. Touring doesn’t give a complete picture of your future experience. It will be the people you meet that shape that.
Boston will be a lot more fun later in your life when you have the money to enjoy it.
http://business-schools.startclass.com/compare/299-415/University-of-North-Carolina-Chapel-Hill-Kenan-Flagler-NC-vs-Boston-College-Carroll-MA

",0
16,gearmom,"
^And you are transferring in from the University of North Dakota? as a Senior or Junior?

",0
16,gearmom,"
^And you are transferring in from the University of North Dakota? as a Senior or Junior?

",0
16,gearmom,"
^And you are transferring in from the University of North Dakota? as a Senior or Junior?

",0
17,Alexandre,"
UNC is your best option.

",1
17,Alexandre,"
UNC is your best option.

",1
17,Alexandre,"
UNC is your best option.

",1
19,LBad96,"
Like we said before, UNC &gt; BC in every aspect. Go to Boston after graduation if you’re able to get a job there.

",1
19,LBad96,"
Like we said before, UNC &gt; BC in every aspect. Go to Boston after graduation if you’re able to get a job there.

",1
19,LBad96,"
Like we said before, UNC &gt; BC in every aspect. Go to Boston after graduation if you’re able to get a job there.

",1
20,mom2collegekids,"
&lt;&lt;&lt;
UNC is offering enough aid to graduate with no loans

[QUOTE=""""]
[quote]
[quote]
[/quote]
[/quote]
[/QUOTE]

This^^
Taking out loans for the cost of living in Boston would be cray cray.

",1
20,mom2collegekids,"
&lt;&lt;&lt;
UNC is offering enough aid to graduate with no loans

[QUOTE=""""]
[quote]
[quote]
[/quote]
[/quote]
[/QUOTE]

This^^
Taking out loans for the cost of living in Boston would be cray cray.

",1
20,mom2collegekids,"
&lt;&lt;&lt;
UNC is offering enough aid to graduate with no loans

[QUOTE=""""]
[quote]
[quote]
[/quote]
[/quote]
[/QUOTE]

This^^
Taking out loans for the cost of living in Boston would be cray cray.

",1
21,happy1,"
A few comments:
–You need to understand that investment banking jobs are few and far between for undergrads.  You should expand your horizons in terms of jobs you would be looking for.
–You should look at the core requirements for both schools (can be found online).  Chances are at BC you would have to spend a great deal of time taking classes like theology, philosophy etc.  to complete the Jesuit core.
–I’d consider the schools to be academic peers.   I’d go to UNC and avoid debt – being debt free will give you more options down the road.

",1
21,happy1,"
A few comments:
–You need to understand that investment banking jobs are few and far between for undergrads.  You should expand your horizons in terms of jobs you would be looking for.
–You should look at the core requirements for both schools (can be found online).  Chances are at BC you would have to spend a great deal of time taking classes like theology, philosophy etc.  to complete the Jesuit core.
–I’d consider the schools to be academic peers.   I’d go to UNC and avoid debt – being debt free will give you more options down the road.

",1
21,happy1,"
A few comments:
–You need to understand that investment banking jobs are few and far between for undergrads.  You should expand your horizons in terms of jobs you would be looking for.
–You should look at the core requirements for both schools (can be found online).  Chances are at BC you would have to spend a great deal of time taking classes like theology, philosophy etc.  to complete the Jesuit core.
–I’d consider the schools to be academic peers.   I’d go to UNC and avoid debt – being debt free will give you more options down the road.

",1
23,leanid,"
Posters who summarily dismiss BC as not even being in the same ‘league’ as UNC (actually they are in the same league – the ACC!) need some comparative facts, and here they are:
USNews rank - UNC-30    BC-31 (last year I believe the positions were reversed)
Forbes rank - UNC-47    BC-22 – but who goes by Forbes?!
Niche rank - UNC-44    BC-80 – ah, this must be the right ranking!
SAT/ACT score range - UNC 1280-1460 and 27-32        BC 1340-1510 and 30-33
Student population - UNC ~ 29,000     BC ~ 14,000
Endowment - UNC ~ 3billion      BC ~ 2billion
Endowment per student - BC&gt;UNC
So, this business of UNC being soooo much better than BC shows merely simple ignorance.
And, by the way, the theology requirement is, I believe, any two courses available from the extensive offerings (intellectually stimulating, thought-provoking subjects – none of which try to ram religion down one’s throat) that are one term each.
And philosophy?! No requirement that I know of, but if philosophy is a turn-off then it raises the question of whether one should be in college at all, as it is perhaps the only time in life where one is exposed to the great thinkers through the ages. Should be required of all students!

",3
23,leanid,"
Posters who summarily dismiss BC as not even being in the same ‘league’ as UNC (actually they are in the same league – the ACC!) need some comparative facts, and here they are:
USNews rank - UNC-30    BC-31 (last year I believe the positions were reversed)
Forbes rank - UNC-47    BC-22 – but who goes by Forbes?!
Niche rank - UNC-44    BC-80 – ah, this must be the right ranking!
SAT/ACT score range - UNC 1280-1460 and 27-32        BC 1340-1510 and 30-33
Student population - UNC ~ 29,000     BC ~ 14,000
Endowment - UNC ~ 3billion      BC ~ 2billion
Endowment per student - BC&gt;UNC
So, this business of UNC being soooo much better than BC shows merely simple ignorance.
And, by the way, the theology requirement is, I believe, any two courses available from the extensive offerings (intellectually stimulating, thought-provoking subjects – none of which try to ram religion down one’s throat) that are one term each.
And philosophy?! No requirement that I know of, but if philosophy is a turn-off then it raises the question of whether one should be in college at all, as it is perhaps the only time in life where one is exposed to the great thinkers through the ages. Should be required of all students!

",3
23,leanid,"
Posters who summarily dismiss BC as not even being in the same ‘league’ as UNC (actually they are in the same league – the ACC!) need some comparative facts, and here they are:
USNews rank - UNC-30    BC-31 (last year I believe the positions were reversed)
Forbes rank - UNC-47    BC-22 – but who goes by Forbes?!
Niche rank - UNC-44    BC-80 – ah, this must be the right ranking!
SAT/ACT score range - UNC 1280-1460 and 27-32        BC 1340-1510 and 30-33
Student population - UNC ~ 29,000     BC ~ 14,000
Endowment - UNC ~ 3billion      BC ~ 2billion
Endowment per student - BC&gt;UNC
So, this business of UNC being soooo much better than BC shows merely simple ignorance.
And, by the way, the theology requirement is, I believe, any two courses available from the extensive offerings (intellectually stimulating, thought-provoking subjects – none of which try to ram religion down one’s throat) that are one term each.
And philosophy?! No requirement that I know of, but if philosophy is a turn-off then it raises the question of whether one should be in college at all, as it is perhaps the only time in life where one is exposed to the great thinkers through the ages. Should be required of all students!

",2
24,gearmom,"
@leanid It is an unnecessary 20,000 dollars of debt for OP to go to BC. That is the hard stop for most especially when grad school seems likely.

",1
24,gearmom,"
@leanid It is an unnecessary 20,000 dollars of debt for OP to go to BC. That is the hard stop for most especially when grad school seems likely.

",0
24,gearmom,"
@leanid It is an unnecessary 20,000 dollars of debt for OP to go to BC. That is the hard stop for most especially when grad school seems likely.

",0
38,leanid,"
WildestDream - The Jesuits are an ‘order’ of the Catholic Church, not a “sect”. That is disappointing as normally you are somewhat well-informed.

",1
38,leanid,"
WildestDream - The Jesuits are an ‘order’ of the Catholic Church, not a “sect”. That is disappointing as normally you are somewhat well-informed.

",0
38,leanid,"
WildestDream - The Jesuits are an ‘order’ of the Catholic Church, not a “sect”. That is disappointing as normally you are somewhat well-informed.

",0
39,twogirls,"
FWIW giving back to the community is huge at UNC. It is weaved into the culture of the school.
I think these two schools are academic peers. If UNC means no debt, that’s where I would go.

",1
39,twogirls,"
FWIW giving back to the community is huge at UNC. It is weaved into the culture of the school.
I think these two schools are academic peers. If UNC means no debt, that’s where I would go.

",1
39,twogirls,"
FWIW giving back to the community is huge at UNC. It is weaved into the culture of the school.
I think these two schools are academic peers. If UNC means no debt, that’s where I would go.

",1
40,leanid,"
Glad to hear UNC does that. I didn’t mean to imply otherwise. The difference comes down to it being the MO at BC, at least from the administration’s point of view.
And, yes, they are “academic peers”. Just tired of the rampant ignorance regarding BC’s quality.

",2
40,leanid,"
Glad to hear UNC does that. I didn’t mean to imply otherwise. The difference comes down to it being the MO at BC, at least from the administration’s point of view.
And, yes, they are “academic peers”. Just tired of the rampant ignorance regarding BC’s quality.

",0
40,leanid,"
Glad to hear UNC does that. I didn’t mean to imply otherwise. The difference comes down to it being the MO at BC, at least from the administration’s point of view.
And, yes, they are “academic peers”. Just tired of the rampant ignorance regarding BC’s quality.

",0
41,prezbucky,"
I will reiterate my belief that these schools are academic peers. Each has advantages and disadvantages but I think that overall, there is little difference in quality, if any.
You should decide, then, based on fit (social vibe, environment, etc.), cost, and specific job markets/opportunities you are interested in and how well each school does at drawing recruiters.

",3
41,prezbucky,"
I will reiterate my belief that these schools are academic peers. Each has advantages and disadvantages but I think that overall, there is little difference in quality, if any.
You should decide, then, based on fit (social vibe, environment, etc.), cost, and specific job markets/opportunities you are interested in and how well each school does at drawing recruiters.

",0
41,prezbucky,"
I will reiterate my belief that these schools are academic peers. Each has advantages and disadvantages but I think that overall, there is little difference in quality, if any.
You should decide, then, based on fit (social vibe, environment, etc.), cost, and specific job markets/opportunities you are interested in and how well each school does at drawing recruiters.

",3
42,WildestDream,"
If you use the term “academic peers” very generally, then yes. However, from those among the know (i.e. academia), UNC is generally seen as a tier above.
UNC’s peer assessment score is 4.2, while BC is 3.5. This is a pretty significant difference. This is not to say BC is not a very good school, but UNC is one of the best in the nation.

",1
42,WildestDream,"
If you use the term “academic peers” very generally, then yes. However, from those among the know (i.e. academia), UNC is generally seen as a tier above.
UNC’s peer assessment score is 4.2, while BC is 3.5. This is a pretty significant difference. This is not to say BC is not a very good school, but UNC is one of the best in the nation.

",1
42,WildestDream,"
If you use the term “academic peers” very generally, then yes. However, from those among the know (i.e. academia), UNC is generally seen as a tier above.
UNC’s peer assessment score is 4.2, while BC is 3.5. This is a pretty significant difference. This is not to say BC is not a very good school, but UNC is one of the best in the nation.

",1
