index,user_id,comment,label
2,Penn95,"
@sheilsarda  For all these areas (CS, bioengineering, CS, entrepreneurship and business) Penn is stronger.  Also specifically the M&T program is a really unique program that opens amazing doors in business and tech.
If you see that you are not interested in the Wharton part anymore, then you can get out of M&T and do a dual major in CS and Bioengineering.
Unless you rally fit in better at Yale and you cannot see yourself at Penn, I would pick Penn because it is stronger for engineering  and business and also because of the unique strengths of the M&T program.
Campus culture and vibe is different between the two schools. Penn has a strong pre-professional element (business,s engineering), it focuses more on the application of knowledge and interdisciplinary education. It also ha a more vibrant social life and is located in a big city but also has a defined camps.
Yale is more intellectual, has that old-school classic ivy-league/hogwarts type of vibe, is located in a much smaller city. The most popular major at Yale is history. Also it has a smaller undergrad population than Penn.

",2
2,Penn95,"
@sheilsarda  For all these areas (CS, bioengineering, CS, entrepreneurship and business) Penn is stronger.  Also specifically the M&T program is a really unique program that opens amazing doors in business and tech.
If you see that you are not interested in the Wharton part anymore, then you can get out of M&T and do a dual major in CS and Bioengineering.
Unless you rally fit in better at Yale and you cannot see yourself at Penn, I would pick Penn because it is stronger for engineering  and business and also because of the unique strengths of the M&T program.
Campus culture and vibe is different between the two schools. Penn has a strong pre-professional element (business,s engineering), it focuses more on the application of knowledge and interdisciplinary education. It also ha a more vibrant social life and is located in a big city but also has a defined camps.
Yale is more intellectual, has that old-school classic ivy-league/hogwarts type of vibe, is located in a much smaller city. The most popular major at Yale is history. Also it has a smaller undergrad population than Penn.

",1
2,Penn95,"
@sheilsarda  For all these areas (CS, bioengineering, CS, entrepreneurship and business) Penn is stronger.  Also specifically the M&T program is a really unique program that opens amazing doors in business and tech.
If you see that you are not interested in the Wharton part anymore, then you can get out of M&T and do a dual major in CS and Bioengineering.
Unless you rally fit in better at Yale and you cannot see yourself at Penn, I would pick Penn because it is stronger for engineering  and business and also because of the unique strengths of the M&T program.
Campus culture and vibe is different between the two schools. Penn has a strong pre-professional element (business,s engineering), it focuses more on the application of knowledge and interdisciplinary education. It also ha a more vibrant social life and is located in a big city but also has a defined camps.
Yale is more intellectual, has that old-school classic ivy-league/hogwarts type of vibe, is located in a much smaller city. The most popular major at Yale is history. Also it has a smaller undergrad population than Penn.

",1
4,Penn95,"
@sheilsarda I faced the same dilemma when making my college choice. I ultimately chose Penn because i felt the engineering and business offerings were superior and also because Penn was still strong overall and I felt I would have a well-rounded education. And i did. The Penn curriculum is very flexible and you can take courses in all undergraduate and graduate schools at Penn and there is still room to take electives. Also it is strong across the board so I don’t think you would be getting a more well-rounded education at Yale. That said the academic focus at Yale is different.  More theoretical. In terms of grade inflation, Yale a more grade-inflated.

",0
4,Penn95,"
@sheilsarda I faced the same dilemma when making my college choice. I ultimately chose Penn because i felt the engineering and business offerings were superior and also because Penn was still strong overall and I felt I would have a well-rounded education. And i did. The Penn curriculum is very flexible and you can take courses in all undergraduate and graduate schools at Penn and there is still room to take electives. Also it is strong across the board so I don’t think you would be getting a more well-rounded education at Yale. That said the academic focus at Yale is different.  More theoretical. In terms of grade inflation, Yale a more grade-inflated.

",1
4,Penn95,"
@sheilsarda I faced the same dilemma when making my college choice. I ultimately chose Penn because i felt the engineering and business offerings were superior and also because Penn was still strong overall and I felt I would have a well-rounded education. And i did. The Penn curriculum is very flexible and you can take courses in all undergraduate and graduate schools at Penn and there is still room to take electives. Also it is strong across the board so I don’t think you would be getting a more well-rounded education at Yale. That said the academic focus at Yale is different.  More theoretical. In terms of grade inflation, Yale a more grade-inflated.

",1
6,Penn95,"
@sheilsarda Personally i feel undergrad focus is a rather vague term. Penn engineering has about 435 students per class while Yale has 108. Still you will have access to professors, TAs at both. I never felt i didn’t have access to my professors at Penn and all classes are taught by professors who also hold regular office hours. The fact that there are more students interested in STEM meant more STEM- oriented student organizations and more like-minded people to learn from. Penn engineering is still at a very manageable size (435 per class is not a lot) but also quite diverse because of its size. Also i feel the research opportunities and stem-related extracurricular involvement are more robust and diverse.

",1
6,Penn95,"
@sheilsarda Personally i feel undergrad focus is a rather vague term. Penn engineering has about 435 students per class while Yale has 108. Still you will have access to professors, TAs at both. I never felt i didn’t have access to my professors at Penn and all classes are taught by professors who also hold regular office hours. The fact that there are more students interested in STEM meant more STEM- oriented student organizations and more like-minded people to learn from. Penn engineering is still at a very manageable size (435 per class is not a lot) but also quite diverse because of its size. Also i feel the research opportunities and stem-related extracurricular involvement are more robust and diverse.

",1
6,Penn95,"
@sheilsarda Personally i feel undergrad focus is a rather vague term. Penn engineering has about 435 students per class while Yale has 108. Still you will have access to professors, TAs at both. I never felt i didn’t have access to my professors at Penn and all classes are taught by professors who also hold regular office hours. The fact that there are more students interested in STEM meant more STEM- oriented student organizations and more like-minded people to learn from. Penn engineering is still at a very manageable size (435 per class is not a lot) but also quite diverse because of its size. Also i feel the research opportunities and stem-related extracurricular involvement are more robust and diverse.

",1
7,reuynshard,"
Difference in faculty strengths for CS are negligible: (US News Ranks: #19 vs #20). Biomedical engineering at Yale it is a small program, but builds on its world leading Biology, Medicine and Chemistry departments, which are all top 10-12 in the world, and the research by faculty is cutting edge. (Check out Mark Saltzmann and Andre Levchenko’s research, as well the the Yale West Campus among other things). I presume Biomedical Engineering at Penn isn’t an option for you, but the curriculum requirements are broadly similar anyway.
If you’re interested in entrepreneurship, Wharton definitely has a much larger group of people with like minded interests, but Yale also sees its fair share of startups. The Yale Entrepreneurial Institute gives out tons of money each year and there are lots of companies that start off as collaborations between undergraduates, medical school, law school and business school students.
If you want to be the best engineer, I would suggest Yale even though Penn might have a larger engineering program, because the Jerome Fisher program has a huge number of requirements that are economics/finance based. At Yale you could devote that time to engineering/math/science courses instead if you wish.
The campus culture at both schools is mostly defined by the mix of majors. At Yale more students tend to be involved in the arts and government as well as public service. At Penn, you’ll find more students interested in finance, business, etc. There will be lots of science geeks at both places at well. Lastly, Penn has a much larger number of students (24,000+) vs Yale (12,000), and Yale also has a residential college program, which might mean a smaller, more intimate atmosphere for undergrads.

",0
7,reuynshard,"
Difference in faculty strengths for CS are negligible: (US News Ranks: #19 vs #20). Biomedical engineering at Yale it is a small program, but builds on its world leading Biology, Medicine and Chemistry departments, which are all top 10-12 in the world, and the research by faculty is cutting edge. (Check out Mark Saltzmann and Andre Levchenko’s research, as well the the Yale West Campus among other things). I presume Biomedical Engineering at Penn isn’t an option for you, but the curriculum requirements are broadly similar anyway.
If you’re interested in entrepreneurship, Wharton definitely has a much larger group of people with like minded interests, but Yale also sees its fair share of startups. The Yale Entrepreneurial Institute gives out tons of money each year and there are lots of companies that start off as collaborations between undergraduates, medical school, law school and business school students.
If you want to be the best engineer, I would suggest Yale even though Penn might have a larger engineering program, because the Jerome Fisher program has a huge number of requirements that are economics/finance based. At Yale you could devote that time to engineering/math/science courses instead if you wish.
The campus culture at both schools is mostly defined by the mix of majors. At Yale more students tend to be involved in the arts and government as well as public service. At Penn, you’ll find more students interested in finance, business, etc. There will be lots of science geeks at both places at well. Lastly, Penn has a much larger number of students (24,000+) vs Yale (12,000), and Yale also has a residential college program, which might mean a smaller, more intimate atmosphere for undergrads.

",2
7,reuynshard,"
Difference in faculty strengths for CS are negligible: (US News Ranks: #19 vs #20). Biomedical engineering at Yale it is a small program, but builds on its world leading Biology, Medicine and Chemistry departments, which are all top 10-12 in the world, and the research by faculty is cutting edge. (Check out Mark Saltzmann and Andre Levchenko’s research, as well the the Yale West Campus among other things). I presume Biomedical Engineering at Penn isn’t an option for you, but the curriculum requirements are broadly similar anyway.
If you’re interested in entrepreneurship, Wharton definitely has a much larger group of people with like minded interests, but Yale also sees its fair share of startups. The Yale Entrepreneurial Institute gives out tons of money each year and there are lots of companies that start off as collaborations between undergraduates, medical school, law school and business school students.
If you want to be the best engineer, I would suggest Yale even though Penn might have a larger engineering program, because the Jerome Fisher program has a huge number of requirements that are economics/finance based. At Yale you could devote that time to engineering/math/science courses instead if you wish.
The campus culture at both schools is mostly defined by the mix of majors. At Yale more students tend to be involved in the arts and government as well as public service. At Penn, you’ll find more students interested in finance, business, etc. There will be lots of science geeks at both places at well. Lastly, Penn has a much larger number of students (24,000+) vs Yale (12,000), and Yale also has a residential college program, which might mean a smaller, more intimate atmosphere for undergrads.

",2
8,Penn95,"
@sheilsarda   For entrepreneurship, you would have all the Wharton resources but also Penn engineering offers an engineering entrepreneurship minor.
Here is a report on the colleges with the biggest/most successful entrepreneurial activity:
https://files.pitchbook.com/pdf/PitchBook_Universities_Report_2015_2016_Edition.pdf
Biomedical engineering is definitely an option for you, and it builds on Penn’s world renowned hospital and medical school. There is a lot of cutting edge research happening through collaborations between the engineering and medical school at Penn. For example: https://news.upenn.edu/news/university-pennsylvania-celebrate-launch-penn-center-health-devices-and-technology
If you want to be the best engineer, I feel it is best to go where the most engineering opportunities are available. The M&T program has a lot of business requirements, it is dual degree after all, but if you see that you are no longer interested in the business part you can just drop it and focus on engineering.
This was a article about Yale CS: https://www.bloomberg.com/news/articles/2015-03-06/want-a-job-in-silicon-valley-after-yale-good-luck-with-that
At the end of the day however, fit is very important. I feel the biggest point that you d have to understand is the difference is academic culture and student interests between the two schools. Both are excellent choices.
Where do you see yourself fitting best?

",3
8,Penn95,"
@sheilsarda   For entrepreneurship, you would have all the Wharton resources but also Penn engineering offers an engineering entrepreneurship minor.
Here is a report on the colleges with the biggest/most successful entrepreneurial activity:
https://files.pitchbook.com/pdf/PitchBook_Universities_Report_2015_2016_Edition.pdf
Biomedical engineering is definitely an option for you, and it builds on Penn’s world renowned hospital and medical school. There is a lot of cutting edge research happening through collaborations between the engineering and medical school at Penn. For example: https://news.upenn.edu/news/university-pennsylvania-celebrate-launch-penn-center-health-devices-and-technology
If you want to be the best engineer, I feel it is best to go where the most engineering opportunities are available. The M&T program has a lot of business requirements, it is dual degree after all, but if you see that you are no longer interested in the business part you can just drop it and focus on engineering.
This was a article about Yale CS: https://www.bloomberg.com/news/articles/2015-03-06/want-a-job-in-silicon-valley-after-yale-good-luck-with-that
At the end of the day however, fit is very important. I feel the biggest point that you d have to understand is the difference is academic culture and student interests between the two schools. Both are excellent choices.
Where do you see yourself fitting best?

",3
