index,user_id,comment,label
1,PurpleTitan,"
Yale would open up more opportunities.
Considering that it would cost less and the Pitt auto-admit requires an insanely high GPA (if he gets that GPA, other med school’s are likely as well, so the auto-admit is of little benefit), this is a no-brainer.
How many people actually know what they really want to do with their life at 18, anyway? Wouldn’t it suck if he realized that he didn’t actually want to be a doctor after all but he went down the Pitt path?

",1
1,PurpleTitan,"
Yale would open up more opportunities.
Considering that it would cost less and the Pitt auto-admit requires an insanely high GPA (if he gets that GPA, other med school’s are likely as well, so the auto-admit is of little benefit), this is a no-brainer.
How many people actually know what they really want to do with their life at 18, anyway? Wouldn’t it suck if he realized that he didn’t actually want to be a doctor after all but he went down the Pitt path?

",2
1,PurpleTitan,"
Yale would open up more opportunities.
Considering that it would cost less and the Pitt auto-admit requires an insanely high GPA (if he gets that GPA, other med school’s are likely as well, so the auto-admit is of little benefit), this is a no-brainer.
How many people actually know what they really want to do with their life at 18, anyway? Wouldn’t it suck if he realized that he didn’t actually want to be a doctor after all but he went down the Pitt path?

",2
2,RoundGenius,"
Between the cost and the name recognition, Yale is hard to beat.

",3
2,RoundGenius,"
Between the cost and the name recognition, Yale is hard to beat.

",2
2,RoundGenius,"
Between the cost and the name recognition, Yale is hard to beat.

",2
3,MedSciBud,"
Please consider that in GAP, your S does not need to fight again 4 years from now for a med school admission with 2-3% acceptance rate!

",2
3,MedSciBud,"
Please consider that in GAP, your S does not need to fight again 4 years from now for a med school admission with 2-3% acceptance rate!

",0
3,MedSciBud,"
Please consider that in GAP, your S does not need to fight again 4 years from now for a med school admission with 2-3% acceptance rate!

",1
4,trackmbe3,"
@Deming  In addition to weighing cost, prestige and fit, if your goal is med school, you should go to the school where you think you have the best shot at a high gpa. And where you can get the most opportunity to do research and intermships. Pitt is known for excellent sciences and has the Universy of Pittsburgh medical center right on campus for easy opportunity and access to gain experience through shadowing, research or internships. Yale students are generally brilliant so the question is if your competition are geniuses will you be able to do as well in the premed coursework there as at Pitt? And compete with them for internships, research opportunities?  This is not at all to belittle the quality of students at Pitt, which are of excellent quality too, but you can’t compare the selective admissions process of Yale vs Pittsburgh. I hear anecdotally that the premed curriculum at Pitt is very rigorous and achieving high grades there will be difficult as well. You should try and speak to some premed students at both schools and find out how good are the premed professors at each school and how are the grading practices is each. Sometimes the grading at the more selective school, such as Yale,  is higher than at a less competitive school, particularly a state school where professors seek to weed out a majority of the class.  This could help you make the decison. Med schools don’t care so much what undergrad school you go to as much as how you do in the sciences and what experience you obtain, showing a demonstrated interest in medicine. However if you decide to switch out of premed then Yale would provide more opportunity in my opinion. Also ask yourself if you thrive better as a big fish in a little pond (I.e., at Pitt)  or not?

",2
4,trackmbe3,"
@Deming  In addition to weighing cost, prestige and fit, if your goal is med school, you should go to the school where you think you have the best shot at a high gpa. And where you can get the most opportunity to do research and intermships. Pitt is known for excellent sciences and has the Universy of Pittsburgh medical center right on campus for easy opportunity and access to gain experience through shadowing, research or internships. Yale students are generally brilliant so the question is if your competition are geniuses will you be able to do as well in the premed coursework there as at Pitt? And compete with them for internships, research opportunities?  This is not at all to belittle the quality of students at Pitt, which are of excellent quality too, but you can’t compare the selective admissions process of Yale vs Pittsburgh. I hear anecdotally that the premed curriculum at Pitt is very rigorous and achieving high grades there will be difficult as well. You should try and speak to some premed students at both schools and find out how good are the premed professors at each school and how are the grading practices is each. Sometimes the grading at the more selective school, such as Yale,  is higher than at a less competitive school, particularly a state school where professors seek to weed out a majority of the class.  This could help you make the decison. Med schools don’t care so much what undergrad school you go to as much as how you do in the sciences and what experience you obtain, showing a demonstrated interest in medicine. However if you decide to switch out of premed then Yale would provide more opportunity in my opinion. Also ask yourself if you thrive better as a big fish in a little pond (I.e., at Pitt)  or not?

",0
4,trackmbe3,"
@Deming  In addition to weighing cost, prestige and fit, if your goal is med school, you should go to the school where you think you have the best shot at a high gpa. And where you can get the most opportunity to do research and intermships. Pitt is known for excellent sciences and has the Universy of Pittsburgh medical center right on campus for easy opportunity and access to gain experience through shadowing, research or internships. Yale students are generally brilliant so the question is if your competition are geniuses will you be able to do as well in the premed coursework there as at Pitt? And compete with them for internships, research opportunities?  This is not at all to belittle the quality of students at Pitt, which are of excellent quality too, but you can’t compare the selective admissions process of Yale vs Pittsburgh. I hear anecdotally that the premed curriculum at Pitt is very rigorous and achieving high grades there will be difficult as well. You should try and speak to some premed students at both schools and find out how good are the premed professors at each school and how are the grading practices is each. Sometimes the grading at the more selective school, such as Yale,  is higher than at a less competitive school, particularly a state school where professors seek to weed out a majority of the class.  This could help you make the decison. Med schools don’t care so much what undergrad school you go to as much as how you do in the sciences and what experience you obtain, showing a demonstrated interest in medicine. However if you decide to switch out of premed then Yale would provide more opportunity in my opinion. Also ask yourself if you thrive better as a big fish in a little pond (I.e., at Pitt)  or not?

",3
5,PurpleTitan,"
^ If he maintains the insanely high GPA and still wants to be a doctor.

",3
5,PurpleTitan,"
^ If he maintains the insanely high GPA and still wants to be a doctor.

",1
5,PurpleTitan,"
^ If he maintains the insanely high GPA and still wants to be a doctor.

",0
6,ucbalumnus,"



 Deming:
[quote]
The other thing bothers my son is that for the GAP you have to maintain a 3.75 for each semester (both overall and BCPM),
[/quote]

That very high GPA requirement significantly devalues the GAP at Pitt, since it is likely that most students (including many who could get into medical school the usual way) fail to meet it.  Meanwhile, a student who does meet that GPA, and gets a good MCAT score, has a good chance of medical school admission, though s/he will have to go through the application process.  See https://www.aamc.org/download/321508/data/factstablea23.pdf .

",2
