index,user_id,comment,label
15,yorkie97,"
sorry meant to say umich** has great CS programs

",1
15,yorkie97,"
sorry meant to say umich** has great CS programs

",2
15,yorkie97,"
sorry meant to say umich** has great CS programs

",0
16,Much2learn,"
@soymilk23 Either one can get you to Wall Street. I agree that cheaper is better, but I would lean toward Cornell. I like the Mathematics and Ops research though.
I would take at least a couple CS courses if you can fit it in. You don’t need a minor, but a couple courses will help.

",1
16,Much2learn,"
@soymilk23 Either one can get you to Wall Street. I agree that cheaper is better, but I would lean toward Cornell. I like the Mathematics and Ops research though.
I would take at least a couple CS courses if you can fit it in. You don’t need a minor, but a couple courses will help.

",1
16,Much2learn,"
@soymilk23 Either one can get you to Wall Street. I agree that cheaper is better, but I would lean toward Cornell. I like the Mathematics and Ops research though.
I would take at least a couple CS courses if you can fit it in. You don’t need a minor, but a couple courses will help.

",1
17,rjkofnovi,"
Did the OP get into Dyson?  Wouldn’t  Ross have better connections to Wall Street than the liberal arts college at Cornell?

",1
17,rjkofnovi,"
Did the OP get into Dyson?  Wouldn’t  Ross have better connections to Wall Street than the liberal arts college at Cornell?

",2
17,rjkofnovi,"
Did the OP get into Dyson?  Wouldn’t  Ross have better connections to Wall Street than the liberal arts college at Cornell?

",2
18,Coloradomama,"
soymilk27  a math major is different by far than a business major. Worry a lot more about do you really want a mathematics major at Cornell, and why not at Michigan?  Mathematics majors will require you to work hard. An undergraduate business degree is less valuable down the road,  in comparison,  unless you are taking a lot of quantitative classes.   At Michigan I take it you would take a lot of math though.       Do you want an MBA? Then the harder major of mathematics will go a long way if its paired with a great job option in NYC later, for a few years and then your application to Wharton etc.  Cornell is very tied to New York city and opening a new campus on Roosevelt Island , Cornell Tech.  Look into Cornell Tech on Roosevelt Island. Its located at Google in NYC right now.    Its pretty far from the Ithaca campus, but looks interesting to me:
https://tech.cornell.edu/

",1
18,Coloradomama,"
soymilk27  a math major is different by far than a business major. Worry a lot more about do you really want a mathematics major at Cornell, and why not at Michigan?  Mathematics majors will require you to work hard. An undergraduate business degree is less valuable down the road,  in comparison,  unless you are taking a lot of quantitative classes.   At Michigan I take it you would take a lot of math though.       Do you want an MBA? Then the harder major of mathematics will go a long way if its paired with a great job option in NYC later, for a few years and then your application to Wharton etc.  Cornell is very tied to New York city and opening a new campus on Roosevelt Island , Cornell Tech.  Look into Cornell Tech on Roosevelt Island. Its located at Google in NYC right now.    Its pretty far from the Ithaca campus, but looks interesting to me:
https://tech.cornell.edu/

",2
18,Coloradomama,"
soymilk27  a math major is different by far than a business major. Worry a lot more about do you really want a mathematics major at Cornell, and why not at Michigan?  Mathematics majors will require you to work hard. An undergraduate business degree is less valuable down the road,  in comparison,  unless you are taking a lot of quantitative classes.   At Michigan I take it you would take a lot of math though.       Do you want an MBA? Then the harder major of mathematics will go a long way if its paired with a great job option in NYC later, for a few years and then your application to Wharton etc.  Cornell is very tied to New York city and opening a new campus on Roosevelt Island , Cornell Tech.  Look into Cornell Tech on Roosevelt Island. Its located at Google in NYC right now.    Its pretty far from the Ithaca campus, but looks interesting to me:
https://tech.cornell.edu/

",1
19,brantly,"
I am very familiar with both schools, as I am an alum of one and I have a child at the other. Cornell Arts & Sciences and Michigan Ross will be VERY different experiences academically. Ross is very preprofessional. It’s almost like an employee training program with some academics sprinkled in. If you double major with math, which is in LSA, you actually would be doing a dual degree, meaning that you would be graduating with a BBA from Ross and a BA (or BS?) in math.
At Cornell Arts & Sciences you’d be taking a more traditional course of study. It also has a lot of distribution requirements.  My recommendation is to make a spread sheet of the exact classes you’d have to take (or requirements you’d have to fulfill) every year at each college. Which looks more interesting? Which one gets you more excited? That will make the decision for you (outside of the financial aspect).
Of course you can always go to Michigan and major in math there. You can minor in business at Ross if you want. There will be plenty of Wall St. opportunities with an undergrad math major.

",1
19,brantly,"
I am very familiar with both schools, as I am an alum of one and I have a child at the other. Cornell Arts & Sciences and Michigan Ross will be VERY different experiences academically. Ross is very preprofessional. It’s almost like an employee training program with some academics sprinkled in. If you double major with math, which is in LSA, you actually would be doing a dual degree, meaning that you would be graduating with a BBA from Ross and a BA (or BS?) in math.
At Cornell Arts & Sciences you’d be taking a more traditional course of study. It also has a lot of distribution requirements.  My recommendation is to make a spread sheet of the exact classes you’d have to take (or requirements you’d have to fulfill) every year at each college. Which looks more interesting? Which one gets you more excited? That will make the decision for you (outside of the financial aspect).
Of course you can always go to Michigan and major in math there. You can minor in business at Ross if you want. There will be plenty of Wall St. opportunities with an undergrad math major.

",2
19,brantly,"
I am very familiar with both schools, as I am an alum of one and I have a child at the other. Cornell Arts & Sciences and Michigan Ross will be VERY different experiences academically. Ross is very preprofessional. It’s almost like an employee training program with some academics sprinkled in. If you double major with math, which is in LSA, you actually would be doing a dual degree, meaning that you would be graduating with a BBA from Ross and a BA (or BS?) in math.
At Cornell Arts & Sciences you’d be taking a more traditional course of study. It also has a lot of distribution requirements.  My recommendation is to make a spread sheet of the exact classes you’d have to take (or requirements you’d have to fulfill) every year at each college. Which looks more interesting? Which one gets you more excited? That will make the decision for you (outside of the financial aspect).
Of course you can always go to Michigan and major in math there. You can minor in business at Ross if you want. There will be plenty of Wall St. opportunities with an undergrad math major.

",3
20,PurpleTitan,"
It would be easy to switch majors within CAS at Cornell. You likely can take any CAS major at UMich as well. Both are recruited.

",1
20,PurpleTitan,"
It would be easy to switch majors within CAS at Cornell. You likely can take any CAS major at UMich as well. Both are recruited.

",3
20,PurpleTitan,"
It would be easy to switch majors within CAS at Cornell. You likely can take any CAS major at UMich as well. Both are recruited.

",3
21,blevine,"
Most important goal from OP “I hope to maybe become a quantitative analyst one day.”
Hands down, math and comp science over ANY b-school.
Finance degree from Ross would help you for other careers on wall street but NOT to be a true quant.
Quant teams hire math degrees, (and CS is pretty much like a math major), physics, engineers, operations research. Finance is a plus but not a substitute unless it’s a quant focused degree as some b-schools have (not sure about Ross).
Also note, I have worked for 3 decades on the street.  My current employer’s President and many execs are Cornell grads.   A past employer was founded by a Cornell grad (who was also a board member at Cornell). There was a comment at the top of the thread about “if it was any other ivy”… Ridiculous comment.
Cornell is VERY HEAVILY REPRESENTED on wall street in many many roles with many different types of degrees. That is totally incorrect the ivy comment.   In fact I have yet to meet a Brown graduate in my 3 decades on Wall Street.   Lots of Harvard and Penn, but honestly in a quant role people are most impressed by MIT and NONE of the ivies     Also note while there are MIch grads on wall street, there are far more Cornell grads in NYC and better
networking opportunities as a result.
A typical b-school degree will lead to very different career options than a math/cs focus regardless of the schools selected, so that should be the major deciding factor.   Ithaca is a wonderful college town, I doubt Ann Arbor has anything better to offer in day to day lifestyle than Ithaca, it is often voted one of the BEST college towns.
Full disclosure, I do have a son at Cornell and less familiar with Michigan, but I know the difference
between b-school and math/comp sci ( I studied comp sci/math/engineering myself and took some b-school classes as electives).  I worked in the quant and IT area of some of the largest best known banks and fund managers. I am a hiring manager and I would take the math/cs/ops research etc grad over any b-school grad in a quant role. If you wanted a different career path you can always later go get an MBA at a top b-school.

",1
