index,user_id,comment,label
1,preppedparent,"
Within the NESCACs: Amherst College, Bates, Bowdoin, Colby, Conn, Hamilton, Middlebury, Trinity, Tufts, Wesleyan and Williams, I’d say Bates and Hamilton are pretty evenly matched.  They’re both sort of in the boonies. They are both academically sound. If you are that worried about greek life separating students, I’d go with Bates. But really, I think the Hamilton campus is more beautiful. With its Science Center it’s a cross between Middlebury and Amherst with its quad appointed with adirondak chairs. Hamilton has the focus on writing, and its quite the manicured campus. You can see immediately where your money is going. I think it also has a better town. Lewiston–kind of run down. My choice would be Hamilton.

",2
1,preppedparent,"
Within the NESCACs: Amherst College, Bates, Bowdoin, Colby, Conn, Hamilton, Middlebury, Trinity, Tufts, Wesleyan and Williams, I’d say Bates and Hamilton are pretty evenly matched.  They’re both sort of in the boonies. They are both academically sound. If you are that worried about greek life separating students, I’d go with Bates. But really, I think the Hamilton campus is more beautiful. With its Science Center it’s a cross between Middlebury and Amherst with its quad appointed with adirondak chairs. Hamilton has the focus on writing, and its quite the manicured campus. You can see immediately where your money is going. I think it also has a better town. Lewiston–kind of run down. My choice would be Hamilton.

",2
1,preppedparent,"
Within the NESCACs: Amherst College, Bates, Bowdoin, Colby, Conn, Hamilton, Middlebury, Trinity, Tufts, Wesleyan and Williams, I’d say Bates and Hamilton are pretty evenly matched.  They’re both sort of in the boonies. They are both academically sound. If you are that worried about greek life separating students, I’d go with Bates. But really, I think the Hamilton campus is more beautiful. With its Science Center it’s a cross between Middlebury and Amherst with its quad appointed with adirondak chairs. Hamilton has the focus on writing, and its quite the manicured campus. You can see immediately where your money is going. I think it also has a better town. Lewiston–kind of run down. My choice would be Hamilton.

",2
2,wisteria100,"
Congrats on 2 great choices. At both you will find friendly, inclusive kids. Yes, there is Greek life at Hamilton, but it is not the raucous in your face frats you may find at other schools.  And the participation rate is not all that high. It’s like splitting hairs to find measurable differences, but Hamilton does have a more open curriculum and may have a slightly more intellectual vibe. Bates more sporty, but not jocky, if that makes sense. Hamilton may have a more diverse student body, Bates may be more community service oriented.

",2
2,wisteria100,"
Congrats on 2 great choices. At both you will find friendly, inclusive kids. Yes, there is Greek life at Hamilton, but it is not the raucous in your face frats you may find at other schools.  And the participation rate is not all that high. It’s like splitting hairs to find measurable differences, but Hamilton does have a more open curriculum and may have a slightly more intellectual vibe. Bates more sporty, but not jocky, if that makes sense. Hamilton may have a more diverse student body, Bates may be more community service oriented.

",2
2,wisteria100,"
Congrats on 2 great choices. At both you will find friendly, inclusive kids. Yes, there is Greek life at Hamilton, but it is not the raucous in your face frats you may find at other schools.  And the participation rate is not all that high. It’s like splitting hairs to find measurable differences, but Hamilton does have a more open curriculum and may have a slightly more intellectual vibe. Bates more sporty, but not jocky, if that makes sense. Hamilton may have a more diverse student body, Bates may be more community service oriented.

",3
3,doschicos,"
Both are great schools. I wouldn’t let the difference in endowment play into your decision as I don’t think it will affect your experience and education.
Despite Lewiston itself, I’d give a location edge to Bates. Easy access to mountains and ocean, and the city of Portland is really cool and only 40 minutes away.
You can’t go wrong. Both are great schools. Go with where you think you’ll be happier and have a better fit.

",1
3,doschicos,"
Both are great schools. I wouldn’t let the difference in endowment play into your decision as I don’t think it will affect your experience and education.
Despite Lewiston itself, I’d give a location edge to Bates. Easy access to mountains and ocean, and the city of Portland is really cool and only 40 minutes away.
You can’t go wrong. Both are great schools. Go with where you think you’ll be happier and have a better fit.

",3
3,doschicos,"
Both are great schools. I wouldn’t let the difference in endowment play into your decision as I don’t think it will affect your experience and education.
Despite Lewiston itself, I’d give a location edge to Bates. Easy access to mountains and ocean, and the city of Portland is really cool and only 40 minutes away.
You can’t go wrong. Both are great schools. Go with where you think you’ll be happier and have a better fit.

",3
4,Chembiodad,"
OP, agree both are great choices to have. My DD’s were accepted at several NESCAC, as well as similar Midwest schools, and will be at both upcoming accepted students day - one’s a student athlete so that does play into the mix for her.

",2
4,Chembiodad,"
OP, agree both are great choices to have. My DD’s were accepted at several NESCAC, as well as similar Midwest schools, and will be at both upcoming accepted students day - one’s a student athlete so that does play into the mix for her.

",0
4,Chembiodad,"
OP, agree both are great choices to have. My DD’s were accepted at several NESCAC, as well as similar Midwest schools, and will be at both upcoming accepted students day - one’s a student athlete so that does play into the mix for her.

",3
5,preppedparent,"
And Hamilton has the black and white cookie bakery near by…just sayin 

",2
5,preppedparent,"
And Hamilton has the black and white cookie bakery near by…just sayin 

",2
5,preppedparent,"
And Hamilton has the black and white cookie bakery near by…just sayin 

",2
6,Chembiodad,"
@preppedparent, true  

",2
6,Chembiodad,"
@preppedparent, true  

",2
6,Chembiodad,"
@preppedparent, true  

",0
7,lookingforward,"
The kids I know who went to Ham were happy, challenged, and are now doing well
Lewiston isn’t so bad and the campus is active. Lots of community engagement opps, including as part of academics and/or service, which I hope OP learned about. The kids I know who went there found it inclusive.  The endowment didn’t affect things in any noticeable way.  Both of mine went there,  made great friends, were highly educated, and are doing well. The alum network is as strong as you make it.

",2
