index,user_id,comment,label
1,happy1,"
I know people who have been very happy at both schools.  Does he want to study business as an undergrad?  If so does he have a direct admit to Ross?  Otherwise I’d look at the acceptance rates into the two b-schools.

",3
1,happy1,"
I know people who have been very happy at both schools.  Does he want to study business as an undergrad?  If so does he have a direct admit to Ross?  Otherwise I’d look at the acceptance rates into the two b-schools.

",3
1,happy1,"
I know people who have been very happy at both schools.  Does he want to study business as an undergrad?  If so does he have a direct admit to Ross?  Otherwise I’d look at the acceptance rates into the two b-schools.

",3
2,ThankYouforHelp,"
I would put them pretty close to equal academically, but they have very different social and academic atmospheres.   Be sure to take that into consideration.   Read the Fiske Guide on both of them.

",3
2,ThankYouforHelp,"
I would put them pretty close to equal academically, but they have very different social and academic atmospheres.   Be sure to take that into consideration.   Read the Fiske Guide on both of them.

",0
2,ThankYouforHelp,"
I would put them pretty close to equal academically, but they have very different social and academic atmospheres.   Be sure to take that into consideration.   Read the Fiske Guide on both of them.

",3
3,Alexandre,"
Your son cannot go wrong academically. Both provide excellent undergraduate educations that will prepare him well for graduate school, and both place many students in top law schools and MBA programs. If finances are a concern, go for the more affordable option, otherwise, visit both campuses and let him go with his gut.
As for visiting him, I don’t think UVa is easier. The most convenient way to get to Charlottesville from NYC is by car, a five and a half hour drive. The most convenient way to get to Ann Arbor from NYC is by plane, which also takes roughly five and a half hours door to door. It is more expensive to fly though! 

",3
3,Alexandre,"
Your son cannot go wrong academically. Both provide excellent undergraduate educations that will prepare him well for graduate school, and both place many students in top law schools and MBA programs. If finances are a concern, go for the more affordable option, otherwise, visit both campuses and let him go with his gut.
As for visiting him, I don’t think UVa is easier. The most convenient way to get to Charlottesville from NYC is by car, a five and a half hour drive. The most convenient way to get to Ann Arbor from NYC is by plane, which also takes roughly five and a half hours door to door. It is more expensive to fly though! 

",3
3,Alexandre,"
Your son cannot go wrong academically. Both provide excellent undergraduate educations that will prepare him well for graduate school, and both place many students in top law schools and MBA programs. If finances are a concern, go for the more affordable option, otherwise, visit both campuses and let him go with his gut.
As for visiting him, I don’t think UVa is easier. The most convenient way to get to Charlottesville from NYC is by car, a five and a half hour drive. The most convenient way to get to Ann Arbor from NYC is by plane, which also takes roughly five and a half hours door to door. It is more expensive to fly though! 

",3
4,sevmom,"
Both great  options.  Fit, finances, logistics. Congratulations and good luck with the decision.

",3
4,sevmom,"
Both great  options.  Fit, finances, logistics. Congratulations and good luck with the decision.

",3
