index,user_id,comment,label_AB,label_AC,label_BC
15,mommyrocks,"
In terms of global prestige, Dartmouth isn’t even close to Cornell and Johns Hopkins.
Times World University Rankings:

17 Johns Hopkins
19 Cornell
82 Dartmouth

QS World University Rankings

16 Cornell
17 Johns Hopkins
158 Dartmouth

US News Best Global Universities

11 Johns Hopkins
22 Cornell
198 Dartmouth


",2,2,0
15,mommyrocks,"
In terms of global prestige, Dartmouth isn’t even close to Cornell and Johns Hopkins.
Times World University Rankings:

17 Johns Hopkins
19 Cornell
82 Dartmouth

QS World University Rankings

16 Cornell
17 Johns Hopkins
158 Dartmouth

US News Best Global Universities

11 Johns Hopkins
22 Cornell
198 Dartmouth


",2,2,3
16,Penn95,"
@ezbreezy8022 Hopkins has severe grade deflation. Also Cornell is a bit grade-deflated too but nowhere near as bad as Hopkins. Grade inflation/deflation is a important consideration for pre-med student. GPA can literally make you or break you in med school admissions. Personally my first choice would be Dartmouth and second Cornell and I would then apply to Hopkins for med school.
All three schools are more or less similarly prestigious, probably Dartmouth and Cornell a bit more for undergrad because of the ivy league tag.  For medical school Hopkins is more prestigious.

",1,1,1
16,Penn95,"
@ezbreezy8022 Hopkins has severe grade deflation. Also Cornell is a bit grade-deflated too but nowhere near as bad as Hopkins. Grade inflation/deflation is a important consideration for pre-med student. GPA can literally make you or break you in med school admissions. Personally my first choice would be Dartmouth and second Cornell and I would then apply to Hopkins for med school.
All three schools are more or less similarly prestigious, probably Dartmouth and Cornell a bit more for undergrad because of the ivy league tag.  For medical school Hopkins is more prestigious.

",1,1,1
17,mom2collegekids,"
GPA can break you for med school…even at a name-brand school.  A parent here on CC was shocked last year when her DD didn’t receive any interview invites with a 3.5 GPA and strong MCAT …she was at a top 5 school.
&lt;&lt;&lt;
Pre Med to Med School success rates?

[QUOTE=""""]
[quote]
[/quote]
[/QUOTE]

These mean nothing to you.  Students with poor/borderline stats don’t get in.  Students with strong stats, an appropriate app list, apply in June, and have good medically-related ECs will likely get in…no matter where they went to college.

",0,0,0
17,mom2collegekids,"
GPA can break you for med school…even at a name-brand school.  A parent here on CC was shocked last year when her DD didn’t receive any interview invites with a 3.5 GPA and strong MCAT …she was at a top 5 school.
&lt;&lt;&lt;
Pre Med to Med School success rates?

[QUOTE=""""]
[quote]
[/quote]
[/QUOTE]

These mean nothing to you.  Students with poor/borderline stats don’t get in.  Students with strong stats, an appropriate app list, apply in June, and have good medically-related ECs will likely get in…no matter where they went to college.

",3,3,3
18,stevensPR,"
I would go to the visitation days.  There is a lot of false hearsay on this thread alone.  Case in point @Penn95
Where on earth are you getting the deflation stats?  JHU’s average GPA across the campus is a 3.35.  Is that major grade deflation?  Is Cornell’s “nowhere near that bad”?  Where do you pull this stuff.
As for prestige, I would argue JHU over both (I chose Hopkins over Cornell but did not apply to Dartmouth). But that is subjective as well.

",0,2,2
18,stevensPR,"
I would go to the visitation days.  There is a lot of false hearsay on this thread alone.  Case in point @Penn95
Where on earth are you getting the deflation stats?  JHU’s average GPA across the campus is a 3.35.  Is that major grade deflation?  Is Cornell’s “nowhere near that bad”?  Where do you pull this stuff.
As for prestige, I would argue JHU over both (I chose Hopkins over Cornell but did not apply to Dartmouth). But that is subjective as well.

",3,2,2
19,stevensPR,"
As for the competition part, see here:
https://blogs.hopkins-interactive.com/2016/2013/03/is-hopkins-cutthroat/
I can also attest students are pretty collaborative at Hopkins.  The “Hopkins is rampant with competitive premeds” is all spammed BS from the 80s and 90s that is still spread by ill-informed people today

",0,0,0
19,stevensPR,"
As for the competition part, see here:
https://blogs.hopkins-interactive.com/2016/2013/03/is-hopkins-cutthroat/
I can also attest students are pretty collaborative at Hopkins.  The “Hopkins is rampant with competitive premeds” is all spammed BS from the 80s and 90s that is still spread by ill-informed people today

",3,3,3
